roc_auc,prc_auc,split,set,model,dataset
0.8272836385161542,0.8219435885129007,1,train,gcn,sider10
0.8915963689712085,0.8956345291795362,2,train,gcn,sider10
0.9287342767295597,0.93684172827409,3,train,gcn,sider10
0.7762603251606136,0.7795130925487548,4,train,gcn,sider10
0.9751172234165432,0.9764871039773954,5,train,gcn,sider10
0.9034746251441754,0.9070329041146321,6,train,gcn,sider10
0.8113251072434746,0.8116648283022162,7,train,gcn,sider10
0.745145646941872,0.7259554760651884,8,train,gcn,sider10
0.6272199319460804,0.5856445111556415,9,train,gcn,sider10
0.981981112002226,0.9818150053678196,10,train,gcn,sider10
0.954488161651083,0.9584702450985321,11,train,gcn,sider10
0.9581139653969263,0.9608713173923825,12,train,gcn,sider10
0.949881961566293,0.9539647655513482,13,train,gcn,sider10
0.9999033525208612,0.9999131459630669,14,train,gcn,sider10
0.9996348153606812,0.9996741622618346,15,train,gcn,sider10
0.7592690677966102,0.7597646942082237,1,validation,gcn,sider10
0.7383474576271186,0.7221754430643047,2,validation,gcn,sider10
0.7062400846113168,0.7035957909335923,3,validation,gcn,sider10
0.7615018508725542,0.7167517385007376,4,validation,gcn,sider10
0.7264300847457626,0.7045749463211938,5,validation,gcn,sider10
0.7417989417989418,0.7306205749981048,6,validation,gcn,sider10
0.7566844919786097,0.7515507940661754,7,validation,gcn,sider10
0.7098143236074271,0.693449961896919,8,validation,gcn,sider10
0.7241471215351811,0.7191232009906956,9,validation,gcn,sider10
0.7264300847457628,0.6989149567613806,10,validation,gcn,sider10
0.735978835978836,0.6648384075775718,11,validation,gcn,sider10
0.6612817796610169,0.6291835303917692,12,validation,gcn,sider10
0.7436440677966102,0.736639496298106,13,validation,gcn,sider10
0.7832010582010582,0.793227380972432,14,validation,gcn,sider10
0.7538359788359789,0.7138885141057177,15,validation,gcn,sider10
0.7070135746606334,0.7883715513079478,1,test,gcn,sider10
0.5980810234541578,0.6274485977372338,2,test,gcn,sider10
0.7082799829278702,0.7436231490625482,3,test,gcn,sider10
0.6880597014925374,0.7038086257736658,4,test,gcn,sider10
0.6917748917748918,0.6712938777503978,5,test,gcn,sider10
0.6526652452025588,0.6609187611002718,6,test,gcn,sider10
0.6541095890410958,0.6567451508785485,7,test,gcn,sider10
0.6835205992509363,0.7585423388790367,8,test,gcn,sider10
0.4905376344086021,0.5422970140727172,9,test,gcn,sider10
0.6573229030856148,0.7336178427784242,10,test,gcn,sider10
0.6570319240724762,0.6755902600707298,11,test,gcn,sider10
0.669722814498934,0.643091579360526,12,test,gcn,sider10
0.674775928297055,0.6775116912493915,13,test,gcn,sider10
0.6261722080136403,0.5781627668726717,14,test,gcn,sider10
0.6586044520547945,0.6511881880755651,15,test,gcn,sider10
