split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,sider13,SIDER13,tr,509,1366,248,858,3.4596774193548385,844,14,1,247,0.9959677419354839,0.9836829836829837,0.9864376130198915,0.9622593521827622,0.9927426585988721,0.9982893450635386
1,sider13,SIDER13,va,509,1366,29,94,3.2413793103448274,88,6,24,5,0.1724137931034483,0.9361702127659575,0.7560975609756098,0.1615189309231133,0.34058709908679874,0.6430667644900954
1,sider13,SIDER13,te,509,1366,38,99,2.6052631578947367,91,8,24,14,0.3684210526315789,0.9191919191919192,0.7664233576642335,0.35071763555112395,0.5297831144077781,0.7230196703880913
2,sider13,SIDER13,tr,509,1366,264,842,3.1893939393939394,824,18,0,264,1.0,0.9786223277909739,0.9837251356238698,0.9571609440556966,0.998205449001799,0.9994511624559131
2,sider13,SIDER13,va,509,1366,22,101,4.590909090909091,85,16,12,10,0.45454545454545453,0.8415841584158416,0.7723577235772358,0.27795937417351624,0.42164182867089944,0.7146714671467147
2,sider13,SIDER13,te,509,1366,29,108,3.7241379310344827,92,16,15,14,0.4827586206896552,0.8518518518518519,0.7737226277372263,0.3305201108606449,0.43277167632282365,0.7260536398467434
3,sider13,SIDER13,tr,509,1366,262,844,3.2213740458015265,833,11,0,262,1.0,0.9869668246445498,0.9900542495479204,0.9732414554524755,0.9998820970847372,0.9999638218588328
3,sider13,SIDER13,va,509,1366,22,101,4.590909090909091,90,11,16,6,0.2727272727272727,0.8910891089108911,0.7804878048780488,0.18190806870103737,0.38989815137037703,0.7128712871287128
3,sider13,SIDER13,te,509,1366,31,106,3.4193548387096775,98,8,14,17,0.5483870967741935,0.9245283018867925,0.8394160583941606,0.5123163536886628,0.6103246517398455,0.7924528301886792
4,sider13,SIDER13,tr,509,1366,252,854,3.388888888888889,800,54,32,220,0.873015873015873,0.936768149882904,0.9222423146473779,0.7867947711381501,0.9213461778842048,0.972877402327051
4,sider13,SIDER13,va,509,1366,36,87,2.4166666666666665,70,17,23,13,0.3611111111111111,0.8045977011494253,0.6747967479674797,0.17557164552065613,0.45493706032576015,0.6823116219667944
4,sider13,SIDER13,te,509,1366,27,110,4.074074074074074,94,16,17,10,0.37037037037037035,0.8545454545454545,0.7591240875912408,0.228165551138171,0.4141156229607454,0.6811447811447812
5,sider13,SIDER13,tr,509,1366,246,860,3.4959349593495936,842,18,3,243,0.9878048780487805,0.9790697674418605,0.9810126582278481,0.9469746271192933,0.9863414611572363,0.9967479674796748
5,sider13,SIDER13,va,509,1366,37,86,2.324324324324324,78,8,26,11,0.2972972972972973,0.9069767441860465,0.7235772357723578,0.25922077151084705,0.5023569370904206,0.7014456316781897
5,sider13,SIDER13,te,509,1366,32,105,3.28125,94,11,25,7,0.21875,0.8952380952380953,0.7372262773722628,0.1427642282652453,0.45290789104560386,0.6964285714285714
6,sider13,SIDER13,tr,509,1366,253,853,3.3715415019762847,832,21,6,247,0.9762845849802372,0.9753810082063306,0.9755877034358047,0.9328884965439719,0.9846645413676601,0.9960288959218567
6,sider13,SIDER13,va,509,1366,29,94,3.2413793103448274,89,5,21,8,0.27586206896551724,0.9468085106382979,0.7886178861788617,0.3074381418474263,0.4287830791815327,0.7182685253118122
6,sider13,SIDER13,te,509,1366,33,104,3.1515151515151514,93,11,18,15,0.45454545454545453,0.8942307692307693,0.7883211678832117,0.3803403023875907,0.5551754664200829,0.7310606060606061
7,sider13,SIDER13,tr,509,1366,256,850,3.3203125,732,118,44,212,0.828125,0.8611764705882353,0.8535262206148282,0.6354052809366142,0.7969977223977304,0.9318106617647058
7,sider13,SIDER13,va,509,1366,29,94,3.2413793103448274,68,26,11,18,0.6206896551724138,0.723404255319149,0.6991869918699187,0.3047193468325062,0.45165648556054716,0.7232208363903155
7,sider13,SIDER13,te,509,1366,30,107,3.566666666666667,76,31,19,11,0.36666666666666664,0.7102803738317757,0.635036496350365,0.06901730378196574,0.2822904405132327,0.6143302180685358
8,sider13,SIDER13,tr,509,1366,258,848,3.2868217054263567,810,38,12,246,0.9534883720930233,0.9551886792452831,0.9547920433996383,0.8796750216994212,0.9710066289179746,0.9910505338598801
8,sider13,SIDER13,va,509,1366,24,99,4.125,90,9,14,10,0.4166666666666667,0.9090909090909091,0.8130081300813008,0.357210546190759,0.4053241433536516,0.7478956228956228
8,sider13,SIDER13,te,509,1366,33,104,3.1515151515151514,79,25,22,11,0.3333333333333333,0.7596153846153846,0.656934306569343,0.09030360876635496,0.3893283560914875,0.576048951048951
9,sider13,SIDER13,tr,509,1366,259,847,3.27027027027027,815,32,14,245,0.9459459459459459,0.9622195985832349,0.9584086799276673,0.8876453008896638,0.9607264068857124,0.9891873658107424
