roc_auc,prc_auc,split,set,model,dataset
0.6437867647058824,0.8519477905065221,1,train,attentivefp,sider15
0.6112072225373417,0.8433621310168975,2,train,attentivefp,sider15
0.8996955616087166,0.9710454366870254,3,train,attentivefp,sider15
0.9335845513227046,0.9814900701966505,4,train,attentivefp,sider15
0.7296692490346102,0.9006773023577809,5,train,attentivefp,sider15
0.7947711342601557,0.9298858592795843,6,train,attentivefp,sider15
0.5535637077975788,0.8068939172985903,7,train,attentivefp,sider15
0.9398024237017212,0.9821062109138168,8,train,attentivefp,sider15
0.6934042125803489,0.8783189092920948,9,train,attentivefp,sider15
0.7359555383889104,0.9074734391353266,10,train,attentivefp,sider15
0.6387016880968494,0.849789837651155,11,train,attentivefp,sider15
0.782198450579234,0.9238636603086573,12,train,attentivefp,sider15
0.7443660288762987,0.9089303163438059,13,train,attentivefp,sider15
0.8733793017943913,0.9637701312787554,14,train,attentivefp,sider15
0.6441473661120887,0.8550726327561968,15,train,attentivefp,sider15
0.7060150375939849,0.8630997626045287,1,validation,attentivefp,sider15
0.6746632996632996,0.8725393919417952,2,validation,attentivefp,sider15
0.6625908790482484,0.799702256244478,3,validation,attentivefp,sider15
0.670673076923077,0.8329878775968915,4,validation,attentivefp,sider15
0.7006172839506173,0.8936075905463138,5,validation,attentivefp,sider15
0.7629733520336606,0.878405289977052,6,validation,attentivefp,sider15
0.6342105263157894,0.8489910279680344,7,validation,attentivefp,sider15
0.7346938775510204,0.9199070544865174,8,validation,attentivefp,sider15
0.706766917293233,0.8873148952775443,9,validation,attentivefp,sider15
0.6601503759398497,0.8676080861773395,10,validation,attentivefp,sider15
0.5952932098765432,0.8431167323299317,11,validation,attentivefp,sider15
0.7230014025245441,0.8598709387805302,12,validation,attentivefp,sider15
0.7966019417475727,0.9515707602033108,13,validation,attentivefp,sider15
0.6940586419753086,0.8955156189316915,14,validation,attentivefp,sider15
0.6805750350631137,0.8555341225644842,15,validation,attentivefp,sider15
0.5789473684210525,0.8981625121076944,1,test,attentivefp,sider15
0.5614801864801865,0.7971989964530809,2,test,attentivefp,sider15
0.6449404761904762,0.8345865954389433,3,test,attentivefp,sider15
0.5895800106326423,0.7397155940379645,4,test,attentivefp,sider15
0.5232492997198879,0.7704855935434821,5,test,attentivefp,sider15
0.5485436893203883,0.7780658708266168,6,test,attentivefp,sider15
0.47171717171717176,0.7905359047121392,7,test,attentivefp,sider15
0.6413721413721414,0.8733829596441389,8,test,attentivefp,sider15
0.5565268065268065,0.7901260037059721,9,test,attentivefp,sider15
0.6130952380952381,0.8175584111807479,10,test,attentivefp,sider15
0.6228702490170379,0.8281405782962277,11,test,attentivefp,sider15
0.6132075471698114,0.8433790092902979,12,test,attentivefp,sider15
0.6010850942318675,0.8032191801365509,13,test,attentivefp,sider15
0.5812937062937064,0.7982330820540315,14,test,attentivefp,sider15
0.6257982120051087,0.8408473158157213,15,test,attentivefp,sider15
