split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,sider15,SIDER15,tr,104,1366,850,256,0.30117647058823527,256,0,8,842,0.9905882352941177,1.0,0.9927667269439421,0.9800869400120454,0.9988573234706428,0.9953331801470588
1,sider15,SIDER15,va,104,1366,95,28,0.29473684210526313,3,25,1,94,0.9894736842105263,0.10714285714285714,0.7886178861788617,0.22839617618020255,0.9086026683868773,0.7787593984962405
1,sider15,SIDER15,te,104,1366,118,19,0.16101694915254236,2,17,4,114,0.9661016949152542,0.10526315789473684,0.8467153284671532,0.1205288202081206,0.9027786175709289,0.5918822479928635
2,sider15,SIDER15,tr,104,1366,860,246,0.28604651162790695,246,0,6,854,0.9930232558139535,1.0,0.9945750452079566,0.9845708938218924,0.9991853242648124,0.9966605218377764
2,sider15,SIDER15,va,104,1366,99,24,0.24242424242424243,1,23,1,98,0.98989898989899,0.041666666666666664,0.8048780487804879,0.09890775906573654,0.8267593455576425,0.5378787878787878
2,sider15,SIDER15,te,104,1366,104,33,0.3173076923076923,1,32,2,102,0.9807692307692307,0.030303030303030304,0.7518248175182481,0.03235168687482248,0.8458795472336338,0.6587995337995338
3,sider15,SIDER15,tr,104,1366,869,237,0.2727272727272727,237,0,8,861,0.9907940161104718,1.0,0.9927667269439421,0.9790002852101518,0.998671277112312,0.9941904220865927
3,sider15,SIDER15,va,104,1366,89,34,0.38202247191011235,2,32,1,88,0.9887640449438202,0.058823529411764705,0.7317073170731707,0.13796749523795013,0.7485858701234244,0.5389953734302709
3,sider15,SIDER15,te,104,1366,105,32,0.3047619047619048,3,29,0,105,1.0,0.09375,0.7883211678832117,0.27103656745081806,0.863570260088431,0.7132440476190476
4,sider15,SIDER15,tr,104,1366,873,233,0.26689576174112256,233,0,8,865,0.9908361970217641,1.0,0.9927667269439421,0.978746835961608,0.9988396999141964,0.9949313943827461
4,sider15,SIDER15,va,104,1366,91,32,0.3516483516483517,2,30,1,90,0.989010989010989,0.0625,0.7479674796747967,0.14650225966827912,0.860828003499368,0.6978021978021978
4,sider15,SIDER15,te,104,1366,99,38,0.3838383838383838,3,35,0,99,1.0,0.07894736842105263,0.7445255474452555,0.2415093934343879,0.7907859837063208,0.6677299308878256
5,sider15,SIDER15,tr,104,1366,865,241,0.2786127167630058,241,0,8,857,0.9907514450867052,1.0,0.9927667269439421,0.979244644283037,0.9987723143921713,0.994840860576116
5,sider15,SIDER15,va,104,1366,96,27,0.28125,4,23,1,95,0.9895833333333334,0.14814814814814814,0.8048780487804879,0.2886853277458751,0.8840689176577436,0.7687114197530864
5,sider15,SIDER15,te,104,1366,102,35,0.3431372549019608,2,33,0,102,1.0,0.05714285714285714,0.7591240875912408,0.20778499265972683,0.7421815332540299,0.5316526610644258
6,sider15,SIDER15,tr,104,1366,868,238,0.27419354838709675,238,0,6,862,0.9930875576036866,1.0,0.9945750452079566,0.9842090081689828,0.9991099801009646,0.9961444255121404
6,sider15,SIDER15,va,104,1366,92,31,0.33695652173913043,3,28,3,89,0.967391304347826,0.0967741935483871,0.7479674796747967,0.12933252992859418,0.8043378314727478,0.585203366058906
6,sider15,SIDER15,te,104,1366,103,34,0.3300970873786408,2,32,2,101,0.9805825242718447,0.058823529411764705,0.7518248175182481,0.1011032693255002,0.8462089672655198,0.6414905768132495
7,sider15,SIDER15,tr,104,1366,858,248,0.289044289044289,248,0,8,850,0.9906759906759907,1.0,0.9927667269439421,0.979651655420112,0.9987395755254346,0.9948233889766149
7,sider15,SIDER15,va,104,1366,95,28,0.29473684210526313,5,23,1,94,0.9894736842105263,0.17857142857142858,0.8048780487804879,0.32711325964360266,0.8780218028956674,0.687593984962406
7,sider15,SIDER15,te,104,1366,110,27,0.24545454545454545,2,25,4,106,0.9636363636363636,0.07407407407407407,0.7883211678832117,0.07330414371273121,0.831665299396217,0.5764309764309764
8,sider15,SIDER15,tr,104,1366,854,252,0.29508196721311475,252,0,6,848,0.9929742388758782,1.0,0.9945750452079566,0.9848257788644517,0.999078789156012,0.9963314560796996
8,sider15,SIDER15,va,104,1366,98,25,0.25510204081632654,4,21,2,96,0.9795918367346939,0.16,0.8130081300813008,0.2607801361968554,0.8750598184454396,0.6693877551020407
8,sider15,SIDER15,te,104,1366,111,26,0.23423423423423423,1,25,3,108,0.972972972972973,0.038461538461538464,0.7956204379562044,0.02663237886521671,0.8456850882921629,0.5526680526680527
9,sider15,SIDER15,tr,104,1366,864,242,0.2800925925925926,242,0,9,855,0.9895833333333334,1.0,0.9918625678119349,0.9767805616433252,0.9986345659277875,0.9942440503520049
9,sider15,SIDER15,va,104,1366,95,28,0.29473684210526313,4,24,3,92,0.968421052631579,0.14285714285714285,0.7804878048780488,0.20140621974151732,0.8798742388103155,0.693233082706767
9,sider15,SIDER15,te,104,1366,104,33,0.3173076923076923,3,30,0,104,1.0,0.09090909090909091,0.781021897810219,0.2656243764459109,0.8522606475566641,0.6456876456876457
10,sider15,SIDER15,tr,104,1366,863,243,0.28157589803012745,243,0,8,855,0.9907300115874855,1.0,0.9927667269439421,0.9793635481399818,0.9988312466913271,0.9951528069849171
10,sider15,SIDER15,va,104,1366,95,28,0.29473684210526313,3,25,0,95,1.0,0.10714285714285714,0.7967479674796748,0.2912411862553572,0.8118043708261284,0.5924812030075188
10,sider15,SIDER15,te,104,1366,105,32,0.3047619047619048,2,30,0,105,1.0,0.0625,0.781021897810219,0.220479275922048,0.7763159425378809,0.5563988095238096
11,sider15,SIDER15,tr,104,1366,858,248,0.289044289044289,248,0,9,849,0.9895104895104895,1.0,0.9918625678119349,0.9771685480001818,0.9983813455864067,0.9932161252725769
11,sider15,SIDER15,va,104,1366,96,27,0.28125,2,25,1,95,0.9895833333333334,0.07407407407407407,0.7886178861788617,0.17081074828123302,0.8448793990464827,0.6408179012345678
11,sider15,SIDER15,te,104,1366,109,28,0.25688073394495414,3,25,1,108,0.9908256880733946,0.10714285714285714,0.8102189781021898,0.23465137722575932,0.8790313163226235,0.6240170380078637
12,sider15,SIDER15,tr,104,1366,865,241,0.2786127167630058,241,0,7,858,0.991907514450867,1.0,0.9936708860759493,0.9817892466971089,0.999242652393173,0.9968939630153744
12,sider15,SIDER15,va,104,1366,92,31,0.33695652173913043,4,27,3,89,0.967391304347826,0.12903225806451613,0.7560975609756098,0.18070905658615624,0.7913012728718423,0.5718793828892006
12,sider15,SIDER15,te,104,1366,106,31,0.29245283018867924,1,30,1,105,0.9905660377358491,0.03225806451612903,0.7737226277372263,0.07962429530819834,0.8638025767984971,0.6841144248326233
13,sider15,SIDER15,tr,104,1366,857,249,0.29054842473745623,249,0,8,849,0.9906651108518086,1.0,0.9927667269439421,0.9797077556034225,0.9989756472295941,0.9958667810096864
13,sider15,SIDER15,va,104,1366,103,20,0.1941747572815534,5,15,1,102,0.9902912621359223,0.25,0.8699186991869918,0.41162622168405744,0.8780872104657327,0.5953883495145631
13,sider15,SIDER15,te,104,1366,103,34,0.3300970873786408,4,30,2,101,0.9805825242718447,0.11764705882352941,0.7664233576642335,0.2073428666659714,0.8468443332763445,0.6384922901199315
14,sider15,SIDER15,tr,104,1366,863,243,0.28157589803012745,243,0,9,854,0.9895712630359212,1.0,0.9918625678119349,0.9768466779455258,0.9985797748565592,0.9940298222775369
14,sider15,SIDER15,va,104,1366,96,27,0.28125,3,24,3,93,0.96875,0.1111111111111111,0.7804878048780488,0.1534561473965414,0.8356050292479866,0.6165123456790124
14,sider15,SIDER15,te,104,1366,104,33,0.3173076923076923,3,30,1,103,0.9903846153846154,0.09090909090909091,0.7737226277372263,0.20647845768655,0.8428110724838561,0.6439393939393939
15,sider15,SIDER15,tr,104,1366,863,243,0.28157589803012745,243,0,9,854,0.9895712630359212,1.0,0.9918625678119349,0.9768466779455258,0.9985636280975146,0.9938819983882428
15,sider15,SIDER15,va,104,1366,92,31,0.33695652173913043,3,28,3,89,0.967391304347826,0.0967741935483871,0.7479674796747967,0.12933252992859418,0.8365861545240003,0.6646213183730715
15,sider15,SIDER15,te,104,1366,108,29,0.26851851851851855,1,28,1,107,0.9907407407407407,0.034482758620689655,0.7883211678832117,0.0859081432252987,0.920227056172547,0.7535121328224776
