auc_roc,auc_prc,split,set
0.9996665310182673,0.9983841368570497,1,train
0.823705501618123,0.50948391025064,2,train
0.859636537541846,0.5890075811549702,3,train
0.8456024471454482,0.5349798717253917,4,train
0.6714678178963893,0.292344519312924,5,train
0.7304307193315192,0.3454770638600465,6,train
0.9473497587164046,0.7893618725901104,7,train
0.8506777882473874,0.5582731645164902,8,train
0.8959047538630414,0.6826183206431273,9,train
0.9215318230852211,0.7493696817400097,10,train
0.9915058040954741,0.9692249425801049,11,train
0.9478465661460167,0.830122150617297,12,train
0.9980539292487838,0.9914762043748326,13,train
0.8820052339421688,0.570338880208459,14,train
0.8255732124445609,0.43703795502759774,15,train
0.7670579603815114,0.4072694750647603,1,validation
0.7523364485981309,0.2566559887834594,2,validation
0.6596638655462186,0.24496170141755857,3,validation
0.6775510204081633,0.3017746721798689,4,validation
0.6335289801907558,0.3685842000874911,5,validation
0.6839402427637721,0.27800265707126515,6,validation
0.6787755102040818,0.36875713431960655,7,validation
0.6283950617283951,0.17754344017308787,8,validation
0.6304520222045995,0.28044510766489944,9,validation
0.8656542056074766,0.5391384040641019,10,validation
0.6774042950513538,0.3965197540261891,11,validation
0.6443478260869565,0.29350740656889696,12,validation
0.7682186234817813,0.33294141973478025,13,validation
0.7024271844660195,0.39067723442823366,14,validation
0.7446311858076563,0.4111592109320931,15,validation
0.5997920997920998,0.32474837418779157,1,test
0.5973063973063972,0.27002785539357343,2,test
0.676622418879056,0.28495595179495015,3,test
0.6547725245316681,0.2530395854784644,4,test
0.5221238938053098,0.17287504003465454,5,test
0.6134680134680135,0.28139393138992375,6,test
0.6375000000000001,0.2569575230559422,7,test
0.5717255717255717,0.2730013154867882,8,test
0.677916120576671,0.33392720089170314,9,test
0.507070707070707,0.20391015695983242,10,test
0.6124631268436578,0.3104058882114627,11,test
0.5648604269293924,0.19497376288142404,12,test
0.6270753512132823,0.34904959378782163,13,test
0.6794466403162056,0.3791848276942462,14,test
0.6003571428571428,0.22904083628310745,15,test
