roc_auc,prc_auc,split,set,model,dataset
0.9999773919334418,0.9998956015754383,1,train,gat,sider18
0.7233009708737864,0.35892466844843346,2,train,gat,sider18
0.8114103734620233,0.5069761797247994,3,train,gat,sider18
0.7716656289759346,0.3985760633075037,4,train,gat,sider18
0.9899220677281901,0.9601586836832854,5,train,gat,sider18
0.6495478409059674,0.26266671144437836,6,train,gat,sider18
0.6635908317774096,0.3164003234876125,7,train,gat,sider18
0.5274461409970875,0.1929678119207734,8,train,gat,sider18
0.748838976610656,0.3506842855785981,9,train,gat,sider18
0.9313619201725998,0.7986598940639483,10,train,gat,sider18
0.6578708534411547,0.27433440083820343,11,train,gat,sider18
0.7645597033106846,0.3900912773878303,12,train,gat,sider18
0.6208158104505099,0.2530509351989823,13,train,gat,sider18
0.5655908604837366,0.21416592208549917,14,train,gat,sider18
0.6290716767861916,0.24050973721869087,15,train,gat,sider18
0.7762289068231841,0.4461031633526937,1,validation,gat,sider18
0.7126168224299065,0.2886076284311797,2,validation,gat,sider18
0.6139122315592903,0.22537150281809396,3,validation,gat,sider18
0.6351020408163266,0.263577267807133,4,validation,gat,sider18
0.7134996331621424,0.40913268631945493,5,validation,gat,sider18
0.6605975723622782,0.23525886388974573,6,validation,gat,sider18
0.7183673469387755,0.39386065995877395,7,validation,gat,sider18
0.6759259259259259,0.17854254770583794,8,validation,gat,sider18
0.5828707375099128,0.2304589255877718,9,validation,gat,sider18
0.7260514018691588,0.34350719616562825,10,validation,gat,sider18
0.6638655462184874,0.30752454211249347,11,validation,gat,sider18
0.6743478260869565,0.27498621351240976,12,validation,gat,sider18
0.6563765182186234,0.23066434943015857,13,validation,gat,sider18
0.6271844660194175,0.2183103959351015,14,validation,gat,sider18
0.5546218487394957,0.20539254811719782,15,validation,gat,sider18
0.568953568953569,0.33668148851822016,1,test,gat,sider18
0.5407407407407407,0.2520594931072318,2,test,gat,sider18
0.5412979351032449,0.206346791881741,3,test,gat,sider18
0.5798394290811775,0.16561155122714044,4,test,gat,sider18
0.5527286135693215,0.25417651843574873,5,test,gat,sider18
0.5235690235690236,0.21729879071402258,6,test,gat,sider18
0.5882142857142857,0.26052487245429934,7,test,gat,sider18
0.5942480942480943,0.22097016419015333,8,test,gat,sider18
0.6310615989515072,0.27375430400748024,9,test,gat,sider18
0.601010101010101,0.2830468847460839,10,test,gat,sider18
0.515117994100295,0.1747611205013277,11,test,gat,sider18
0.5164203612479474,0.15681968231587315,12,test,gat,sider18
0.5798212005108557,0.24271479899735537,13,test,gat,sider18
0.5845849802371541,0.2014484070614334,14,test,gat,sider18
0.4960714285714286,0.16850397896773,15,test,gat,sider18
