roc_auc,prc_auc,split,set
0.9876425299678395,0.9948005104857455,1,train
0.922930283224401,0.9685797855109877,2,train
0.8869163085085618,0.957676044009793,3,train
0.719082974495528,0.8665748807327838,4,train
0.8579865510184193,0.9384211444398066,5,train
0.9552304697690286,0.9830180369145433,6,train
0.7637367751543547,0.8901503284185452,7,train
0.9263859958340009,0.9705494415590843,8,train
0.8897138493400982,0.9580297009411698,9,train
0.942066643914244,0.9771851652677794,10,train
0.9421553555292157,0.9769148516980445,11,train
0.9937106918238994,0.9974839225257401,12,train
0.9868531468531468,0.9944492760444731,13,train
0.9842032744366996,0.993861134676254,14,train
0.7892985696694137,0.8981815940587593,15,train
0.6770897832817337,0.8109375468686416,1,validation
0.710727969348659,0.8447182333602467,2,validation
0.6849002849002849,0.8119977854744389,3,validation
0.7726692209450831,0.8934643558644536,4,validation
0.6703703703703703,0.8405539828855124,5,validation
0.8068783068783069,0.8773908067916052,6,validation
0.7327922077922079,0.8499283363333349,7,validation
0.729864785420341,0.8245601655173564,8,validation
0.7207019631171921,0.8464141139664396,9,validation
0.7153159340659341,0.8638912113364622,10,validation
0.7448051948051948,0.8711834042791484,11,validation
0.7543129089827484,0.8269487366333989,12,validation
0.7406626506024097,0.8568312713222547,13,validation
0.7018633540372671,0.7906543034870085,14,validation
0.7752906976744187,0.8632298507076062,15,validation
0.6176470588235294,0.833202788640198,1,test
0.6091044037605146,0.7881001091636091,2,test
0.7265829408686552,0.863772452189608,3,test
0.5841379310344827,0.7003210175676117,4,test
0.7229199372056516,0.8646377626495854,5,test
0.6254180602006689,0.7285567903076239,6,test
0.7127355796687608,0.8839134847842076,7,test
0.6685990338164252,0.8249046967230518,8,test
0.663768115942029,0.8009373132551327,9,test
0.5894594594594594,0.8098947834254526,10,test
0.6253270538984825,0.8080140953491342,11,test
0.6854838709677419,0.8164945639926343,12,test
0.6302498670919724,0.8260117561800845,13,test
0.597163120567376,0.7436737645760226,14,test
0.7494499449944994,0.8878658933203899,15,test
