split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,sider23,SIDER23,tr,509,1366,96,1010,10.520833333333334,1010,0,96,0,0.0,1.0,0.9132007233273056,0.0,0.8096203376828678,0.9883869636963697
1,sider23,SIDER23,va,509,1366,12,111,9.25,111,0,12,0,0.0,1.0,0.9024390243902439,0.0,0.24126675534062034,0.7822822822822822
1,sider23,SIDER23,te,509,1366,12,125,10.416666666666666,125,0,12,0,0.0,1.0,0.9124087591240876,0.0,0.1600145801342827,0.472
2,sider23,SIDER23,tr,509,1366,99,1007,10.171717171717171,1007,0,99,0,0.0,1.0,0.9104882459312839,0.0,0.7977133587373524,0.9869198439208371
2,sider23,SIDER23,va,509,1366,12,111,9.25,111,0,12,0,0.0,1.0,0.9024390243902439,0.0,0.19275963488557105,0.6036036036036035
2,sider23,SIDER23,te,509,1366,9,128,14.222222222222221,128,0,9,0,0.0,1.0,0.9343065693430657,0.0,0.09234107069841262,0.5815972222222222
3,sider23,SIDER23,tr,509,1366,100,1006,10.06,1006,0,100,0,0.0,1.0,0.9095840867992767,0.0,0.8071323845527304,0.9870775347912524
3,sider23,SIDER23,va,509,1366,12,111,9.25,111,0,12,0,0.0,1.0,0.9024390243902439,0.0,0.17377086089294105,0.6463963963963963
3,sider23,SIDER23,te,509,1366,8,129,16.125,129,0,8,0,0.0,1.0,0.9416058394160584,0.0,0.11742757054101756,0.6511627906976745
4,sider23,SIDER23,tr,509,1366,97,1009,10.402061855670103,1009,0,97,0,0.0,1.0,0.9122965641952984,0.0,0.794563634931548,0.9845616257803479
4,sider23,SIDER23,va,509,1366,11,112,10.181818181818182,112,0,11,0,0.0,1.0,0.9105691056910569,0.0,0.13066020699085604,0.6136363636363636
4,sider23,SIDER23,te,509,1366,12,125,10.416666666666666,125,0,12,0,0.0,1.0,0.9124087591240876,0.0,0.2725050095118719,0.6693333333333333
5,sider23,SIDER23,tr,509,1366,97,1009,10.402061855670103,1009,0,97,0,0.0,1.0,0.9122965641952984,0.0,0.8567781271084721,0.9936652600819429
5,sider23,SIDER23,va,509,1366,12,111,9.25,111,0,12,0,0.0,1.0,0.9024390243902439,0.0,0.14055861939773018,0.5908408408408409
5,sider23,SIDER23,te,509,1366,11,126,11.454545454545455,126,0,11,0,0.0,1.0,0.9197080291970803,0.0,0.08286148876099617,0.4797979797979798
6,sider23,SIDER23,tr,509,1366,102,1004,9.843137254901961,1004,0,102,0,0.0,1.0,0.9077757685352622,0.0,0.8096052203396856,0.984776579954691
6,sider23,SIDER23,va,509,1366,7,116,16.571428571428573,116,0,7,0,0.0,1.0,0.943089430894309,0.0,0.2943210182159586,0.7536945812807881
6,sider23,SIDER23,te,509,1366,11,126,11.454545454545455,126,0,11,0,0.0,1.0,0.9197080291970803,0.0,0.07898681960355397,0.5238095238095238
7,sider23,SIDER23,tr,509,1366,98,1008,10.285714285714286,1008,0,98,0,0.0,1.0,0.9113924050632911,0.0,0.9234841279546095,0.9920634920634921
7,sider23,SIDER23,va,509,1366,12,111,9.25,111,0,12,0,0.0,1.0,0.9024390243902439,0.0,0.22678386980658016,0.674924924924925
7,sider23,SIDER23,te,509,1366,10,127,12.7,127,0,10,0,0.0,1.0,0.927007299270073,0.0,0.09283787921990391,0.5354330708661418
8,sider23,SIDER23,tr,509,1366,97,1009,10.402061855670103,1009,0,97,0,0.0,1.0,0.9122965641952984,0.0,0.8066452800565049,0.9875553012577524
8,sider23,SIDER23,va,509,1366,11,112,10.181818181818182,112,0,11,0,0.0,1.0,0.9105691056910569,0.0,0.3267974645090979,0.7443181818181818
8,sider23,SIDER23,te,509,1366,12,125,10.416666666666666,125,0,12,0,0.0,1.0,0.9124087591240876,0.0,0.17742033187996656,0.552
9,sider23,SIDER23,tr,509,1366,92,1014,11.021739130434783,1014,0,92,0,0.0,1.0,0.9168173598553345,0.0,0.8848872011690975,0.9934182317125461
9,sider23,SIDER23,va,509,1366,13,110,8.461538461538462,110,0,13,0,0.0,1.0,0.8943089430894309,0.0,0.1505179527947063,0.5832167832167832
9,sider23,SIDER23,te,509,1366,15,122,8.133333333333333,122,0,15,0,0.0,1.0,0.8905109489051095,0.0,0.19321381286692985,0.5163934426229508
10,sider23,SIDER23,tr,509,1366,99,1007,10.171717171717171,1007,0,99,0,0.0,1.0,0.9104882459312839,0.0,0.8273496396515742,0.9889059412396056
10,sider23,SIDER23,va,509,1366,10,113,11.3,113,0,10,0,0.0,1.0,0.9186991869918699,0.0,0.2017259941430647,0.5858407079646017
10,sider23,SIDER23,te,509,1366,11,126,11.454545454545455,126,0,11,0,0.0,1.0,0.9197080291970803,0.0,0.14931513452206344,0.608946608946609
11,sider23,SIDER23,tr,509,1366,100,1006,10.06,1006,0,100,0,0.0,1.0,0.9095840867992767,0.0,0.8406203481326233,0.98889662027833
11,sider23,SIDER23,va,509,1366,9,114,12.666666666666666,114,0,9,0,0.0,1.0,0.926829268292683,0.0,0.08427731093974958,0.5906432748538011
11,sider23,SIDER23,te,509,1366,11,126,11.454545454545455,126,0,11,0,0.0,1.0,0.9197080291970803,0.0,0.2584398741813465,0.6782106782106783
12,sider23,SIDER23,tr,509,1366,94,1012,10.76595744680851,1012,0,94,0,0.0,1.0,0.9150090415913201,0.0,0.8088354734746924,0.9885943150281725
12,sider23,SIDER23,va,509,1366,10,113,11.3,113,0,10,0,0.0,1.0,0.9186991869918699,0.0,0.08572191043544053,0.5309734513274337
12,sider23,SIDER23,te,509,1366,16,121,7.5625,121,0,16,0,0.0,1.0,0.8832116788321168,0.0,0.1780458188694193,0.6539256198347108
13,sider23,SIDER23,tr,509,1366,96,1010,10.520833333333334,1010,0,96,0,0.0,1.0,0.9132007233273056,0.0,0.803385038830073,0.9858395214521453
13,sider23,SIDER23,va,509,1366,10,113,11.3,113,0,10,0,0.0,1.0,0.9186991869918699,0.0,0.3046674432322445,0.8044247787610619
13,sider23,SIDER23,te,509,1366,14,123,8.785714285714286,123,0,14,0,0.0,1.0,0.8978102189781022,0.0,0.18673474179039942,0.6370499419279907
14,sider23,SIDER23,tr,509,1366,103,1003,9.737864077669903,1003,0,103,0,0.0,1.0,0.906871609403255,0.0,0.8297912668603683,0.9887231509355429
14,sider23,SIDER23,va,509,1366,7,116,16.571428571428573,116,0,7,0,0.0,1.0,0.943089430894309,0.0,0.0670296524807667,0.562807881773399
14,sider23,SIDER23,te,509,1366,10,127,12.7,127,0,10,0,0.0,1.0,0.927007299270073,0.0,0.13574700305774595,0.5850393700787402
15,sider23,SIDER23,tr,509,1366,92,1014,11.021739130434783,1014,0,92,0,0.0,1.0,0.9168173598553345,0.0,0.8262294205617338,0.989173312751908
15,sider23,SIDER23,va,509,1366,14,109,7.785714285714286,109,0,14,0,0.0,1.0,0.8861788617886179,0.0,0.19609761679643783,0.6336828309305373
15,sider23,SIDER23,te,509,1366,14,123,8.785714285714286,123,0,14,0,0.0,1.0,0.8978102189781022,0.0,0.2422991317071769,0.7090592334494773
