roc_auc,prc_auc,split,set
0.9850978038671443,0.9935039610511284,1,train
0.7949668002400448,0.8921277238123995,2,train
0.9575350007865344,0.9833680403460674,3,train
0.9938759406908411,0.9976263711992064,4,train
0.9251630384862682,0.9680594683335584,5,train
0.9564237738206809,0.9821317649033877,6,train
0.9267659881777087,0.9696009507189418,7,train
0.7899374262056128,0.8895505850278522,8,train
0.9628888505548847,0.9846498082372496,9,train
0.8863895649528446,0.9502460783462435,10,train
0.9605356300141575,0.9851800317584263,11,train
0.9761119463577419,0.990651898793603,12,train
0.9894939876145239,0.9956104042170056,13,train
0.8944275226491721,0.954291374457027,14,train
0.9949059805111921,0.9979862287641346,15,train
0.7713152676801057,0.8923944381257062,1,validation
0.7293956043956044,0.8722518636032268,2,validation
0.6758333333333333,0.7930981345147126,3,validation
0.7543760587238848,0.7708883046235987,4,validation
0.6959752321981424,0.8145845397900825,5,validation
0.7286111111111112,0.7396948252516354,6,validation
0.6809551208285386,0.7702650316386276,7,validation
0.6759036144578314,0.7908898723247152,8,validation
0.7690402476780186,0.8751757033964007,9,validation
0.7107293127629734,0.8854954446035594,10,validation
0.6845008273579702,0.717170448940947,11,validation
0.7433862433862435,0.8116972173050236,12,validation
0.7375478927203065,0.8365370967816921,13,validation
0.6564088085827217,0.7232298646301679,14,validation
0.7448559670781894,0.855333731685112,15,validation
0.5158878504672897,0.7954435035745817,1,test
0.704524886877828,0.8058727711242912,2,test
0.7166666666666667,0.8128066496328125,3,test
0.5998566650740564,0.7235945758238952,4,test
0.6140763997906855,0.7735874126674148,5,test
0.6814024390243902,0.8061556675194419,6,test
0.6505952380952381,0.8374624609013552,7,test
0.7051546391752577,0.8314773788490822,8,test
0.586340206185567,0.783003427678206,9,test
0.6827067669172933,0.7676455545400562,10,test
0.6945259042033236,0.8351272174654404,11,test
0.7055229716520038,0.8124927588511163,12,test
0.6314631463146314,0.797557273941049,13,test
0.6917367639782287,0.8288943832519874,14,test
0.6649758454106279,0.7652232464151876,15,test
