split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,sider25,SIDER25,tr,119,1366,751,355,0.47270306258322237,324,31,36,715,0.952063914780293,0.9126760563380282,0.9394213381555153,0.861586756677314,0.9940296794863034,0.9871382757262617
1,sider25,SIDER25,va,119,1366,89,34,0.38202247191011235,15,19,17,72,0.8089887640449438,0.4411764705882353,0.7073170731707317,0.2550150034756873,0.8808380807225282,0.7395902181097157
1,sider25,SIDER25,te,119,1366,107,30,0.2803738317757009,9,21,26,81,0.7570093457943925,0.3,0.656934306569343,0.054058559078359845,0.8404907303931783,0.6077881619937694
2,sider25,SIDER25,tr,119,1366,771,335,0.4345006485084306,310,25,22,749,0.9714656290531777,0.9253731343283582,0.9575045207956601,0.8991340436129007,0.9967259623447227,0.9922643591381615
2,sider25,SIDER25,va,119,1366,91,32,0.3516483516483517,13,19,14,77,0.8461538461538461,0.40625,0.7317073170731707,0.26753102603840606,0.8759738265639132,0.7129120879120879
2,sider25,SIDER25,te,119,1366,85,52,0.611764705882353,24,28,8,77,0.9058823529411765,0.46153846153846156,0.7372262773722628,0.42141040210048397,0.8678103165749246,0.792081447963801
3,sider25,SIDER25,tr,119,1366,780,326,0.41794871794871796,301,25,24,756,0.9692307692307692,0.9233128834355828,0.9556962025316456,0.893343269588569,0.9970974134128183,0.992948717948718
3,sider25,SIDER25,va,119,1366,75,48,0.64,15,33,12,63,0.84,0.3125,0.6341463414634146,0.17972297355158073,0.8202134387743975,0.7083333333333335
3,sider25,SIDER25,te,119,1366,92,45,0.4891304347826087,24,21,11,81,0.8804347826086957,0.5333333333333333,0.7664233576642335,0.44557732751156853,0.8206833185715579,0.7437198067632851
4,sider25,SIDER25,tr,119,1366,779,327,0.4197689345314506,308,19,34,745,0.9563543003851092,0.9418960244648318,0.9520795660036167,0.8869114380045948,0.9961245860482254,0.9901543969568136
4,sider25,SIDER25,va,119,1366,77,46,0.5974025974025974,20,26,8,69,0.8961038961038961,0.43478260869565216,0.7235772357723578,0.3818233774775613,0.8026854804902522,0.7583286278938453
