split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,sider26,SIDER26,tr,509,1366,1012,94,0.09288537549407115,84,10,19,993,0.9812252964426877,0.8936170212765957,0.9737793851717902,0.8394887618924269,0.9991612692347074,0.9910015978471113
1,sider26,SIDER26,va,509,1366,111,12,0.10810810810810811,1,11,7,104,0.9369369369369369,0.08333333333333333,0.8536585365853658,0.024390333466918657,0.9643254302604419,0.7327327327327327
1,sider26,SIDER26,te,509,1366,134,3,0.022388059701492536,0,3,6,128,0.9552238805970149,0.0,0.9343065693430657,-0.03202198174023814,0.9926448481345731,0.7574626865671641
2,sider26,SIDER26,tr,509,1366,1023,83,0.08113391984359726,73,10,23,1000,0.9775171065493646,0.8795180722891566,0.9701627486437613,0.8020089382845277,0.9994257945049447,0.9928335041043941
2,sider26,SIDER26,va,509,1366,116,7,0.0603448275862069,0,7,4,112,0.9655172413793104,0.0,0.9105691056910569,-0.04503773491110392,0.9512428398921421,0.5233990147783252
2,sider26,SIDER26,te,509,1366,118,19,0.16101694915254236,3,16,2,116,0.9830508474576272,0.15789473684210525,0.8686131386861314,0.2597749744132151,0.9212964584945955,0.6692685102586977
3,sider26,SIDER26,tr,509,1366,1020,86,0.08431372549019608,74,12,29,991,0.9715686274509804,0.8604651162790697,0.9629294755877035,0.766692425019882,0.9989480313984755,0.9875398996808026
3,sider26,SIDER26,va,509,1366,109,14,0.12844036697247707,3,11,4,105,0.963302752293578,0.21428571428571427,0.8780487804878049,0.2434523715140146,0.9528586437029531,0.735910878112713
3,sider26,SIDER26,te,509,1366,128,9,0.0703125,2,7,3,125,0.9765625,0.2222222222222222,0.927007299270073,0.2626257314728489,0.9474164821497358,0.572482638888889
4,sider26,SIDER26,tr,509,1366,1022,84,0.0821917808219178,76,8,20,1002,0.9804305283757339,0.9047619047619048,0.9746835443037974,0.8329261177845603,0.9993119191761037,0.9916247320846147
4,sider26,SIDER26,va,509,1366,109,14,0.12844036697247707,1,13,5,104,0.9541284403669725,0.07142857142857142,0.8536585365853658,0.03768068455643176,0.9311993995921197,0.631389252948886
4,sider26,SIDER26,te,509,1366,126,11,0.0873015873015873,1,10,5,121,0.9603174603174603,0.09090909090909091,0.8905109489051095,0.06802451602184681,0.9822625714828783,0.8127705627705628
5,sider26,SIDER26,tr,509,1366,1018,88,0.08644400785854617,71,17,23,995,0.9774066797642437,0.8068181818181818,0.9638336347197106,0.7610297742083701,0.9988617144179648,0.9866270762636187
5,sider26,SIDER26,va,509,1366,114,9,0.07894736842105263,0,9,9,105,0.9210526315789473,0.0,0.8536585365853658,-0.07894736842105227,0.9786129790893535,0.7933723196881092
5,sider26,SIDER26,te,509,1366,125,12,0.096,0,12,7,118,0.944,0.0,0.8613138686131386,-0.0718973627418331,0.910372489169109,0.4620000000000001
6,sider26,SIDER26,tr,509,1366,1025,81,0.07902439024390244,74,7,16,1009,0.984390243902439,0.9135802469135802,0.9792043399638336,0.8556544208300557,0.999432891985489,0.9928937067148449
6,sider26,SIDER26,va,509,1366,103,20,0.1941747572815534,4,16,2,101,0.9805825242718447,0.2,0.8536585365853658,0.30934334235650374,0.9334109623816937,0.7621359223300971
6,sider26,SIDER26,te,509,1366,129,8,0.06201550387596899,0,8,4,125,0.9689922480620154,0.0,0.9124087591240876,-0.043187126972274205,0.9565349600766891,0.5867248062015503
7,sider26,SIDER26,tr,509,1366,1015,91,0.0896551724137931,78,13,20,995,0.9802955665024631,0.8571428571428571,0.9701627486437613,0.8097730087938415,0.998993011591346,0.9890055757050832
7,sider26,SIDER26,va,509,1366,112,11,0.09821428571428571,1,10,4,108,0.9642857142857143,0.09090909090909091,0.8861788617886179,0.07975860564850923,0.9668215190831628,0.739448051948052
7,sider26,SIDER26,te,509,1366,130,7,0.05384615384615385,0,7,4,126,0.9692307692307692,0.0,0.9197080291970803,-0.040242181829276275,0.9835321667475738,0.7296703296703296
8,sider26,SIDER26,tr,509,1366,1013,93,0.09180651530108588,81,12,23,990,0.9772951628825272,0.8709677419354839,0.9683544303797469,0.8065404290452058,0.9990714668369499,0.9898735789574246
8,sider26,SIDER26,va,509,1366,114,9,0.07894736842105263,4,5,1,113,0.9912280701754386,0.4444444444444444,0.9512195121951219,0.5745235521054572,0.9615412996571937,0.7090643274853801
8,sider26,SIDER26,te,509,1366,130,7,0.05384615384615385,0,7,7,123,0.9461538461538461,0.0,0.8978102189781022,-0.05384615384615352,0.9747027243936668,0.6472527472527474
9,sider26,SIDER26,tr,509,1366,1021,85,0.0832517140058766,76,9,18,1003,0.9823702252693438,0.8941176470588236,0.9755877034358047,0.8371707809622068,0.9993960190131319,0.9927406809932592
9,sider26,SIDER26,va,509,1366,109,14,0.12844036697247707,3,11,0,109,1.0,0.21428571428571427,0.9105691056910569,0.4411834733337748,0.9562191527481539,0.7581913499344692
9,sider26,SIDER26,te,509,1366,127,10,0.07874015748031496,1,9,9,118,0.9291338582677166,0.1,0.8686131386861314,0.02913385826771645,0.950427584989973,0.5653543307086615
10,sider26,SIDER26,tr,509,1366,1020,86,0.08431372549019608,72,14,22,998,0.9784313725490196,0.8372093023255814,0.9674502712477396,0.7832384580647563,0.9986992068772916,0.9849065207478341
10,sider26,SIDER26,va,509,1366,116,7,0.0603448275862069,2,5,1,115,0.9913793103448276,0.2857142857142857,0.9512195121951219,0.4161532140173135,0.979022043779494,0.8306650246305419
10,sider26,SIDER26,te,509,1366,121,16,0.1322314049586777,3,13,2,119,0.9834710743801653,0.1875,0.8905109489051095,0.2928217619516626,0.9634373838419572,0.7846074380165289
11,sider26,SIDER26,tr,509,1366,1011,95,0.09396636993076163,86,9,32,979,0.9683481701285855,0.9052631578947369,0.9629294755877035,0.79293239529823,0.9991678996352927,0.9910458639179551
11,sider26,SIDER26,va,509,1366,118,5,0.0423728813559322,1,4,10,108,0.9152542372881356,0.2,0.8861788617886179,0.07975860564850923,0.9582251855705795,0.4516949152542372
11,sider26,SIDER26,te,509,1366,128,9,0.0703125,2,7,10,118,0.921875,0.2222222222222222,0.8759124087591241,0.12628047853591293,0.9778249977080786,0.7690972222222223
12,sider26,SIDER26,tr,509,1366,1018,88,0.08644400785854617,79,9,38,980,0.962671905697446,0.8977272727272727,0.9575045207956601,0.757049253281735,0.9985638983083329,0.9833619842829077
12,sider26,SIDER26,va,509,1366,114,9,0.07894736842105263,2,7,9,105,0.9210526315789473,0.2222222222222222,0.8699186991869918,0.1307489772649149,0.9433251410821,0.5614035087719298
12,sider26,SIDER26,te,509,1366,125,12,0.096,0,12,17,108,0.864,0.0,0.7883211678832117,-0.11661903789690582,0.9458745978754642,0.5973333333333333
13,sider26,SIDER26,tr,509,1366,1016,90,0.08858267716535433,72,18,25,991,0.9753937007874016,0.8,0.961121157323689,0.7494780651869407,0.9986148274328335,0.9843503937007875
13,sider26,SIDER26,va,509,1366,113,10,0.08849557522123894,2,8,6,107,0.9469026548672567,0.2,0.8861788617886179,0.16280770434968195,0.9678927414713546,0.7358407079646018
13,sider26,SIDER26,te,509,1366,128,9,0.0703125,1,8,6,122,0.953125,0.1111111111111111,0.8978102189781022,0.0722744481030177,0.9308890513743628,0.49305555555555564
14,sider26,SIDER26,tr,509,1366,1020,86,0.08431372549019608,78,8,13,1007,0.9872549019607844,0.9069767441860465,0.9810126582278481,0.8714563310486061,0.999404607741213,0.9931258549931601
14,sider26,SIDER26,va,509,1366,111,12,0.10810810810810811,2,10,9,102,0.918918918918919,0.16666666666666666,0.8455284552845529,0.088991265972821,0.937473207312661,0.6726726726726726
14,sider26,SIDER26,te,509,1366,126,11,0.0873015873015873,1,10,3,123,0.9761904761904762,0.09090909090909091,0.9051094890510949,0.10830425449557123,0.9526092195052283,0.6731601731601732
15,sider26,SIDER26,tr,509,1366,1020,86,0.08431372549019608,76,10,24,996,0.9764705882352941,0.8837209302325582,0.969258589511754,0.8032402769532805,0.9989163605791787,0.9870611035111719
15,sider26,SIDER26,va,509,1366,112,11,0.09821428571428571,0,11,7,105,0.9375,0.0,0.8536585365853658,-0.07698522025642958,0.9315596585859048,0.5211038961038961
15,sider26,SIDER26,te,509,1366,125,12,0.096,1,11,6,119,0.952,0.08333333333333333,0.8759124087591241,0.0453638122061566,0.9693144561315361,0.7383333333333333
