split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,sider27,SIDER27,tr,104,1366,721,385,0.5339805825242718,378,7,23,698,0.9680998613037448,0.9818181818181818,0.972875226039783,0.9412768750364542,0.9971281761688622,0.99366320226237
1,sider27,SIDER27,va,104,1366,79,44,0.5569620253164557,17,27,15,64,0.810126582278481,0.38636363636363635,0.6585365853658537,0.21467681060738028,0.7433473789006012,0.6547756041426926
1,sider27,SIDER27,te,104,1366,108,29,0.26851851851851855,9,20,23,85,0.7870370370370371,0.3103448275862069,0.6861313868613139,0.09401980020391312,0.8619829519224533,0.586845466155811
2,sider27,SIDER27,tr,104,1366,738,368,0.4986449864498645,357,11,30,708,0.959349593495935,0.970108695652174,0.9629294755877035,0.9182523901708218,0.9977062369615802,0.9951690821256038
2,sider27,SIDER27,va,104,1366,85,38,0.4470588235294118,13,25,26,59,0.6941176470588235,0.34210526315789475,0.5853658536585366,0.03596769891003307,0.8168982328338164,0.6188854489164086
2,sider27,SIDER27,te,104,1366,85,52,0.611764705882353,18,34,13,72,0.8470588235294118,0.34615384615384615,0.656934306569343,0.2240850877906576,0.7698501399480121,0.6705882352941176
3,sider27,SIDER27,tr,104,1366,735,371,0.5047619047619047,360,11,26,709,0.964625850340136,0.9703504043126685,0.9665461121157324,0.9261286195895538,0.9980275243280482,0.9958266864697362
3,sider27,SIDER27,va,104,1366,76,47,0.618421052631579,16,31,16,60,0.7894736842105263,0.3404255319148936,0.6178861788617886,0.14386878308117854,0.7032092347798456,0.5909854423292273
3,sider27,SIDER27,te,104,1366,97,40,0.41237113402061853,16,24,23,74,0.7628865979381443,0.4,0.656934306569343,0.16411787085981577,0.8349391743260994,0.6858247422680412
4,sider27,SIDER27,tr,104,1366,734,372,0.5068119891008175,362,10,26,708,0.9645776566757494,0.9731182795698925,0.9674502712477396,0.9283322732554502,0.997199626121158,0.9940010547596027
4,sider27,SIDER27,va,104,1366,86,37,0.43023255813953487,16,21,26,60,0.6976744186046512,0.43243243243243246,0.6178861788617886,0.12582968193699234,0.7945081585545004,0.6433060967944689
4,sider27,SIDER27,te,104,1366,88,49,0.5568181818181818,23,26,26,62,0.7045454545454546,0.46938775510204084,0.6204379562043796,0.1739332096474953,0.674951268316941,0.5702690166975881
5,sider27,SIDER27,tr,104,1366,731,375,0.5129958960328317,364,11,29,702,0.960328317373461,0.9706666666666667,0.9638336347197106,0.9208324669317596,0.9974680045654571,0.994796169630643
5,sider27,SIDER27,va,104,1366,81,42,0.5185185185185185,11,31,12,69,0.8518518518518519,0.2619047619047619,0.6504065040650406,0.1383502321988741,0.7898291811158251,0.6502057613168724
5,sider27,SIDER27,te,104,1366,96,41,0.4270833333333333,8,33,15,81,0.84375,0.1951219512195122,0.6496350364963503,0.04762637665289752,0.8109270163043862,0.6178861788617886
6,sider27,SIDER27,tr,104,1366,736,370,0.5027173913043478,360,10,25,711,0.9660326086956522,0.972972972972973,0.9683544303797469,0.9300578140468188,0.998532578104129,0.9968419506462985
6,sider27,SIDER27,va,104,1366,79,44,0.5569620253164557,14,30,18,61,0.7721518987341772,0.3181818181818182,0.6097560975609756,0.09869475626752182,0.6991593309406446,0.5701956271576525
6,sider27,SIDER27,te,104,1366,93,44,0.4731182795698925,16,28,25,68,0.7311827956989247,0.36363636363636365,0.6131386861313869,0.09667993910595657,0.7107745879945672,0.5708699902248289
7,sider27,SIDER27,tr,104,1366,731,375,0.5129958960328317,367,8,32,699,0.9562243502051984,0.9786666666666667,0.9638336347197106,0.9215929723890524,0.9975004297666143,0.9945900592795257
7,sider27,SIDER27,va,104,1366,74,49,0.6621621621621622,17,32,9,65,0.8783783783783784,0.3469387755102041,0.6666666666666666,0.2701690623571566,0.7517811631800257,0.6916712630998346
7,sider27,SIDER27,te,104,1366,103,34,0.3300970873786408,17,17,23,80,0.7766990291262136,0.5,0.708029197080292,0.2628753375628624,0.8841039645166346,0.7024557395773843
8,sider27,SIDER27,tr,104,1366,731,375,0.5129958960328317,358,17,21,710,0.9712722298221614,0.9546666666666667,0.9656419529837251,0.9235700481631725,0.9975821657529217,0.9948217054263565
8,sider27,SIDER27,va,104,1366,80,43,0.5375,16,27,20,60,0.75,0.37209302325581395,0.6178861788617886,0.1279555690060754,0.7530223477387717,0.5904069767441861
8,sider27,SIDER27,te,104,1366,97,40,0.41237113402061853,15,25,19,78,0.8041237113402062,0.375,0.6788321167883211,0.1885431987679973,0.8144152689408027,0.6572164948453608
9,sider27,SIDER27,tr,104,1366,751,355,0.47270306258322237,349,6,30,721,0.9600532623169108,0.9830985915492958,0.9674502712477396,0.92774571544896,0.9972896435921339,0.993167795052606
9,sider27,SIDER27,va,104,1366,76,47,0.618421052631579,18,29,13,63,0.8289473684210527,0.3829787234042553,0.6585365853658537,0.2371730801651704,0.7889362533142985,0.6816909294512878
9,sider27,SIDER27,te,104,1366,81,56,0.691358024691358,15,41,13,68,0.8395061728395061,0.26785714285714285,0.6058394160583942,0.13088810307145884,0.7449469858421252,0.6549823633156967
10,sider27,SIDER27,tr,104,1366,737,369,0.5006784260515604,361,8,30,707,0.9592944369063772,0.978319783197832,0.9656419529837251,0.9247614403969807,0.9978147130245129,0.9951296731420504
10,sider27,SIDER27,va,104,1366,84,39,0.4642857142857143,14,25,23,61,0.7261904761904762,0.358974358974359,0.6097560975609756,0.08641361408870037,0.7869561046524727,0.6166056166056166
10,sider27,SIDER27,te,104,1366,87,50,0.5747126436781609,21,29,16,71,0.8160919540229885,0.42,0.6715328467153284,0.255991151019786,0.7909178017608498,0.7027586206896551
11,sider27,SIDER27,tr,104,1366,740,366,0.4945945945945946,355,11,28,712,0.9621621621621622,0.9699453551912568,0.9647377938517179,0.9218364522349974,0.9972755973608549,0.9937546152710087
11,sider27,SIDER27,va,104,1366,82,41,0.5,12,29,14,68,0.8292682926829268,0.2926829268292683,0.6504065040650406,0.140803179259038,0.7805975014662201,0.661808447352766
11,sider27,SIDER27,te,104,1366,86,51,0.5930232558139535,17,34,11,75,0.872093023255814,0.3333333333333333,0.6715328467153284,0.2462624595425674,0.7275843825970945,0.6557227542179662
12,sider27,SIDER27,tr,104,1366,745,361,0.48456375838926175,352,9,22,723,0.9704697986577181,0.9750692520775623,0.9719710669077758,0.9371732104805335,0.9983462481531156,0.9961311792373906
12,sider27,SIDER27,va,104,1366,79,44,0.5569620253164557,12,32,13,66,0.8354430379746836,0.2727272727272727,0.6341463414634146,0.128844213516589,0.8141666002708726,0.6890103567318758
12,sider27,SIDER27,te,104,1366,84,53,0.6309523809523809,18,35,15,69,0.8214285714285714,0.33962264150943394,0.635036496350365,0.18342897458401553,0.7538946000170076,0.6388140161725068
13,sider27,SIDER27,tr,104,1366,730,376,0.5150684931506849,366,10,22,708,0.9698630136986301,0.973404255319149,0.9710669077757685,0.9362935518729651,0.9974909066550356,0.9944458612649374
13,sider27,SIDER27,va,104,1366,87,36,0.41379310344827586,12,24,17,70,0.8045977011494253,0.3333333333333333,0.6666666666666666,0.14784612434699917,0.7893046017590166,0.6123882503192849
13,sider27,SIDER27,te,104,1366,91,46,0.5054945054945055,18,28,20,71,0.7802197802197802,0.391304347826087,0.6496350364963503,0.18093202198834277,0.749650654245039,0.6227902532250358
14,sider27,SIDER27,tr,104,1366,743,363,0.48855989232839836,349,14,23,720,0.9690444145356663,0.9614325068870524,0.9665461121157324,0.9247701974723693,0.9973202869328744,0.9940120648550845
14,sider27,SIDER27,va,104,1366,80,43,0.5375,15,28,21,59,0.7375,0.3488372093023256,0.6016260162601627,0.09048286665429617,0.7578359962895506,0.5959302325581396
14,sider27,SIDER27,te,104,1366,85,52,0.611764705882353,20,32,19,66,0.7764705882352941,0.38461538461538464,0.6277372262773723,0.1732301644243263,0.6523262189792364,0.5816742081447964
15,sider27,SIDER27,tr,104,1366,741,365,0.4925775978407557,355,10,27,714,0.9635627530364372,0.9726027397260274,0.9665461121157324,0.9257787343420649,0.9973556630101214,0.9941471170021999
15,sider27,SIDER27,va,104,1366,78,45,0.5769230769230769,13,32,15,63,0.8076923076923077,0.28888888888888886,0.6178861788617886,0.11094438361640785,0.754358889231757,0.6374643874643875
15,sider27,SIDER27,te,104,1366,89,48,0.5393258426966292,25,23,24,65,0.7303370786516854,0.5208333333333334,0.656934306569343,0.2500027142987739,0.7640105564482149,0.6470037453183521
