auc_roc,auc_prc,split,set
0.8830189830922297,0.9480670169398777,1,train
0.9991641843072633,0.9996592597602523,2,train
0.8129776873767258,0.9013132220116836,3,train
0.8941657983644342,0.9572279365376336,4,train
0.9989254792826222,0.9995352899368777,5,train
0.8888799358605047,0.951811467618463,6,train
0.9132852096452158,0.9619946266284314,7,train
0.9733172772214476,0.9898641472599257,8,train
0.9707085739230509,0.988682101072019,9,train
0.8571499647898105,0.9333537013688985,10,train
0.9497639117758905,0.9809058262656796,11,train
0.9990598619317894,0.9996123555849921,12,train
0.9185539044502667,0.9662841842512492,13,train
0.9697485324910939,0.9876829662971273,14,train
0.9997237220169872,0.999885926700245,15,train
0.6400951814396193,0.7505988937830345,1,validation
0.6794871794871795,0.7396304186306715,2,validation
0.6159648020113137,0.799273739682215,3,validation
0.7780970625798211,0.891091505871319,4,validation
0.6690235690235691,0.8247158650642462,5,validation
0.6818181818181818,0.7531793591245399,6,validation
0.678228021978022,0.8503876381922848,7,validation
0.759238830667402,0.7915068902744653,8,validation
0.7165443252399774,0.793939739397273,9,validation
0.7251879699248119,0.8956124751244494,10,validation
0.6430340557275542,0.7569004041405664,11,validation
0.7033844189016603,0.8409310678453642,12,validation
0.659186535764376,0.829530369706762,13,validation
0.7662650602409639,0.8476128299389719,14,validation
0.6778365667254557,0.7881175675494021,15,validation
0.5574999999999999,0.8615410517871567,1,test
0.6867887184562098,0.8285847096527632,2,test
0.5299719887955183,0.7607918628708829,3,test
0.6372413793103449,0.7407195276634109,4,test
0.6359247967479674,0.8067839911635966,5,test
0.6421832884097035,0.7413220564374712,6,test
0.6850079744816587,0.8516992740411347,7,test
0.6371009942438515,0.7817976631483281,8,test
0.5544285007422068,0.7447999247420034,9,test
0.7206185567010309,0.8530174120210281,10,test
0.5466666666666666,0.6876148628486818,11,test
0.5558943089430894,0.7499529125850974,12,test
0.6340852130325815,0.7927386823533387,13,test
0.6645945945945946,0.8311610201932951,14,test
0.6972140762463344,0.8232713899428891,15,test
