roc_auc,prc_auc,split,set,model,dataset
0.9179113501464178,0.9774337623447664,1,train,mpnn,sider5
0.7381954184198223,0.9106166392553866,2,train,mpnn,sider5
0.7657508137741992,0.9203021977896644,3,train,mpnn,sider5
0.7141221736386837,0.9053285706258083,4,train,mpnn,sider5
0.7179609461259739,0.9053025488425035,5,train,mpnn,sider5
0.7471192052980132,0.9196976544260849,6,train,mpnn,sider5
0.79135793215693,0.936090598164965,7,train,mpnn,sider5
0.5971764176803152,0.8423429851486324,8,train,mpnn,sider5
0.9189056997521846,0.9817453271216572,9,train,mpnn,sider5
0.8248337028824833,0.9537525160606136,10,train,mpnn,sider5
0.8646541435999349,0.9625199290432815,11,train,mpnn,sider5
0.7198722286889906,0.8988184351193446,12,train,mpnn,sider5
0.9249404602305884,0.9817316327849865,13,train,mpnn,sider5
0.8418473639455784,0.9524442354612827,14,train,mpnn,sider5
0.7751625089696509,0.9241523715194806,15,train,mpnn,sider5
0.753763440860215,0.9068818400813514,1,validation,mpnn,sider5
0.716921692169217,0.9215023384971034,2,validation,mpnn,sider5
0.7053061224489796,0.9053320880535592,3,validation,mpnn,sider5
0.8562412342215988,0.94630121026491,4,validation,mpnn,sider5
0.7761904761904762,0.9454018622930476,5,validation,mpnn,sider5
0.7887013939838592,0.9179304527969557,6,validation,mpnn,sider5
0.7369565217391304,0.8973789620109156,7,validation,mpnn,sider5
0.6178120617110799,0.8231022665163843,8,validation,mpnn,sider5
0.7685834502103788,0.8544238235666776,9,validation,mpnn,sider5
0.7739898989898989,0.9112756864550279,10,validation,mpnn,sider5
0.6569565217391304,0.895685196013827,11,validation,mpnn,sider5
0.7118367346938775,0.8955561840617204,12,validation,mpnn,sider5
0.7191295546558705,0.9256976519394873,13,validation,mpnn,sider5
0.7230434782608695,0.9030437256434818,14,validation,mpnn,sider5
0.7306397306397306,0.9186680399114695,15,validation,mpnn,sider5
0.6637396694214875,0.9321795507636189,1,test,mpnn,sider5
0.6672897196261682,0.8906898119109312,2,test,mpnn,sider5
0.6316701316701315,0.8535394831973038,3,test,mpnn,sider5
0.7029823493609252,0.8699666947124927,4,test,mpnn,sider5
0.7098082595870207,0.9003403481103867,5,test,mpnn,sider5
0.502803738317757,0.8086889669681779,6,test,mpnn,sider5
0.6225425950196591,0.8554898596124872,7,test,mpnn,sider5
0.6222222222222222,0.9091006339207678,8,test,mpnn,sider5
0.5663716814159292,0.8557793897471291,9,test,mpnn,sider5
0.707242848447961,0.874523053352982,10,test,mpnn,sider5
0.61441647597254,0.86261680866915,11,test,mpnn,sider5
0.584610472541507,0.8425785394849753,12,test,mpnn,sider5
0.6171717171717171,0.8627099841448971,13,test,mpnn,sider5
0.597020097020097,0.8309133758685674,14,test,mpnn,sider5
0.7246376811594204,0.929484306596661,15,test,mpnn,sider5
