split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,sider5,SIDER5,tr,1,1366,893,213,0.23852183650615902,0,213,0,893,1.0,0.0,0.8074141048824593,0.0,0.9826365132964336,0.9312414239073861
1,sider5,SIDER5,va,1,1366,93,30,0.3225806451612903,0,30,1,92,0.989247311827957,0.0,0.7479674796747967,-0.051420848387234507,0.8903366753051495,0.7293906810035842
1,sider5,SIDER5,te,1,1366,121,16,0.1322314049586777,0,16,0,121,1.0,0.0,0.8832116788321168,0.0,0.9360885232052756,0.6880165289256198
2,sider5,SIDER5,tr,1,1366,899,207,0.23025583982202447,0,207,0,899,1.0,0.0,0.8128390596745028,0.0,0.9839187666442504,0.9328104764821891
2,sider5,SIDER5,va,1,1366,101,22,0.21782178217821782,0,22,0,101,1.0,0.0,0.8211382113821138,0.0,0.8900887355375362,0.6278127812781278
2,sider5,SIDER5,te,1,1366,107,30,0.2803738317757009,0,30,0,107,1.0,0.0,0.781021897810219,0.0,0.8756732121699984,0.6809968847352025
3,sider5,SIDER5,tr,1,1366,898,208,0.23162583518930957,3,205,1,897,0.9988864142538976,0.014423076923076924,0.8137432188065099,0.08663841441083735,0.9851113759413499,0.9394166523899263
3,sider5,SIDER5,va,1,1366,98,25,0.25510204081632654,0,25,0,98,1.0,0.0,0.7967479674796748,0.0,0.8832784185214052,0.6704081632653061
3,sider5,SIDER5,te,1,1366,111,26,0.23423423423423423,1,25,2,109,0.9819819819819819,0.038461538461538464,0.8029197080291971,0.0547760639287055,0.8976097288758709,0.6806999306999307
4,sider5,SIDER5,tr,1,1366,909,197,0.21672167216721672,0,197,0,909,1.0,0.0,0.8218806509945751,0.0,0.9868374473974115,0.9438860129667789
4,sider5,SIDER5,va,1,1366,92,31,0.33695652173913043,0,31,0,92,1.0,0.0,0.7479674796747967,0.0,0.8951187604610361,0.809256661991585
4,sider5,SIDER5,te,1,1366,106,31,0.29245283018867924,0,31,0,106,1.0,0.0,0.7737226277372263,0.0,0.8836908195389352,0.7391965916007304
5,sider5,SIDER5,tr,1,1366,889,217,0.2440944881889764,1,216,0,889,1.0,0.004608294930875576,0.8047016274864376,0.06088914482863379,0.9833567879944377,0.9355071975450073
5,sider5,SIDER5,va,1,1366,105,18,0.17142857142857143,0,18,0,105,1.0,0.0,0.8536585365853658,0.0,0.9217352878672505,0.6989417989417989
5,sider5,SIDER5,te,1,1366,113,24,0.21238938053097345,0,24,0,113,1.0,0.0,0.8248175182481752,0.0,0.9156393891464236,0.6969026548672567
6,sider5,SIDER5,tr,1,1366,906,200,0.22075055187637968,1,199,0,906,1.0,0.005,0.8200723327305606,0.06402770893380628,0.9866581080021547,0.942008830022075
6,sider5,SIDER5,va,1,1366,94,29,0.30851063829787234,1,28,0,94,1.0,0.034482758620689655,0.7723577235772358,0.16299902721083373,0.9329835565454662,0.8096111518708731
6,sider5,SIDER5,te,1,1366,107,30,0.2803738317757009,0,30,0,107,1.0,0.0,0.781021897810219,0.0,0.8065452529929186,0.5595015576323987
7,sider5,SIDER5,tr,1,1366,898,208,0.23162583518930957,1,207,0,898,1.0,0.004807692307692308,0.8128390596745028,0.06250652593844773,0.9843420426215488,0.9361963551481925
7,sider5,SIDER5,va,1,1366,100,23,0.23,0,23,0,100,1.0,0.0,0.8130081300813008,0.0,0.9152185153285716,0.7465217391304347
7,sider5,SIDER5,te,1,1366,109,28,0.25688073394495414,0,28,0,109,1.0,0.0,0.7956204379562044,0.0,0.8253701061685773,0.5792922673656619
8,sider5,SIDER5,tr,1,1366,898,208,0.23162583518930957,0,208,0,898,1.0,0.0,0.8119349005424955,0.0,0.9847508185434821,0.9369432071269487
8,sider5,SIDER5,va,1,1366,92,31,0.33695652173913043,0,31,0,92,1.0,0.0,0.7479674796747967,0.0,0.8832848969699757,0.7317671809256662
8,sider5,SIDER5,te,1,1366,117,20,0.17094017094017094,0,20,0,117,1.0,0.0,0.8540145985401459,0.0,0.9109485242781643,0.7104700854700855
9,sider5,SIDER5,tr,1,1366,902,204,0.2261640798226164,0,204,0,902,1.0,0.0,0.8155515370705244,0.0,0.9847259311629268,0.9350952132515977
9,sider5,SIDER5,va,1,1366,92,31,0.33695652173913043,0,31,0,92,1.0,0.0,0.7479674796747967,0.0,0.8989047369491129,0.7521037868162693
9,sider5,SIDER5,te,1,1366,113,24,0.21238938053097345,0,24,0,113,1.0,0.0,0.8248175182481752,0.0,0.8534344293107133,0.6091445427728612
10,sider5,SIDER5,tr,1,1366,902,204,0.2261640798226164,0,204,0,902,1.0,0.0,0.8155515370705244,0.0,0.9827810229659353,0.9291362332072518
10,sider5,SIDER5,va,1,1366,99,24,0.24242424242424243,0,24,0,99,1.0,0.0,0.8048780487804879,0.0,0.9308314004346367,0.76010101010101
10,sider5,SIDER5,te,1,1366,106,31,0.29245283018867924,0,31,0,106,1.0,0.0,0.7737226277372263,0.0,0.9298635672412863,0.8055386488131467
11,sider5,SIDER5,tr,1,1366,893,213,0.23852183650615902,3,210,0,893,1.0,0.014084507042253521,0.810126582278481,0.10678464270322356,0.9838345381942519,0.9360834660820465
11,sider5,SIDER5,va,1,1366,100,23,0.23,0,23,0,100,1.0,0.0,0.8130081300813008,0.0,0.8932920228678275,0.6495652173913044
11,sider5,SIDER5,te,1,1366,114,23,0.20175438596491227,0,23,0,114,1.0,0.0,0.8321167883211679,0.0,0.9167192552680942,0.7551487414187643
12,sider5,SIDER5,tr,1,1366,901,205,0.22752497225305215,1,204,0,901,1.0,0.004878048780487805,0.8155515370705244,0.06306731268022636,0.9846112604524271,0.935816572372161
12,sider5,SIDER5,va,1,1366,98,25,0.25510204081632654,0,25,1,97,0.9897959183673469,0.0,0.7886178861788617,-0.04572745711889065,0.8684487213525852,0.6955102040816327
12,sider5,SIDER5,te,1,1366,108,29,0.26851851851851855,0,29,0,108,1.0,0.0,0.7883211678832117,0.0,0.8552731276455207,0.5948275862068966
13,sider5,SIDER5,tr,1,1366,893,213,0.23852183650615902,2,211,1,892,0.9988801791713325,0.009389671361502348,0.8083182640144665,0.06269960543940674,0.9821009950943009,0.9292357354278714
13,sider5,SIDER5,va,1,1366,104,19,0.18269230769230768,0,19,1,103,0.9903846153846154,0.0,0.8373983739837398,-0.038697260005123094,0.9444031699497795,0.7297570850202428
13,sider5,SIDER5,te,1,1366,110,27,0.24545454545454545,1,26,0,110,1.0,0.037037037037037035,0.8102189781021898,0.17307925067797642,0.8743260432094917,0.6511784511784512
14,sider5,SIDER5,tr,1,1366,896,210,0.234375,10,200,1,895,0.9988839285714286,0.047619047619047616,0.8182640144665461,0.18379809198973582,0.9857996236047819,0.9415364583333332
14,sider5,SIDER5,va,1,1366,100,23,0.23,0,23,1,99,0.99,0.0,0.8048780487804879,-0.04341941848573374,0.863680765169144,0.6782608695652173
14,sider5,SIDER5,te,1,1366,111,26,0.23423423423423423,1,25,0,111,1.0,0.038461538461538464,0.8175182481751825,0.1771761911627274,0.8508260034062406,0.5457380457380457
15,sider5,SIDER5,tr,1,1366,894,212,0.2371364653243848,6,206,1,893,0.9988814317673378,0.02830188679245283,0.8128390596745028,0.13492464941260235,0.9851148809327004,0.9392042336752353
15,sider5,SIDER5,va,1,1366,99,24,0.24242424242424243,0,24,1,98,0.98989898989899,0.0,0.7967479674796748,-0.04457671986919854,0.870837271056924,0.595117845117845
15,sider5,SIDER5,te,1,1366,114,23,0.20175438596491227,1,22,2,112,0.9824561403508771,0.043478260869565216,0.8248175182481752,0.06623378019771162,0.9365831580690239,0.7520976353928299
