split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,sider5,SIDER5,tr,104,1366,893,213,0.23852183650615902,184,29,344,549,0.6147816349384099,0.863849765258216,0.6627486437613019,0.3778642782363195,0.9491221281501888,0.8201294365671445
1,sider5,SIDER5,va,104,1366,93,30,0.3225806451612903,22,8,37,56,0.6021505376344086,0.7333333333333333,0.6341463414634146,0.28837509744925643,0.8762012250438242,0.7069892473118279
1,sider5,SIDER5,te,104,1366,121,16,0.1322314049586777,12,4,52,69,0.5702479338842975,0.75,0.5912408759124088,0.20615202062954804,0.9429271710783765,0.6955061983471074
2,sider5,SIDER5,tr,104,1366,899,207,0.23025583982202447,199,8,103,796,0.8854282536151279,0.961352657004831,0.8996383363471971,0.7413180619750646,0.993818193420577,0.972618529444955
2,sider5,SIDER5,va,104,1366,101,22,0.21782178217821782,10,12,16,85,0.8415841584158416,0.45454545454545453,0.7723577235772358,0.27795937417351624,0.9370505671352803,0.7450495049504952
2,sider5,SIDER5,te,104,1366,107,30,0.2803738317757009,15,15,22,85,0.794392523364486,0.5,0.7299270072992701,0.27420693240366256,0.8758444799099565,0.6856697819314641
3,sider5,SIDER5,tr,104,1366,898,208,0.23162583518930957,200,8,85,813,0.9053452115812918,0.9615384615384616,0.9159132007233273,0.7745271585852066,0.9949267527736649,0.9768904188795615
3,sider5,SIDER5,va,104,1366,98,25,0.25510204081632654,10,15,19,79,0.8061224489795918,0.4,0.7235772357723578,0.19540938152598747,0.9117318188050292,0.7204081632653061
3,sider5,SIDER5,te,104,1366,111,26,0.23423423423423423,14,12,24,87,0.7837837837837838,0.5384615384615384,0.7372262773722628,0.28224443620235434,0.8952569570500013,0.6992376992376993
4,sider5,SIDER5,tr,104,1366,909,197,0.21672167216721672,189,8,85,824,0.9064906490649065,0.9593908629441624,0.9159132007233273,0.7674261205006764,0.9951731872503005,0.9766631485483573
4,sider5,SIDER5,va,104,1366,92,31,0.33695652173913043,17,14,16,76,0.8260869565217391,0.5483870967741935,0.7560975609756098,0.3669596115906208,0.9073019457050866,0.7934782608695652
4,sider5,SIDER5,te,104,1366,106,31,0.29245283018867924,17,14,17,89,0.839622641509434,0.5483870967741935,0.7737226277372263,0.3758532711231099,0.8940213237018964,0.7525867315885575
5,sider5,SIDER5,tr,104,1366,889,217,0.2440944881889764,189,28,257,632,0.7109111361079865,0.8709677419354839,0.7423146473779385,0.47105752190785544,0.967499456794196,0.878014960111553
5,sider5,SIDER5,va,104,1366,105,18,0.17142857142857143,15,3,27,78,0.7428571428571429,0.8333333333333334,0.7560975609756098,0.4294670242499593,0.9449254002026084,0.8222222222222222
5,sider5,SIDER5,te,104,1366,113,24,0.21238938053097345,17,7,45,68,0.6017699115044248,0.7083333333333334,0.6204379562043796,0.23682343539064443,0.9012684476020387,0.700221238938053
6,sider5,SIDER5,tr,104,1366,906,200,0.22075055187637968,180,20,123,783,0.8642384105960265,0.9,0.8707052441229657,0.6595213685756985,0.9889640604363519,0.9494619205298013
6,sider5,SIDER5,va,104,1366,94,29,0.30851063829787234,22,7,19,75,0.7978723404255319,0.7586206896551724,0.7886178861788617,0.5010993051012947,0.9357829838786526,0.8330887747615553
6,sider5,SIDER5,te,104,1366,107,30,0.2803738317757009,10,20,28,79,0.7383177570093458,0.3333333333333333,0.6496350364963503,0.06618596787977744,0.8476108236599759,0.6130841121495326
7,sider5,SIDER5,tr,104,1366,898,208,0.23162583518930957,206,2,91,807,0.8986636971046771,0.9903846153846154,0.9159132007233273,0.7838675971215097,0.9965807781115067,0.9842491862258008
7,sider5,SIDER5,va,104,1366,100,23,0.23,11,12,16,84,0.84,0.4782608695652174,0.7723577235772358,0.29979864418162394,0.9143039046325074,0.7278260869565217
7,sider5,SIDER5,te,104,1366,109,28,0.25688073394495414,10,18,17,92,0.8440366972477065,0.35714285714285715,0.7445255474452555,0.2039378713042852,0.8835826701079854,0.6705439056356488
8,sider5,SIDER5,tr,104,1366,898,208,0.23162583518930957,207,1,74,824,0.9175946547884187,0.9951923076923077,0.9321880650994575,0.8193305149617577,0.9965975431714365,0.984037712009594
8,sider5,SIDER5,va,104,1366,92,31,0.33695652173913043,14,17,13,79,0.8586956521739131,0.45161290322580644,0.7560975609756098,0.32550001394385586,0.8845122144627151,0.7154628330995794
8,sider5,SIDER5,te,104,1366,117,20,0.17094017094017094,11,9,22,95,0.811965811965812,0.55,0.7737226277372263,0.2988834323916753,0.9265434775477595,0.7256410256410257
9,sider5,SIDER5,tr,104,1366,902,204,0.2261640798226164,174,30,148,754,0.835920177383592,0.8529411764705882,0.8390596745027125,0.5881176404573041,0.9838607655088191,0.9292286204947612
9,sider5,SIDER5,va,104,1366,92,31,0.33695652173913043,17,14,28,64,0.6956521739130435,0.5483870967741935,0.6585365853658537,0.21997884668979753,0.8543000386505839,0.6981065918653576
9,sider5,SIDER5,te,104,1366,113,24,0.21238938053097345,12,12,32,81,0.7168141592920354,0.5,0.6788321167883211,0.17650811255736165,0.9001914805549297,0.6965339233038348
10,sider5,SIDER5,tr,104,1366,902,204,0.2261640798226164,204,0,46,856,0.9490022172949002,1.0,0.9584086799276673,0.8799919370725158,0.9991046129073908,0.9957393156819269
10,sider5,SIDER5,va,104,1366,99,24,0.24242424242424243,12,12,12,87,0.8787878787878788,0.5,0.8048780487804879,0.37878787878787845,0.9439963102059608,0.8026094276094276
10,sider5,SIDER5,te,104,1366,106,31,0.29245283018867924,15,16,13,93,0.8773584905660378,0.4838709677419355,0.7883211678832117,0.3748216557175916,0.9184441830191157,0.7878880097382837
11,sider5,SIDER5,tr,104,1366,893,213,0.23852183650615902,199,14,106,787,0.8812989921612542,0.9342723004694836,0.891500904159132,0.7196333539495177,0.9908926823801432,0.9607484398740334
11,sider5,SIDER5,va,104,1366,100,23,0.23,14,9,25,75,0.75,0.6086956521739131,0.7235772357723578,0.300550935429232,0.9035432834161999,0.6895652173913043
11,sider5,SIDER5,te,104,1366,114,23,0.20175438596491227,8,15,15,99,0.868421052631579,0.34782608695652173,0.781021897810219,0.21624713958810055,0.9255010197446828,0.7189168573607934
12,sider5,SIDER5,tr,104,1366,901,205,0.22752497225305215,205,0,53,848,0.9411764705882353,1.0,0.9520795660036167,0.8647739689235918,0.9989367872087581,0.994943287945643
12,sider5,SIDER5,va,104,1366,98,25,0.25510204081632654,11,14,16,82,0.8367346938775511,0.44,0.7560975609756098,0.26904761904761887,0.9023064093030766,0.7212244897959184
12,sider5,SIDER5,te,104,1366,108,29,0.26851851851851855,12,17,16,92,0.8518518518518519,0.41379310344827586,0.7591240875912408,0.2691040196609401,0.8620825583171089,0.6321839080459769
13,sider5,SIDER5,tr,104,1366,893,213,0.23852183650615902,202,11,115,778,0.8712206047032475,0.9483568075117371,0.8860759493670886,0.7147223762975684,0.9929739449636629,0.969478310700335
13,sider5,SIDER5,va,104,1366,104,19,0.18269230769230768,8,11,19,85,0.8173076923076923,0.42105263157894735,0.7560975609756098,0.2081181412233271,0.9478334219613251,0.7601214574898785
13,sider5,SIDER5,te,104,1366,110,27,0.24545454545454545,9,18,26,84,0.7636363636363637,0.3333333333333333,0.6788321167883211,0.0884463988516451,0.8606173940355708,0.6141414141414141
14,sider5,SIDER5,tr,104,1366,896,210,0.234375,206,4,85,811,0.9051339285714286,0.9809523809523809,0.9195298372513563,0.7892496171151182,0.9957563697977141,0.9807663690476192
14,sider5,SIDER5,va,104,1366,100,23,0.23,13,10,25,75,0.75,0.5652173913043478,0.7154471544715447,0.2659946045075666,0.9062427979620735,0.7421739130434782
14,sider5,SIDER5,te,104,1366,111,26,0.23423423423423423,11,15,26,85,0.7657657657657657,0.4230769230769231,0.7007299270072993,0.1667813469212985,0.8567746150080804,0.6081081081081082
15,sider5,SIDER5,tr,104,1366,894,212,0.2371364653243848,194,18,143,751,0.8400447427293065,0.9150943396226415,0.8544303797468354,0.6457813779724587,0.9861801006272957,0.9416550588831203
