split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,sider6,SIDER6,tr,119,1366,777,329,0.42342342342342343,329,0,0,777,1.0,1.0,1.0,1.0,1.0,1.0
1,sider6,SIDER6,va,119,1366,80,43,0.5375,0,43,2,78,0.975,0.0,0.6341463414634146,-0.09425655160603452,0.7208379818593053,0.6241279069767443
1,sider6,SIDER6,te,119,1366,105,32,0.3047619047619048,3,29,2,103,0.9809523809523809,0.09375,0.7737226277372263,0.16855130330864168,0.8119172588673209,0.5994047619047619
2,sider6,SIDER6,tr,119,1366,784,322,0.4107142857142857,322,0,0,784,1.0,1.0,1.0,1.0,1.0,1.0
2,sider6,SIDER6,va,119,1366,84,39,0.4642857142857143,1,38,0,84,1.0,0.02564102564102564,0.6910569105691057,0.13287014966074837,0.7831790259165883,0.6336996336996337
2,sider6,SIDER6,te,119,1366,94,43,0.4574468085106383,0,43,2,92,0.9787234042553191,0.0,0.6715328467153284,-0.08232247418362193,0.7425831339158153,0.6187530925284512
3,sider6,SIDER6,tr,119,1366,777,329,0.42342342342342343,329,0,0,777,1.0,1.0,1.0,1.0,1.0,1.0
3,sider6,SIDER6,va,119,1366,87,36,0.41379310344827586,0,36,1,86,0.9885057471264368,0.0,0.6991869918699187,-0.05823870490984447,0.7422110847989802,0.5705619412515964
3,sider6,SIDER6,te,119,1366,98,39,0.3979591836734694,5,34,3,95,0.9693877551020408,0.1282051282051282,0.7299270072992701,0.1878121316015527,0.6944640119621741,0.5442176870748299
4,sider6,SIDER6,tr,119,1366,790,316,0.4,0,316,0,790,1.0,0.0,0.7142857142857143,0.0,1.0,1.0
4,sider6,SIDER6,va,119,1366,80,43,0.5375,0,43,0,80,1.0,0.0,0.6504065040650406,0.0,0.6862247034983774,0.616279069767442
4,sider6,SIDER6,te,119,1366,92,45,0.4891304347826087,0,45,0,92,1.0,0.0,0.6715328467153284,0.0,0.7659759448810223,0.6304347826086957
5,sider6,SIDER6,tr,119,1366,769,337,0.43823146944083224,337,0,0,769,1.0,1.0,1.0,1.0,1.0,1.0
5,sider6,SIDER6,va,119,1366,95,28,0.29473684210526313,1,27,3,92,0.968421052631579,0.03571428571428571,0.7560975609756098,0.009775711820942522,0.8064337443499094,0.6090225563909774
5,sider6,SIDER6,te,119,1366,98,39,0.3979591836734694,2,37,0,98,1.0,0.05128205128205128,0.7299270072992701,0.19294292047210113,0.7615434644837336,0.5816326530612245
6,sider6,SIDER6,tr,119,1366,785,321,0.4089171974522293,321,0,0,785,1.0,1.0,1.0,1.0,1.0,1.0
6,sider6,SIDER6,va,119,1366,82,41,0.5,1,40,1,81,0.9878048780487805,0.024390243902439025,0.6666666666666666,0.04545454545454517,0.7850222458802373,0.6323616894705533
6,sider6,SIDER6,te,119,1366,95,42,0.4421052631578947,1,41,0,95,1.0,0.023809523809523808,0.7007299270072993,0.12896376491504938,0.7529858016018474,0.6293233082706766
7,sider6,SIDER6,tr,119,1366,777,329,0.42342342342342343,329,0,0,777,1.0,1.0,1.0,1.0,1.0,1.0
7,sider6,SIDER6,va,119,1366,88,35,0.3977272727272727,0,35,0,88,1.0,0.0,0.7154471544715447,0.0,0.7373058827976068,0.5873376623376624
7,sider6,SIDER6,te,119,1366,97,40,0.41237113402061853,2,38,1,96,0.9896907216494846,0.05,0.7153284671532847,0.12330816403814937,0.74404150337501,0.561340206185567
8,sider6,SIDER6,tr,119,1366,775,331,0.4270967741935484,331,0,0,775,1.0,1.0,1.0,1.0,1.0,1.0
8,sider6,SIDER6,va,119,1366,88,35,0.3977272727272727,1,34,4,84,0.9545454545454546,0.02857142857142857,0.6910569105691057,-0.038574648694470554,0.7865471325480624,0.6066558441558442
8,sider6,SIDER6,te,119,1366,99,38,0.3838383838383838,3,35,1,98,0.98989898989899,0.07894736842105263,0.7372262773722628,0.18307732252857278,0.751799802135066,0.5736310473152578
9,sider6,SIDER6,tr,119,1366,787,319,0.40533672172808133,319,0,0,787,1.0,1.0,1.0,1.0,1.0,1.0
9,sider6,SIDER6,va,119,1366,80,43,0.5375,1,42,0,80,1.0,0.023255813953488372,0.6585365853658537,0.12348973264146645,0.7035535979173726,0.6077034883720931
9,sider6,SIDER6,te,119,1366,95,42,0.4421052631578947,0,42,0,95,1.0,0.0,0.6934306569343066,0.0,0.732936506244773,0.5776942355889725
10,sider6,SIDER6,tr,119,1366,779,327,0.4197689345314506,327,0,0,779,1.0,1.0,1.0,1.0,1.0,1.0
10,sider6,SIDER6,va,119,1366,85,38,0.4470588235294118,2,36,1,84,0.9882352941176471,0.05263157894736842,0.6991869918699187,0.12241127449642407,0.7420906898567504,0.6012383900928793
10,sider6,SIDER6,te,119,1366,98,39,0.3979591836734694,0,39,0,98,1.0,0.0,0.7153284671532847,0.0,0.6954819840562496,0.5478806907378336
11,sider6,SIDER6,tr,119,1366,790,316,0.4,316,0,0,790,1.0,1.0,1.0,1.0,1.0,1.0
11,sider6,SIDER6,va,119,1366,78,45,0.5769230769230769,1,44,1,77,0.9871794871794872,0.022222222222222223,0.6341463414634146,0.03580574370197143,0.6527622534634083,0.5685185185185185
11,sider6,SIDER6,te,119,1366,94,43,0.4574468085106383,0,43,0,94,1.0,0.0,0.6861313868613139,0.0,0.7590570626706481,0.5916625432953984
12,sider6,SIDER6,tr,119,1366,779,327,0.4197689345314506,327,0,0,779,1.0,1.0,1.0,1.0,1.0,1.0
12,sider6,SIDER6,va,119,1366,89,34,0.38202247191011235,2,32,4,85,0.9550561797752809,0.058823529411764705,0.7073170731707317,0.028816834513209447,0.7497751880470496,0.5517184401850628
12,sider6,SIDER6,te,119,1366,94,43,0.4574468085106383,1,42,1,93,0.9893617021276596,0.023255813953488372,0.6861313868613139,0.04881914166703161,0.6986768590515036,0.5430479960415635
13,sider6,SIDER6,tr,119,1366,770,336,0.43636363636363634,336,0,0,770,1.0,1.0,1.0,1.0,1.0,1.0
13,sider6,SIDER6,va,119,1366,92,31,0.33695652173913043,2,29,3,89,0.967391304347826,0.06451612903225806,0.7398373983739838,0.07015209188549729,0.7931122921082869,0.605890603085554
13,sider6,SIDER6,te,119,1366,100,37,0.37,3,34,3,97,0.97,0.08108108108108109,0.7299270072992701,0.1108280441695981,0.77128155238638,0.6183783783783784
14,sider6,SIDER6,tr,119,1366,783,323,0.4125159642401022,323,0,0,783,1.0,1.0,1.0,1.0,1.0,1.0
14,sider6,SIDER6,va,119,1366,78,45,0.5769230769230769,1,44,2,76,0.9743589743589743,0.022222222222222223,0.6260162601626016,-0.010675210253672433,0.6120677916742521,0.5296296296296297
14,sider6,SIDER6,te,119,1366,101,36,0.3564356435643564,1,35,1,100,0.9900990099009901,0.027777777777777776,0.7372262773722628,0.06560237120601269,0.7664229928058033,0.573982398239824
15,sider6,SIDER6,tr,119,1366,779,327,0.4197689345314506,327,0,0,779,1.0,1.0,1.0,1.0,1.0,1.0
15,sider6,SIDER6,va,119,1366,84,39,0.4642857142857143,0,39,1,83,0.9880952380952381,0.0,0.6747967479674797,-0.06168971234249032,0.6975434676605777,0.5781440781440781
15,sider6,SIDER6,te,119,1366,99,38,0.3838383838383838,0,38,3,96,0.9696969696969697,0.0,0.7007299270072993,-0.09270057525764384,0.786427699026067,0.6376927166400851
