split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,sider8,SIDER8,tr,119,1366,190,916,4.821052631578947,852,64,9,181,0.9526315789473684,0.9301310043668122,0.933996383363472,0.8018328344659688,0.94243276239751,0.9866065272351183
1,sider8,SIDER8,va,119,1366,24,99,4.125,80,19,16,8,0.3333333333333333,0.8080808080808081,0.7154471544715447,0.1353937324099871,0.37188074441429303,0.6599326599326599
1,sider8,SIDER8,te,119,1366,31,106,3.4193548387096775,83,23,21,10,0.3225806451612903,0.7830188679245284,0.6788321167883211,0.10332895937916359,0.29748216229638136,0.6186853317102861
2,sider8,SIDER8,tr,119,1366,201,905,4.502487562189055,901,4,0,201,1.0,0.9955801104972376,0.9963833634719711,0.9880051402303947,1.0,1.0
2,sider8,SIDER8,va,119,1366,17,106,6.235294117647059,89,17,14,3,0.17647058823529413,0.839622641509434,0.7479674796747967,0.015051749932084843,0.23470023132386314,0.6342952275249722
2,sider8,SIDER8,te,119,1366,27,110,4.074074074074074,95,15,23,4,0.14814814814814814,0.8636363636363636,0.7226277372262774,0.013563507615306196,0.2321624525428483,0.5572390572390572
3,sider8,SIDER8,tr,119,1366,194,912,4.701030927835052,813,99,6,188,0.9690721649484536,0.8914473684210527,0.9050632911392406,0.7465795984621417,0.9115875018086017,0.9784347305118467
3,sider8,SIDER8,va,119,1366,27,96,3.5555555555555554,76,20,13,14,0.5185185185185185,0.7916666666666666,0.7317073170731707,0.28708076067372545,0.4208489791002578,0.6712962962962963
3,sider8,SIDER8,te,119,1366,24,113,4.708333333333333,94,19,16,8,0.3333333333333333,0.831858407079646,0.7445255474452555,0.15785376570893006,0.32159999426417585,0.644542772861357
4,sider8,SIDER8,tr,119,1366,205,901,4.3951219512195125,762,139,31,174,0.848780487804878,0.8457269700332963,0.8462929475587704,0.5991112534566855,0.782547982470907,0.9314772204325816
4,sider8,SIDER8,va,119,1366,19,104,5.473684210526316,82,22,14,5,0.2631578947368421,0.7884615384615384,0.7073170731707317,0.045070170710784216,0.16868095321564247,0.548582995951417
4,sider8,SIDER8,te,119,1366,21,116,5.523809523809524,87,29,10,11,0.5238095238095238,0.75,0.7153284671532847,0.21695583211306924,0.3495307338445446,0.6344417077175698
5,sider8,SIDER8,tr,119,1366,200,906,4.53,775,131,11,189,0.945,0.8554083885209713,0.8716094032549728,0.679367029194115,0.8598954729440281,0.967135761589404
5,sider8,SIDER8,va,119,1366,28,95,3.392857142857143,72,23,18,10,0.35714285714285715,0.7578947368421053,0.6666666666666666,0.10886853617160298,0.31778348660199235,0.6706766917293234
5,sider8,SIDER8,te,119,1366,17,120,7.0588235294117645,92,28,11,6,0.35294117647058826,0.7666666666666667,0.7153284671532847,0.09128862626529949,0.2625266459362329,0.611764705882353
6,sider8,SIDER8,tr,119,1366,198,908,4.585858585858586,778,130,21,177,0.8939393939393939,0.8568281938325991,0.8634719710669078,0.6427446300711024,0.8450620690583737,0.959846259956392
6,sider8,SIDER8,va,119,1366,19,104,5.473684210526316,75,29,9,10,0.5263157894736842,0.7211538461538461,0.6910569105691057,0.19219560064624874,0.2570376294286387,0.7054655870445343
