roc_auc,prc_auc,split,set,model,dataset
0.9628850048351002,0.974707100289905,1,train,attentivefp,sider
0.9936941738279004,0.9978644518095559,2,train,attentivefp,sider
0.8524233590406207,0.8484303719587745,3,train,attentivefp,sider
0.7620063584761284,0.7565326669825467,4,train,attentivefp,sider
0.7055814680547451,0.6932336568672044,5,train,attentivefp,sider
0.947726117685611,0.9577695012921456,6,train,attentivefp,sider
0.7516778335637598,0.7283725322901107,7,train,attentivefp,sider
0.7129132879261645,0.7005230456374522,8,train,attentivefp,sider
0.9886673273897547,0.9954851180062719,9,train,attentivefp,sider
0.966535258404882,0.9805220521753796,10,train,attentivefp,sider
0.9622343656588849,0.9731689231517642,11,train,attentivefp,sider
0.8424629321175507,0.8276673407350066,12,train,attentivefp,sider
0.8691965127402924,0.86123897743704,13,train,attentivefp,sider
0.90448359999244,0.9110478671702258,14,train,attentivefp,sider
0.9931195287254533,0.997568571913103,15,train,attentivefp,sider
0.6750733961180339,0.7011179468508391,1,validation,attentivefp,sider
0.6638324670055719,0.6811784367976297,2,validation,attentivefp,sider
0.6511048489482723,0.6521082431875405,3,validation,attentivefp,sider
0.6533168008336331,0.6564433418398942,4,validation,attentivefp,sider
0.6829868887366208,0.6811676091245432,5,validation,attentivefp,sider
0.6573557419166052,0.6873972437803053,6,validation,attentivefp,sider
0.7036158317191804,0.7060714735216771,7,validation,attentivefp,sider
0.6297764887452625,0.6353510974748993,8,validation,attentivefp,sider
0.6506176373336101,0.6368152709802358,9,validation,attentivefp,sider
0.6163259604393965,0.6511239569950503,10,validation,attentivefp,sider
0.6453384924878093,0.658555597579599,11,validation,attentivefp,sider
0.6611924624075486,0.6552237853653774,12,validation,attentivefp,sider
0.6742123070299209,0.6869320000394024,13,validation,attentivefp,sider
0.673690453476328,0.6870185420114537,14,validation,attentivefp,sider
0.651253818507291,0.6644923264234139,15,validation,attentivefp,sider
0.6045553687523252,0.6824296035931174,1,test,attentivefp,sider
0.6282900739736108,0.6889293969192046,2,test,attentivefp,sider
0.6661631516025088,0.6905864552835717,3,test,attentivefp,sider
0.5905094895242136,0.6075644796109537,4,test,attentivefp,sider
0.5984564016284781,0.632188912283516,5,test,attentivefp,sider
0.627216971520298,0.6440596582407574,6,test,attentivefp,sider
0.5944930055982554,0.6539791997966099,7,test,attentivefp,sider
0.6156048672698146,0.6557409802392656,8,test,attentivefp,sider
0.6133140417646916,0.6344816231484914,9,test,attentivefp,sider
0.6661158682732624,0.6862649246021879,10,test,attentivefp,sider
0.6175591165641842,0.6576894354112025,11,test,attentivefp,sider
0.6679055623929978,0.7043096510593094,12,test,attentivefp,sider
0.6535415947287312,0.6806873076425217,13,test,attentivefp,sider
0.5926203016072434,0.6153161618485121,14,test,attentivefp,sider
0.6813661120883531,0.6964414049289863,15,test,attentivefp,sider
