roc_auc,prc_auc,split,set
0.9197003274188766,0.9499929937318058,1,train
0.9292612441195971,0.9680627379295864,2,train
0.7566002790460593,0.7575090541755333,3,train
0.832057572400564,0.8545653227560512,4,train
0.8909027728448611,0.9234080623683293,5,train
0.7425435425077643,0.74184307028532,6,train
0.769997737665691,0.7959609110743763,7,train
0.9430986573833836,0.9768520596701511,8,train
0.7821244517108594,0.7850818846735436,9,train
0.8782855138092098,0.9077589101251269,10,train
0.7703259723868241,0.780684630437359,11,train
0.8824775278064384,0.9111801821703355,12,train
0.8680194729163005,0.8918693175567435,13,train
0.920883408664512,0.9627120079807865,14,train
0.9869567720301271,0.9969082732972795,15,train
0.681677847096986,0.7042366054722408,1,validation
0.6757048145364257,0.6742118486745499,2,validation
0.6589437503230151,0.6438486723857553,3,validation
0.6660175528583041,0.6764202820751618,4,validation
0.6805877771511356,0.6854064231956849,5,validation
0.6590658444627607,0.6657669730445887,6,validation
0.6768987299190137,0.6817115507972497,7,validation
0.6700037335033272,0.6926484501493881,8,validation
0.6434681541019215,0.6268676178445709,9,validation
0.6496904961349581,0.6693778434799219,10,validation
0.6578961109335174,0.6444617396177234,11,validation
0.6761396932162375,0.6783021298142953,12,validation
0.6954462995936872,0.7048222414690627,13,validation
0.6826440821552496,0.6837826779555348,14,validation
0.6712486344763442,0.6821898341494864,15,validation
0.6041512336653968,0.7015586794338952,1,test
0.6341739492825907,0.6850959016334097,2,test
0.6290278610594563,0.6601273022545799,3,test
0.6277111498956264,0.6304227878635034,4,test
0.6572779714073836,0.6810115356359909,5,test
0.5775223566453919,0.5996715919869652,6,test
0.5916125667108714,0.6527169391666777,7,test
0.6408722099245301,0.6842100298710377,8,test
0.6055021751135287,0.6518450065400714,9,test
0.6604317005857706,0.7037077428233,10,test
0.5973546350532504,0.6207826248836547,11,test
0.6649396737884863,0.7122272780588046,12,test
0.6445016806262169,0.6782773753073191,13,test
0.6368299457133783,0.6511390503303782,14,test
0.6478747316437067,0.6824608981529457,15,test
