roc_auc,prc_auc,split,set
0.8206180487026684,0.8175944140510502,1,train
0.8968302767042565,0.9312613318339402,2,train
0.7394129782862472,0.7479836045644025,3,train
0.7513731001119716,0.7615462337130094,4,train
0.786585642366766,0.7892102086107321,5,train
0.7408098663732969,0.7467288941626623,6,train
0.815233288242412,0.8282467471175479,7,train
0.8615315453392219,0.8872291983412635,8,train
0.7280343726525126,0.7287343516610845,9,train
0.8085730993470164,0.8088547827320192,10,train
0.7184989704376177,0.7238480421788601,11,train
0.8370220613762546,0.8380377270016468,12,train
0.8191967838257727,0.8266353169482863,13,train
0.8841347320043309,0.9108386648878656,14,train
0.7787932859468284,0.7925861326893178,15,train
0.6674507546659297,0.6911978227357435,1,validation
0.666678105980768,0.6705305305139755,2,validation
0.6563858931715578,0.6588802148633408,3,validation
0.6522697886747459,0.6442717523938769,4,validation
0.6791480877833304,0.6922909112444384,5,validation
0.6787159170647917,0.6700762437765714,6,validation
0.6763655895508293,0.6795675562294343,7,validation
0.6727388550201104,0.6515660502784391,8,validation
0.6432574711956741,0.6309989896163155,9,validation
0.6321870062405023,0.6442862655658799,10,validation
0.6250597580587246,0.642608509627764,11,validation
0.6777880409930691,0.6936967829403621,12,validation
0.6877304733045657,0.7028712912238766,13,validation
0.7021977622870914,0.6967437779694053,14,validation
0.6419153961601639,0.6664461994053915,15,validation
0.5677807313107853,0.685769800337069,1,test
0.6031188849096232,0.6714124321813096,2,test
0.6332059185420904,0.6503565264711336,3,test
0.6106045092953989,0.625093844078147,4,test
0.6362104828016499,0.6599277989060836,5,test
0.614137611709637,0.6156428835998616,6,test
0.6161757972523274,0.6488981814872953,7,test
0.6097128439909311,0.6659985487645849,8,test
0.6301465152667844,0.6403767769053742,9,test
0.6307643125859398,0.6592134002995761,10,test
0.5974406275054841,0.6305117605060566,11,test
0.6767776343522115,0.7041856082979999,12,test
0.6168251934331709,0.6710021608685635,13,test
0.5945259261473871,0.6080674229613224,14,test
0.7031653775340586,0.7103995497287277,15,test
