roc_auc,prc_auc,split,set
0.9289847430895314,0.9649630604828375,1,train
0.9130262105108128,0.9487162662092546,2,train
0.7735442829065471,0.7790829516679315,3,train
0.8393060572631481,0.8488068898975923,4,train
0.7584565056829135,0.7652553524922467,5,train
0.7355508333151497,0.7323882986474869,6,train
0.8485075793638449,0.8660213989819289,7,train
0.8358256212741869,0.8503573058152617,8,train
0.7268408257543293,0.7364495175413003,9,train
0.8728252724272519,0.8939545481323615,10,train
0.7614800785997178,0.7730113853221604,11,train
0.8666449161831912,0.8885668308053916,12,train
0.8487740188856624,0.8624781193651369,13,train
0.8255108974435073,0.8304350524682106,14,train
0.8002553990228237,0.8082212071507833,15,train
0.7123105485189599,0.72786778118435,1,validation
0.6757563311379569,0.6644833723105711,2,validation
0.6307074769931733,0.6373354511345023,3,validation
0.6667507170167142,0.6700876584818944,4,validation
0.6744256547806758,0.6716224731237112,5,validation
0.6590356738292853,0.655859554682611,6,validation
0.6994507336727052,0.692282580308501,7,validation
0.6458950602922745,0.6484478168649376,8,validation
0.6456860748392346,0.631100254393882,9,validation
0.6735461483792498,0.67818521352678,10,validation
0.6599667710466355,0.6481408800478975,11,validation
0.6823233454561544,0.6633278515366959,12,validation
0.7061646372469823,0.691479506350611,13,validation
0.6808438078426766,0.6670101056581673,14,validation
0.6595255313514211,0.6580965647702866,15,validation
0.5832620849648973,0.6774637544473424,1,test
0.6553990743912663,0.6960107680618335,2,test
0.6257941510435631,0.6514503795227715,3,test
0.6365484635220588,0.6425033829300937,4,test
0.6419347842139588,0.6680980441542212,5,test
0.5869302150400737,0.5945163454684353,6,test
0.6700210170814906,0.6701238868862789,7,test
0.6129088864849032,0.6615332127569118,8,test
0.5973305465386787,0.6134144911739542,9,test
0.6119140871871827,0.6630881012418208,10,test
0.6240320730042709,0.6546096514407551,11,test
0.706383992643452,0.718203504259765,12,test
0.5940490806663745,0.6520304529977364,13,test
0.6151137726024444,0.6281913128326659,14,test
0.6824062013595708,0.6873637891835204,15,test
