roc_auc,prc_auc,split,set,model,dataset
0.9221850111302934,0.9473348628135367,1,train,gat,sider
0.964300165828193,0.9833997673308652,2,train,gat,sider
0.8960515686572242,0.9271465370129947,3,train,gat,sider
0.6596124816549573,0.6595639261086198,4,train,gat,sider
0.910377071094907,0.9318553034599111,5,train,gat,sider
0.9643604738913198,0.9843644929029792,6,train,gat,sider
0.8921031653881999,0.9197997505550579,7,train,gat,sider
0.796425116606274,0.8032505506740665,8,train,gat,sider
0.9572912704627535,0.9840422826172645,9,train,gat,sider
0.9245675624469892,0.9389878422701643,10,train,gat,sider
0.9891405181801765,0.9968281034832736,11,train,gat,sider
0.991574215357291,0.9973393941426306,12,train,gat,sider
0.746070020767447,0.725397988564668,13,train,gat,sider
0.7633557065529103,0.7642156103993285,14,train,gat,sider
0.8894393655442003,0.9007667629151861,15,train,gat,sider
0.7091438246019552,0.7037578644414404,1,validation,gat,sider
0.7062784630553539,0.6765866663718882,2,validation,gat,sider
0.6264117954960936,0.6166954776586564,3,validation,gat,sider
0.628484649593478,0.6423789838307399,4,validation,gat,sider
0.6419253010377122,0.652007636329558,5,validation,gat,sider
0.6746018289709454,0.675809358574393,6,validation,gat,sider
0.7112046828677313,0.7082893391075322,7,validation,gat,sider
0.6428838660183445,0.6440334993738331,8,validation,gat,sider
0.6618201776229385,0.6369583704302456,9,validation,gat,sider
0.6614405927468974,0.6797239618030196,10,validation,gat,sider
0.6210998984623463,0.6278889381165246,11,validation,gat,sider
0.652699563961316,0.6529103697299106,12,validation,gat,sider
0.6907882547706136,0.6917264353365463,13,validation,gat,sider
0.6530322212103234,0.6518878770624561,14,validation,gat,sider
0.6441777350954841,0.6582044474998783,15,validation,gat,sider
0.6630001066556441,0.721871172054171,1,test,gat,sider
0.5942657806020555,0.6590315712705676,2,test,gat,sider
0.6391064055176052,0.6669449768309588,3,test,gat,sider
0.5815410509087032,0.5819192238643454,4,test,gat,sider
0.6364409323913991,0.6635177211676394,5,test,gat,sider
0.617284561025568,0.6270611203604598,6,test,gat,sider
0.6239052538992694,0.6671131849085237,7,test,gat,sider
0.630481280825379,0.6525080133900483,8,test,gat,sider
0.5985571842331997,0.6492493900491146,9,test,gat,sider
0.6349709936689935,0.6586414444070141,10,test,gat,sider
0.6118954808713497,0.6385517898961406,11,test,gat,sider
0.6493997939901367,0.6849814780313004,12,test,gat,sider
0.6084345136909263,0.6555152638666584,13,test,gat,sider
0.6140486956671651,0.6166344001628205,14,test,gat,sider
0.6570618132427284,0.6924646390537345,15,test,gat,sider
