roc_auc,prc_auc,split,set,model,dataset
0.9381213977524209,0.9548823459347028,1,train,gcn,sider
0.9287596643786971,0.9398939706332979,2,train,gcn,sider
0.7020303867655362,0.6899972330165911,3,train,gcn,sider
0.9480315162002965,0.9660838664897411,4,train,gcn,sider
0.6254561174367897,0.6373305469798716,5,train,gcn,sider
0.7413610803855657,0.7236201495411352,6,train,gcn,sider
0.9433955811954552,0.9616863373789108,7,train,gcn,sider
0.938027911326635,0.9486221141142918,8,train,gcn,sider
0.9262515803095736,0.9367097316634754,9,train,gcn,sider
0.7362069804717564,0.7327106705652968,10,train,gcn,sider
0.8392683489816675,0.8323029953790739,11,train,gcn,sider
0.9406984995234673,0.9526867123530202,12,train,gcn,sider
0.9705662440022224,0.9799105657463847,13,train,gcn,sider
0.8416151940627222,0.8295758922209419,14,train,gcn,sider
0.7677187925868807,0.7492265416665348,15,train,gcn,sider
0.6568640687231873,0.6941728605100402,1,validation,gcn,sider
0.6815238517425294,0.6792019743663624,2,validation,gcn,sider
0.6371161216738033,0.6402797294317115,3,validation,gcn,sider
0.6729210953477414,0.6436096495800488,4,validation,gcn,sider
0.6697235460778477,0.6631347645606402,5,validation,gcn,sider
0.6720079454126726,0.6734631597700731,6,validation,gcn,sider
0.6891106978320217,0.7019170996706082,7,validation,gcn,sider
0.6546268882335516,0.6373834889598358,8,validation,gcn,sider
0.6511369483462102,0.6211461546742026,9,validation,gcn,sider
0.622119323888654,0.647863974806026,10,validation,gcn,sider
0.658546829783575,0.6563541704066772,11,validation,gcn,sider
0.6606865524838104,0.6617389783652704,12,validation,gcn,sider
0.6706269362335269,0.7073265189344471,13,validation,gcn,sider
0.6687697954541626,0.6667571045020799,14,validation,gcn,sider
0.6293475686871004,0.6606944635798201,15,validation,gcn,sider
0.6167694103925229,0.6961017192864637,1,test,gcn,sider
0.6293599706642843,0.6681806857383414,2,test,gcn,sider
0.6375376252504337,0.6560652916104835,3,test,gcn,sider
0.6042122021110052,0.6050689276569388,4,test,gcn,sider
0.615651639061194,0.642386700179547,5,test,gcn,sider
0.6089523097873147,0.6097431884300812,6,test,gcn,sider
0.6433120321612641,0.6853750027351319,7,test,gcn,sider
0.6209191124713873,0.6739099447796826,8,test,gcn,sider
0.5982743816976656,0.6198223149189778,9,test,gcn,sider
0.619579443219685,0.6549828803225234,10,test,gcn,sider
0.605940022534685,0.6374453833450827,11,test,gcn,sider
0.646853530507603,0.6822086756716216,12,test,gcn,sider
0.6542015771423039,0.6566795461753557,13,test,gcn,sider
0.6112083541187956,0.6171798575053351,14,test,gcn,sider
0.6497637817209048,0.6797812802777825,15,test,gcn,sider
