roc_auc,prc_auc,split,set,model,dataset
0.6333542499615142,0.6330941046012073,1,train,mpnn,sider
0.7213279929860232,0.71418378499066,2,train,mpnn,sider
0.6645177720264047,0.6608048891869549,3,train,mpnn,sider
0.6337009383242903,0.6392501514175188,4,train,mpnn,sider
0.6464581389902574,0.6496677787198666,5,train,mpnn,sider
0.6991591566213374,0.6904263754219366,6,train,mpnn,sider
0.63428815112033,0.6367315780792717,7,train,mpnn,sider
0.6423853236676391,0.646023708312485,8,train,mpnn,sider
0.7072687782805581,0.6930474924820851,9,train,mpnn,sider
0.6463035791587601,0.638397200659785,10,train,mpnn,sider
0.6774334387451288,0.6900212065064194,11,train,mpnn,sider
0.6487594282368986,0.6630258902906505,12,train,mpnn,sider
0.7245820868675238,0.7155749521399419,13,train,mpnn,sider
0.7356617847792579,0.7379440560689431,14,train,mpnn,sider
0.621369406251867,0.6346234980580355,15,train,mpnn,sider
0.5982710197184423,0.6411181848271176,1,validation,mpnn,sider
0.6383585195449164,0.6235991212294832,2,validation,mpnn,sider
0.5918392066567132,0.6096182155367614,3,validation,mpnn,sider
0.6496604376744576,0.6451501411533327,4,validation,mpnn,sider
0.640884091336953,0.6666370429517771,5,validation,mpnn,sider
0.615730504989495,0.6287364241482044,6,validation,mpnn,sider
0.627156267082374,0.6455587882514541,7,validation,mpnn,sider
0.5847674503129735,0.610170810551473,8,validation,mpnn,sider
0.6246437049336293,0.615791922312404,9,validation,mpnn,sider
0.6130230605024926,0.6311366711978031,10,validation,mpnn,sider
0.6386030939860037,0.6353966968529158,11,validation,mpnn,sider
0.6160126235703169,0.6559333618468791,12,validation,mpnn,sider
0.6651828694294868,0.6946779364286825,13,validation,mpnn,sider
0.6181899944118201,0.6330043003038812,14,validation,mpnn,sider
0.6044187368608958,0.6362833189328151,15,validation,mpnn,sider
0.5312317044720861,0.6519028921948938,1,test,mpnn,sider
0.6164243129284951,0.6598628390129595,2,test,mpnn,sider
0.5852065762807588,0.6257665309413546,3,test,mpnn,sider
0.5568169488319894,0.5780989520024737,4,test,mpnn,sider
0.5841677483802473,0.6244227144255342,5,test,mpnn,sider
0.5665450412021442,0.5732052886615079,6,test,mpnn,sider
0.5593708311604292,0.6257466242317558,7,test,mpnn,sider
0.593181663819005,0.63811247611562,8,test,mpnn,sider
0.5851562277475463,0.6216547710711344,9,test,mpnn,sider
0.5419551890392179,0.6036532120880023,10,test,mpnn,sider
0.5488293469644885,0.597021944226957,11,test,mpnn,sider
0.6132169061575097,0.6588586308211117,12,test,mpnn,sider
0.5653908169256815,0.6207852350141899,13,test,mpnn,sider
0.5163016176328232,0.5566809354248355,14,test,mpnn,sider
0.6060390991448301,0.6497013591375655,15,test,mpnn,sider
