split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,sider,SIDER1,tr,509,1366,595,511,0.8588235294117647,503,8,19,576,0.9680672268907563,0.9843444227005871,0.9755877034358047,0.951156448884736,0.9972588996832183,0.99649394004177
1,sider,SIDER1,va,509,1366,62,61,0.9838709677419355,35,26,17,45,0.7258064516129032,0.5737704918032787,0.6504065040650406,0.30320635629726034,0.7155034920152725,0.7181385510312004
1,sider,SIDER1,te,509,1366,77,60,0.7792207792207793,37,23,13,64,0.8311688311688312,0.6166666666666667,0.7372262773722628,0.4615246210843412,0.7960152457508847,0.7694805194805194
2,sider,SIDER1,tr,509,1366,597,509,0.8525963149078727,500,9,22,575,0.9631490787269682,0.9823182711198428,0.9719710669077758,0.9439541876751271,0.9972671200642863,0.9964590470360972
2,sider,SIDER1,va,509,1366,64,59,0.921875,35,24,12,52,0.8125,0.5932203389830508,0.7073170731707317,0.4171450047853463,0.69570766387944,0.7492055084745762
2,sider,SIDER1,te,509,1366,73,64,0.8767123287671232,30,34,18,55,0.7534246575342466,0.46875,0.6204379562043796,0.23234338615912553,0.7495216601960473,0.7022688356164384
3,sider,SIDER1,tr,509,1366,599,507,0.8464106844741235,494,13,20,579,0.9666110183639399,0.9743589743589743,0.9701627486437613,0.9400495635450611,0.9975510941192066,0.996894890563826
3,sider,SIDER1,va,509,1366,63,60,0.9523809523809523,38,22,10,53,0.8412698412698413,0.6333333333333333,0.7398373983739838,0.4863235363526855,0.831726316123234,0.8145502645502646
3,sider,SIDER1,te,509,1366,72,65,0.9027777777777778,38,27,16,56,0.7777777777777778,0.5846153846153846,0.6861313868613139,0.3703113260868514,0.7196597324915475,0.7388888888888889
4,sider,SIDER1,tr,509,1366,601,505,0.8402662229617305,500,5,27,574,0.9550748752079867,0.9900990099009901,0.9710669077757685,0.9426490827724553,0.9975696556404834,0.9968896723282977
4,sider,SIDER1,va,509,1366,65,58,0.8923076923076924,36,22,9,56,0.8615384615384616,0.6206896551724138,0.7479674796747967,0.4997693816243872,0.7802203152885634,0.7856763925729444
4,sider,SIDER1,te,509,1366,68,69,1.0147058823529411,36,33,20,48,0.7058823529411765,0.5217391304347826,0.6131386861313869,0.2315025227584915,0.6444454410593699,0.6807331628303496
5,sider,SIDER1,tr,509,1366,596,510,0.8557046979865772,498,12,18,578,0.9697986577181208,0.9764705882352941,0.972875226039783,0.9455229767159177,0.9972281356663334,0.9964896696933807
5,sider,SIDER1,va,509,1366,62,61,0.9838709677419355,33,28,11,51,0.8225806451612904,0.5409836065573771,0.6829268292682927,0.37922944636457107,0.7426622547192584,0.7548915917503966
5,sider,SIDER1,te,509,1366,76,61,0.8026315789473685,31,30,20,56,0.7368421052631579,0.5081967213114754,0.635036496350365,0.25192560144092796,0.7316992153929682,0.6725625539257981
6,sider,SIDER1,tr,509,1366,609,497,0.8160919540229885,488,9,25,584,0.9589490968801314,0.9818913480885312,0.969258589511754,0.9384622120469772,0.9974105119460954,0.996669673211684
6,sider,SIDER1,va,509,1366,61,62,1.0163934426229508,39,23,11,50,0.819672131147541,0.6290322580645161,0.7235772357723578,0.45674588975300384,0.8200558001969904,0.8368588048651506
6,sider,SIDER1,te,509,1366,64,73,1.140625,38,35,20,44,0.6875,0.5205479452054794,0.5985401459854015,0.21008125609882633,0.664388137370121,0.6767979452054794
7,sider,SIDER1,tr,509,1366,582,524,0.9003436426116839,510,14,22,560,0.9621993127147767,0.9732824427480916,0.9674502712477396,0.9348688632790286,0.9972901122106651,0.9969931271477663
7,sider,SIDER1,va,509,1366,73,50,0.684931506849315,34,16,17,56,0.7671232876712328,0.68,0.7317073170731707,0.4457818538110479,0.8315572853697799,0.795068493150685
7,sider,SIDER1,te,509,1366,79,58,0.7341772151898734,35,23,21,58,0.7341772151898734,0.603448275862069,0.6788321167883211,0.3393331185022587,0.7292021471102458,0.6839807944129203
8,sider,SIDER1,tr,509,1366,598,508,0.8494983277591973,496,12,21,577,0.9648829431438127,0.9763779527559056,0.9701627486437613,0.9401335378536759,0.9975660488938078,0.9969188634029442
8,sider,SIDER1,va,509,1366,60,63,1.05,38,25,12,48,0.8,0.6031746031746031,0.6991869918699187,0.4102916087063206,0.7074585296551924,0.7653439153439154
8,sider,SIDER1,te,509,1366,76,61,0.8026315789473685,35,26,15,61,0.8026315789473685,0.5737704918032787,0.7007299270072993,0.38857878783921396,0.7860376508087222,0.7504314063848145
9,sider,SIDER1,tr,509,1366,594,512,0.8619528619528619,501,11,21,573,0.9646464646464646,0.978515625,0.9710669077757685,0.9420476356478178,0.997413865483169,0.9967908249158249
9,sider,SIDER1,va,509,1366,67,56,0.835820895522388,35,21,16,51,0.7611940298507462,0.625,0.6991869918699187,0.3903782693130952,0.7583827150688487,0.7417377398720683
9,sider,SIDER1,te,509,1366,73,64,0.8767123287671232,31,33,19,54,0.7397260273972602,0.484375,0.6204379562043796,0.23224727987218752,0.6863356163237864,0.670804794520548
10,sider,SIDER1,tr,509,1366,598,508,0.8494983277591973,499,9,20,578,0.9665551839464883,0.9822834645669292,0.9737793851717902,0.9474844363261938,0.997783650104567,0.9972513364759171
10,sider,SIDER1,va,509,1366,70,53,0.7571428571428571,35,18,18,52,0.7428571428571429,0.660377358490566,0.7073170731707317,0.4032345013477088,0.7950561570400793,0.7576819407008086
10,sider,SIDER1,te,509,1366,66,71,1.0757575757575757,42,29,11,55,0.8333333333333334,0.5915492957746479,0.708029197080292,0.43590569205005,0.7057537367805488,0.765685019206146
11,sider,SIDER1,tr,509,1366,602,504,0.8372093023255814,495,9,16,586,0.973421926910299,0.9821428571428571,0.9773960216998192,0.9545632646750812,0.9973391615205421,0.9964733955597743
11,sider,SIDER1,va,509,1366,64,59,0.921875,34,25,14,50,0.78125,0.576271186440678,0.6829268292682927,0.36615631213356703,0.7118266055460862,0.7121292372881357
11,sider,SIDER1,te,509,1366,68,69,1.0147058823529411,35,34,14,54,0.7941176470588235,0.5072463768115942,0.6496350364963503,0.31436271553501066,0.6876856366256565,0.7035379369138961
12,sider,SIDER1,tr,509,1366,590,516,0.8745762711864407,506,10,22,568,0.9627118644067797,0.9806201550387597,0.9710669077757685,0.9421814556981635,0.9967234921767785,0.9958415451320457
12,sider,SIDER1,va,509,1366,65,58,0.8923076923076924,40,18,14,51,0.7846153846153846,0.6896551724137931,0.7398373983739838,0.47706264758174594,0.8472785237787812,0.8079575596816977
12,sider,SIDER1,te,509,1366,79,58,0.7341772151898734,37,21,24,55,0.6962025316455697,0.6379310344827587,0.6715328467153284,0.3321818768995098,0.800708436965373,0.7540375381929288
13,sider,SIDER1,tr,509,1366,592,514,0.8682432432432432,505,9,24,568,0.9594594594594594,0.9824902723735408,0.9701627486437613,0.9404904654128092,0.9965457249458369,0.9956127090125145
13,sider,SIDER1,va,509,1366,72,51,0.7083333333333334,34,17,17,55,0.7638888888888888,0.6666666666666666,0.7235772357723578,0.4305555555555554,0.7953599839219654,0.7671568627450981
13,sider,SIDER1,te,509,1366,70,67,0.9571428571428572,35,32,20,50,0.7142857142857143,0.5223880597014925,0.6204379562043796,0.24135054646854454,0.6910377704383898,0.7081023454157783
14,sider,SIDER1,tr,509,1366,610,496,0.8131147540983606,485,11,26,584,0.9573770491803278,0.9778225806451613,0.9665461121157324,0.9329130088573216,0.9967449095730743,0.9956173982020096
14,sider,SIDER1,va,509,1366,61,62,1.0163934426229508,37,25,16,45,0.7377049180327869,0.5967741935483871,0.6666666666666666,0.3377091350241447,0.7548810953963956,0.757006874669487
14,sider,SIDER1,te,509,1366,63,74,1.1746031746031746,39,35,17,46,0.7301587301587301,0.527027027027027,0.6204379562043796,0.2607333145226499,0.6220307591510377,0.6855426855426855
15,sider,SIDER1,tr,509,1366,593,513,0.8650927487352446,502,11,17,576,0.9713322091062394,0.9785575048732943,0.9746835443037974,0.9491972789639108,0.9978575519315958,0.9973373568829325
15,sider,SIDER1,va,509,1366,65,58,0.8923076923076924,37,21,17,48,0.7384615384615385,0.6379310344827587,0.6910569105691057,0.3786084434667212,0.7821689561043779,0.7591511936339523
15,sider,SIDER1,te,509,1366,76,61,0.8026315789473685,43,18,23,53,0.6973684210526315,0.7049180327868853,0.7007299270072993,0.40013448347754293,0.7905816558917467,0.7532355478861087
1,sider,SIDER2,tr,509,1366,762,344,0.45144356955380577,304,40,23,739,0.9698162729658792,0.8837209302325582,0.9430379746835443,0.8658378305785593,0.9944761452006265,0.987445065006409
1,sider,SIDER2,va,509,1366,82,41,0.5,12,29,19,63,0.7682926829268293,0.2926829268292683,0.6097560975609756,0.06620339266654697,0.6884680551177655,0.535990481856038
1,sider,SIDER2,te,509,1366,112,25,0.22321428571428573,5,20,25,87,0.7767857142857143,0.2,0.6715328467153284,-0.021681125571623674,0.8818688288058854,0.582857142857143
2,sider,SIDER2,tr,509,1366,784,322,0.4107142857142857,278,44,16,768,0.9795918367346939,0.8633540372670807,0.945750452079566,0.8668300863457166,0.990274693583449,0.9797700912663202
2,sider,SIDER2,va,509,1366,78,45,0.5769230769230769,10,35,14,64,0.8205128205128205,0.2222222222222222,0.6016260162601627,0.05194149944491426,0.7104695709177749,0.5757834757834758
2,sider,SIDER2,te,509,1366,94,43,0.4574468085106383,14,29,14,80,0.851063829787234,0.32558139534883723,0.6861313868613139,0.20328615076159562,0.7912044982911378,0.6308758040573973
3,sider,SIDER2,tr,509,1366,768,338,0.4401041666666667,285,53,40,728,0.9479166666666666,0.8431952662721893,0.9159132007233273,0.8000363099913244,0.9891431170282226,0.974994606755424
3,sider,SIDER2,va,509,1366,86,37,0.43023255813953487,13,24,17,69,0.8023255813953488,0.35135135135135137,0.6666666666666666,0.16411817155360656,0.7681407311027375,0.5876807039597737
3,sider,SIDER2,te,509,1366,102,35,0.3431372549019608,10,25,31,71,0.696078431372549,0.2857142857142857,0.5912408759124088,-0.017340104231962992,0.7456944161283612,0.4879551820728292
