split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,sider,SIDER1,tr,104,1366,595,511,0.8588235294117647,474,37,36,559,0.9394957983193277,0.9275929549902152,0.933996383363472,0.8672099820767638,0.9865286852938463,0.9825601473466099
1,sider,SIDER1,va,104,1366,62,61,0.9838709677419355,40,21,19,43,0.6935483870967742,0.6557377049180327,0.6747967479674797,0.34956348670473514,0.6981365785060814,0.7445795875198308
1,sider,SIDER1,te,104,1366,77,60,0.7792207792207793,34,26,18,59,0.7662337662337663,0.5666666666666667,0.6788321167883211,0.3403487916166986,0.8018000620493159,0.7554112554112554
2,sider,SIDER1,tr,104,1366,597,509,0.8525963149078727,462,47,41,556,0.931323283082077,0.9076620825147348,0.9204339963833634,0.8397650456896,0.9843432879448701,0.9802697179413767
2,sider,SIDER1,va,104,1366,64,59,0.921875,37,22,14,50,0.78125,0.6271186440677966,0.7073170731707317,0.4141112649366403,0.7765410892509772,0.7775423728813559
2,sider,SIDER1,te,104,1366,73,64,0.8767123287671232,33,31,19,54,0.7397260273972602,0.515625,0.635036496350365,0.2625293673229684,0.7536887985290037,0.7172517123287672
3,sider,SIDER1,tr,104,1366,599,507,0.8464106844741235,458,49,33,566,0.9449081803005008,0.903353057199211,0.9258589511754068,0.8506848700185906,0.9856979808357816,0.9813248905967538
3,sider,SIDER1,va,104,1366,63,60,0.9523809523809523,34,26,12,51,0.8095238095238095,0.5666666666666667,0.6910569105691057,0.38862382149188823,0.7935081393829839,0.7870370370370371
3,sider,SIDER1,te,104,1366,72,65,0.9027777777777778,42,23,16,56,0.7777777777777778,0.6461538461538462,0.7153284671532847,0.42844117219971606,0.7201875016399262,0.7711538461538462
4,sider,SIDER1,tr,104,1366,601,505,0.8402662229617305,471,34,35,566,0.9417637271214643,0.9326732673267327,0.9376130198915009,0.8743001729495107,0.987789523423479,0.9834351987611405
4,sider,SIDER1,va,104,1366,65,58,0.8923076923076924,37,21,15,50,0.7692307692307693,0.6379310344827587,0.7073170731707317,0.4114403289482111,0.7359304965556559,0.7684350132625994
4,sider,SIDER1,te,104,1366,68,69,1.0147058823529411,43,26,19,49,0.7205882352941176,0.6231884057971014,0.6715328467153284,0.3453256907694613,0.6887684766906509,0.7408354646206309
5,sider,SIDER1,tr,104,1366,596,510,0.8557046979865772,466,44,33,563,0.9446308724832215,0.9137254901960784,0.930379746835443,0.8598668978797029,0.9864916562254966,0.9838498486642979
5,sider,SIDER1,va,104,1366,62,61,0.9838709677419355,36,25,14,48,0.7741935483870968,0.5901639344262295,0.6829268292682927,0.3708873518442188,0.678955038118533,0.7406134320465363
5,sider,SIDER1,te,104,1366,76,61,0.8026315789473685,31,30,22,54,0.7105263157894737,0.5081967213114754,0.6204379562043796,0.22319715961919404,0.7395082743805155,0.682916307161346
6,sider,SIDER1,tr,104,1366,609,497,0.8160919540229885,460,37,31,578,0.9490968801313628,0.9255533199195171,0.9385171790235082,0.8756749707779353,0.9879731417645995,0.984522900952513
6,sider,SIDER1,va,104,1366,61,62,1.0163934426229508,47,15,11,50,0.819672131147541,0.7580645161290323,0.7886178861788617,0.5786553915314007,0.8213205058612143,0.8556319407720783
6,sider,SIDER1,te,104,1366,64,73,1.140625,38,35,21,43,0.671875,0.5205479452054794,0.5912408759124088,0.1938808734168059,0.6008373272286383,0.6630993150684932
7,sider,SIDER1,tr,104,1366,582,524,0.9003436426116839,477,47,29,553,0.9501718213058419,0.9103053435114504,0.9312839059674503,0.8624136103400828,0.9849351905748966,0.9832556202617979
7,sider,SIDER1,va,104,1366,73,50,0.684931506849315,30,20,20,53,0.726027397260274,0.6,0.6747967479674797,0.32602739726027385,0.779920112412346,0.7542465753424656
7,sider,SIDER1,te,104,1366,79,58,0.7341772151898734,35,23,17,62,0.7848101265822784,0.603448275862069,0.708029197080292,0.39530951787235497,0.7505428716966742,0.706678306416412
8,sider,SIDER1,tr,104,1366,598,508,0.8494983277591973,470,38,39,559,0.9347826086956522,0.9251968503937008,0.930379746835443,0.8598535121034242,0.9847065410774968,0.9797734574566139
