split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,sider,SIDER1,tr,118,1366,595,511,0.8588235294117647,452,59,52,543,0.9126050420168067,0.8845401174168297,0.8996383363471971,0.7979815171208173,0.9781855571368936,0.9719811212156095
1,sider,SIDER1,va,118,1366,62,61,0.9838709677419355,38,23,22,40,0.6451612903225806,0.6229508196721312,0.6341463414634146,0.26818302974466113,0.7342521811842229,0.6861448968799577
1,sider,SIDER1,te,118,1366,77,60,0.7792207792207793,36,24,17,60,0.7792207792207793,0.6,0.7007299270072993,0.386309631572103,0.7833210466847838,0.7439393939393939
2,sider,SIDER1,tr,118,1366,597,509,0.8525963149078727,467,42,44,553,0.9262981574539364,0.9174852652259332,0.9222423146473779,0.8435447223561793,0.9815784533727672,0.9762499465237122
2,sider,SIDER1,va,118,1366,64,59,0.921875,40,19,12,52,0.8125,0.6779661016949152,0.7479674796747967,0.49601423838991915,0.6872256025900921,0.7521186440677967
2,sider,SIDER1,te,118,1366,73,64,0.8767123287671232,28,36,18,55,0.7534246575342466,0.4375,0.6058394160583942,0.2017036816324317,0.737250946257991,0.6875
3,sider,SIDER1,tr,118,1366,599,507,0.8464106844741235,461,46,42,557,0.9298831385642737,0.9092702169625246,0.9204339963833634,0.8396843865262422,0.9847951915679107,0.9793278080166484
3,sider,SIDER1,va,118,1366,63,60,0.9523809523809523,38,22,13,50,0.7936507936507936,0.6333333333333333,0.7154471544715447,0.4332178016403016,0.7774458643777304,0.8021164021164021
3,sider,SIDER1,te,118,1366,72,65,0.9027777777777778,42,23,23,49,0.6805555555555556,0.6461538461538462,0.6642335766423357,0.32670940170940166,0.6940191850437525,0.724145299145299
4,sider,SIDER1,tr,118,1366,601,505,0.8402662229617305,463,42,47,554,0.9217970049916805,0.9168316831683169,0.9195298372513563,0.8380007783098495,0.9824643243688341,0.9760695869919771
4,sider,SIDER1,va,118,1366,65,58,0.8923076923076924,37,21,9,56,0.8615384615384616,0.6379310344827587,0.7560975609756098,0.5152943332320696,0.7484595843549582,0.7790450928381963
4,sider,SIDER1,te,118,1366,68,69,1.0147058823529411,39,30,20,48,0.7058823529411765,0.5652173913043478,0.635036496350365,0.27373781882503234,0.6413566293534744,0.6922421142369991
5,sider,SIDER1,tr,118,1366,596,510,0.8557046979865772,460,50,49,547,0.9177852348993288,0.9019607843137255,0.9104882459312839,0.8198633590223746,0.9811961717725743,0.9767074615080931
5,sider,SIDER1,va,118,1366,62,61,0.9838709677419355,35,26,9,53,0.8548387096774194,0.5737704918032787,0.7154471544715447,0.44707704185961433,0.7128973104501825,0.7459016393442622
5,sider,SIDER1,te,118,1366,76,61,0.8026315789473685,32,29,21,55,0.7236842105263158,0.5245901639344263,0.635036496350365,0.2533529888774086,0.641599748153044,0.65595340811044
6,sider,SIDER1,tr,118,1366,609,497,0.8160919540229885,450,47,44,565,0.9277504105090312,0.9054325955734407,0.9177215189873418,0.833658261730103,0.9834088090868329,0.9780357018961058
6,sider,SIDER1,va,118,1366,61,62,1.0163934426229508,44,18,11,50,0.819672131147541,0.7096774193548387,0.7642276422764228,0.5323135359569944,0.8484232985266076,0.8574828133262824
6,sider,SIDER1,te,118,1366,64,73,1.140625,40,33,17,47,0.734375,0.547945205479452,0.635036496350365,0.28576626407161276,0.6255214341136689,0.6755136986301371
7,sider,SIDER1,tr,118,1366,582,524,0.9003436426116839,475,49,47,535,0.9192439862542955,0.9064885496183206,0.9132007233273056,0.8258950400632499,0.9782261066679543,0.9743710815560976
7,sider,SIDER1,va,118,1366,73,50,0.684931506849315,31,19,20,53,0.726027397260274,0.62,0.6829268292682927,0.3449892655412705,0.7709893605691915,0.718904109589041
7,sider,SIDER1,te,118,1366,79,58,0.7341772151898734,35,23,20,59,0.7468354430379747,0.603448275862069,0.6861313868613139,0.353068703964847,0.7954696358515263,0.7322130074203406
8,sider,SIDER1,tr,118,1366,598,508,0.8494983277591973,462,46,51,547,0.9147157190635451,0.9094488188976378,0.9122965641952984,0.8235886306873968,0.9807901089150994,0.9745806230742897
8,sider,SIDER1,va,118,1366,60,63,1.05,38,25,18,42,0.7,0.6031746031746031,0.6504065040650406,0.30430374899423157,0.6789671459195006,0.7264550264550265
8,sider,SIDER1,te,118,1366,76,61,0.8026315789473685,36,25,19,57,0.75,0.5901639344262295,0.6788321167883211,0.34488293736516434,0.6923861360075523,0.7040552200172562
9,sider,SIDER1,tr,118,1366,594,512,0.8619528619528619,466,46,45,549,0.9242424242424242,0.91015625,0.9177215189873418,0.8345125560102403,0.9809729817531044,0.9764638573232324
9,sider,SIDER1,va,118,1366,67,56,0.835820895522388,34,22,23,44,0.6567164179104478,0.6071428571428571,0.6341463414634146,0.2635083515371326,0.7225675230380519,0.7249466950959488
9,sider,SIDER1,te,118,1366,73,64,0.8767123287671232,29,35,24,49,0.6712328767123288,0.453125,0.5693430656934306,0.1273934612665198,0.6848226686393275,0.6303510273972602
10,sider,SIDER1,tr,118,1366,598,508,0.8494983277591973,457,51,39,559,0.9347826086956522,0.8996062992125984,0.918625678119349,0.8360749556401967,0.9802137211479446,0.9757064229847523
10,sider,SIDER1,va,118,1366,70,53,0.7571428571428571,39,14,21,49,0.7,0.7358490566037735,0.7154471544715447,0.4317945586508739,0.82411015142783,0.7741239892183288
10,sider,SIDER1,te,118,1366,66,71,1.0757575757575757,41,30,14,52,0.7878787878787878,0.5774647887323944,0.6788321167883211,0.3724040087208842,0.7052281530746205,0.7437046521553564
11,sider,SIDER1,tr,118,1366,602,504,0.8372093023255814,448,56,41,561,0.9318936877076412,0.8888888888888888,0.9122965641952984,0.82308489367663,0.9809472066363518,0.9750533934504034
11,sider,SIDER1,va,118,1366,64,59,0.921875,34,25,12,52,0.8125,0.576271186440678,0.6991869918699187,0.4014077788020687,0.7422989003096854,0.7611228813559321
11,sider,SIDER1,te,118,1366,68,69,1.0147058823529411,33,36,17,51,0.75,0.4782608695652174,0.6131386861313869,0.2370641269780184,0.6751191110043686,0.6922421142369991
12,sider,SIDER1,tr,118,1366,590,516,0.8745762711864407,471,45,47,543,0.9203389830508475,0.9127906976744186,0.9168173598553345,0.8329327155905402,0.9816808770672838,0.9776671922217843
12,sider,SIDER1,va,118,1366,65,58,0.8923076923076924,41,17,14,51,0.7846153846153846,0.7068965517241379,0.7479674796747967,0.49347930352202357,0.8254344344522402,0.7933687002652521
12,sider,SIDER1,te,118,1366,79,58,0.7341772151898734,42,16,27,52,0.6582278481012658,0.7241379310344828,0.6861313868613139,0.3778570744075658,0.8334333603679371,0.781972937581842
13,sider,SIDER1,tr,118,1366,592,514,0.8682432432432432,455,59,49,543,0.9172297297297297,0.8852140077821011,0.9023508137432188,0.8036065928141637,0.9788767128701018,0.9735250815017352
13,sider,SIDER1,va,118,1366,72,51,0.7083333333333334,32,19,18,54,0.75,0.6274509803921569,0.6991869918699187,0.3785867949645296,0.8107623411897639,0.7930283224400871
13,sider,SIDER1,te,118,1366,70,67,0.9571428571428572,38,29,15,55,0.7857142857142857,0.5671641791044776,0.6788321167883211,0.36218795140953863,0.6634169188920909,0.6901918976545842
14,sider,SIDER1,tr,118,1366,610,496,0.8131147540983606,447,49,57,553,0.9065573770491804,0.9012096774193549,0.9041591320072333,0.806637443924007,0.9794256276298531,0.9727029349550502
14,sider,SIDER1,va,118,1366,61,62,1.0163934426229508,38,24,14,47,0.7704918032786885,0.6129032258064516,0.6910569105691057,0.3880399087652493,0.7562489752748222,0.7673188789000529
14,sider,SIDER1,te,118,1366,63,74,1.1746031746031746,38,36,23,40,0.6349206349206349,0.5135135135135135,0.5693430656934306,0.14884979683631405,0.5576982493516401,0.6306306306306306
15,sider,SIDER1,tr,118,1366,593,513,0.8650927487352446,454,59,44,549,0.9258010118043845,0.884990253411306,0.906871609403255,0.8126969493779655,0.9805008680264091,0.9756187358033457
15,sider,SIDER1,va,118,1366,65,58,0.8923076923076924,32,26,21,44,0.676923076923077,0.5517241379310345,0.6178861788617886,0.23048869867474486,0.7343483976830598,0.716180371352785
15,sider,SIDER1,te,118,1366,76,61,0.8026315789473685,44,17,24,52,0.6842105263157895,0.7213114754098361,0.7007299270072993,0.4030947426293437,0.7964235318782866,0.7556082830025884
1,sider,SIDER2,tr,118,1366,762,344,0.45144356955380577,336,8,26,736,0.9658792650918635,0.9767441860465116,0.969258589511754,0.9299384271458707,0.9967723212487198,0.992026796069096
1,sider,SIDER2,va,118,1366,82,41,0.5,15,26,19,63,0.7682926829268293,0.36585365853658536,0.6341463414634146,0.14139798660049166,0.7548554219493103,0.6421772754312909
1,sider,SIDER2,te,118,1366,112,25,0.22321428571428573,6,19,25,87,0.7767857142857143,0.24,0.6788321167883211,0.015494767453904214,0.836287584422069,0.577142857142857
2,sider,SIDER2,tr,118,1366,784,322,0.4107142857142857,312,10,38,746,0.951530612244898,0.968944099378882,0.9566003616636528,0.8990894648450273,0.9979452537448985,0.9949375713018127
2,sider,SIDER2,va,118,1366,78,45,0.5769230769230769,13,32,14,64,0.8205128205128205,0.28888888888888886,0.6260162601626016,0.12730931094034356,0.7461788022322071,0.6347578347578348
2,sider,SIDER2,te,118,1366,94,43,0.4574468085106383,20,23,13,81,0.8617021276595744,0.46511627906976744,0.7372262773722628,0.35467536425875495,0.8939457998115873,0.7783275606135577
3,sider,SIDER2,tr,118,1366,768,338,0.4401041666666667,319,19,34,734,0.9557291666666666,0.9437869822485208,0.9520795660036167,0.8889208317432925,0.9954635413489787,0.9886895956607497
3,sider,SIDER2,va,118,1366,86,37,0.43023255813953487,15,22,21,65,0.7558139534883721,0.40540540540540543,0.6504065040650406,0.1625011357780406,0.8155569688911848,0.6225644248900063
3,sider,SIDER2,te,118,1366,102,35,0.3431372549019608,8,27,27,75,0.7352941176470589,0.22857142857142856,0.6058394160583942,-0.036134453781512595,0.7907224671922255,0.5711484593837536
4,sider,SIDER2,tr,118,1366,782,324,0.4143222506393862,315,9,29,753,0.9629156010230179,0.9722222222222222,0.9656419529837251,0.9193794619667786,0.9971858890778706,0.9927417827034195
4,sider,SIDER2,va,118,1366,87,36,0.41379310344827586,16,20,13,74,0.8505747126436781,0.4444444444444444,0.7317073170731707,0.3162264326310816,0.89594636511579,0.765006385696041
4,sider,SIDER2,te,118,1366,87,50,0.5747126436781609,16,34,11,76,0.8735632183908046,0.32,0.6715328467153284,0.234255199041125,0.7491041579056127,0.6505747126436783
5,sider,SIDER2,tr,118,1366,770,336,0.43636363636363634,322,14,24,746,0.9688311688311688,0.9583333333333334,0.9656419529837251,0.9196592670563121,0.997658748495998,0.9944805194805195
5,sider,SIDER2,va,118,1366,90,33,0.36666666666666664,15,18,17,73,0.8111111111111111,0.45454545454545453,0.7154471544715447,0.26828913992941,0.7756545737643246,0.6595959595959596
5,sider,SIDER2,te,118,1366,96,41,0.4270833333333333,12,29,13,83,0.8645833333333334,0.2926829268292683,0.6934306569343066,0.18645931674290844,0.817102401313187,0.6628556910569107
6,sider,SIDER2,tr,118,1366,793,313,0.39470365699873894,302,11,39,754,0.9508196721311475,0.9648562300319489,0.9547920433996383,0.8931875078214485,0.9968229052887824,0.9913621182148915
