split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,sider,SIDER1,tr,1,1366,595,511,0.8588235294117647,501,10,7,588,0.9882352941176471,0.9804305283757339,0.984629294755877,0.9690818541132175,0.9938424523320345,0.9952589254880034
1,sider,SIDER1,va,1,1366,62,61,0.9838709677419355,32,29,18,44,0.7096774193548387,0.5245901639344263,0.6178861788617886,0.23846603318866316,0.7173949681519084,0.6980433632998413
1,sider,SIDER1,te,1,1366,77,60,0.7792207792207793,35,25,17,60,0.7792207792207793,0.5833333333333334,0.6934306569343066,0.3706659466566777,0.7805795979608678,0.7699134199134199
2,sider,SIDER1,tr,1,1366,597,509,0.8525963149078727,499,10,11,586,0.981574539363484,0.9803536345776032,0.9810126582278481,0.9617905016481767,0.9920125350156468,0.9950719544020035
2,sider,SIDER1,va,1,1366,64,59,0.921875,37,22,10,54,0.84375,0.6271186440677966,0.7398373983739838,0.4841278188696774,0.7503796538471443,0.7796610169491526
2,sider,SIDER1,te,1,1366,73,64,0.8767123287671232,30,34,19,54,0.7397260273972602,0.46875,0.6131386861313869,0.21700421212714055,0.6496006773492649,0.6414811643835616
3,sider,SIDER1,tr,1,1366,599,507,0.8464106844741235,500,7,8,591,0.986644407345576,0.9861932938856016,0.9864376130198915,0.9726919811445821,0.998805206106135,0.9982943301294399
3,sider,SIDER1,va,1,1366,63,60,0.9523809523809523,37,23,17,46,0.7301587301587301,0.6166666666666667,0.6747967479674797,0.3493295838349068,0.7443870803152588,0.7505291005291005
3,sider,SIDER1,te,1,1366,72,65,0.9027777777777778,37,28,21,51,0.7083333333333334,0.5692307692307692,0.6423357664233577,0.28051667474164876,0.6968574429883375,0.7110042735042735
4,sider,SIDER1,tr,1,1366,601,505,0.8402662229617305,497,8,17,584,0.9717138103161398,0.9841584158415841,0.9773960216998192,0.9546415991630881,0.9978765050716588,0.9968633136192155
4,sider,SIDER1,va,1,1366,65,58,0.8923076923076924,35,23,15,50,0.7692307692307693,0.603448275862069,0.6910569105691057,0.3787557344763904,0.7499827289131114,0.7668435013262599
4,sider,SIDER1,te,1,1366,68,69,1.0147058823529411,38,31,17,51,0.75,0.5507246376811594,0.6496350364963503,0.3067324624102513,0.6882296348646831,0.725916453537937
5,sider,SIDER1,tr,1,1366,596,510,0.8557046979865772,501,9,7,589,0.988255033557047,0.9823529411764705,0.9855334538878843,0.9708890992630791,0.9986967606061397,0.9985475062508224
5,sider,SIDER1,va,1,1366,62,61,0.9838709677419355,36,25,12,50,0.8064516129032258,0.5901639344262295,0.6991869918699187,0.40651750030464817,0.7196184536505033,0.7533051295610789
5,sider,SIDER1,te,1,1366,76,61,0.8026315789473685,33,28,21,55,0.7236842105263158,0.5409836065573771,0.6423357664233577,0.2691763643387511,0.7405679812790392,0.6974762726488352
6,sider,SIDER1,tr,1,1366,609,497,0.8160919540229885,493,4,10,599,0.9835796387520526,0.9919517102615694,0.9873417721518988,0.9745080303450746,0.9959779464695778,0.9963921459793242
6,sider,SIDER1,va,1,1366,61,62,1.0163934426229508,37,25,8,53,0.8688524590163934,0.5967741935483871,0.7317073170731707,0.4833314279852153,0.8032840029151518,0.8098889476467478
6,sider,SIDER1,te,1,1366,64,73,1.140625,39,34,17,47,0.734375,0.5342465753424658,0.6277372262773723,0.2726187899645025,0.6087882986883792,0.6650256849315068
7,sider,SIDER1,tr,1,1366,582,524,0.9003436426116839,517,7,9,573,0.9845360824742269,0.9866412213740458,0.9855334538878843,0.9709990197213901,0.9963739122872158,0.9973111933055272
7,sider,SIDER1,va,1,1366,73,50,0.684931506849315,35,15,24,49,0.6712328767123288,0.7,0.6829268292682927,0.3649865579517808,0.7891428660646018,0.7473972602739727
7,sider,SIDER1,te,1,1366,79,58,0.7341772151898734,29,29,19,60,0.759493670886076,0.5,0.6496350364963503,0.26874394631434007,0.7071899957996729,0.701113051069402
8,sider,SIDER1,tr,1,1366,598,508,0.8494983277591973,502,6,10,588,0.9832775919732442,0.9881889763779528,0.9855334538878843,0.970916998676189,0.9972391963432782,0.9964826982329551
8,sider,SIDER1,va,1,1366,60,63,1.05,37,26,16,44,0.7333333333333333,0.5873015873015873,0.6585365853658537,0.3236456432188369,0.7380665546777815,0.7555555555555555
8,sider,SIDER1,te,1,1366,76,61,0.8026315789473685,38,23,17,59,0.7763157894736842,0.6229508196721312,0.708029197080292,0.4048055276239183,0.7136223695107619,0.7314495254529767
9,sider,SIDER1,tr,1,1366,594,512,0.8619528619528619,505,7,7,587,0.9882154882154882,0.986328125,0.9873417721518988,0.9745436132154882,0.997992121577612,0.9973613083964645
9,sider,SIDER1,va,1,1366,67,56,0.835820895522388,32,24,15,52,0.7761194029850746,0.5714285714285714,0.6829268292682927,0.35619715915672284,0.728772008259403,0.728278251599147
9,sider,SIDER1,te,1,1366,73,64,0.8767123287671232,31,33,25,48,0.6575342465753424,0.484375,0.5766423357664233,0.14402092250714355,0.6071005040324178,0.5943921232876712
10,sider,SIDER1,tr,1,1366,598,508,0.8494983277591973,500,8,9,589,0.9849498327759197,0.984251968503937,0.984629294755877,0.9690598583016405,0.9982566394572464,0.9978915940273353
10,sider,SIDER1,va,1,1366,70,53,0.7571428571428571,34,19,18,52,0.7428571428571429,0.6415094339622641,0.6991869918699187,0.38530240917752495,0.7967980395496858,0.7688679245283019
10,sider,SIDER1,te,1,1366,66,71,1.0757575757575757,34,37,14,52,0.7878787878787878,0.4788732394366197,0.6277372262773723,0.27937867214499196,0.6898476399516764,0.7426376440460948
11,sider,SIDER1,tr,1,1366,602,504,0.8372093023255814,496,8,10,592,0.9833887043189369,0.9841269841269841,0.9837251356238698,0.9672097062471096,0.9982707312070354,0.9974605152138375
11,sider,SIDER1,va,1,1366,64,59,0.921875,35,24,16,48,0.75,0.5932203389830508,0.6747967479674797,0.34804682189227354,0.6277430455821179,0.6991525423728814
11,sider,SIDER1,te,1,1366,68,69,1.0147058823529411,32,37,19,49,0.7205882352941176,0.463768115942029,0.5912408759124088,0.1906789676997519,0.674994766794131,0.6809462915601022
12,sider,SIDER1,tr,1,1366,590,516,0.8745762711864407,509,7,5,585,0.9915254237288136,0.9864341085271318,0.9891500904159132,0.9782037602404426,0.9991486244185771,0.9990227959532255
12,sider,SIDER1,va,1,1366,65,58,0.8923076923076924,38,20,14,51,0.7846153846153846,0.6551724137931034,0.7235772357723578,0.4444091631245172,0.7950432823984892,0.7651193633952256
12,sider,SIDER1,te,1,1366,79,58,0.7341772151898734,35,23,24,55,0.6962025316455697,0.603448275862069,0.656934306569343,0.2989989668237436,0.7609777575207961,0.7300305543430816
13,sider,SIDER1,tr,1,1366,592,514,0.8682432432432432,506,8,9,583,0.9847972972972973,0.9844357976653697,0.984629294755877,0.9691104861392963,0.9964656324938197,0.9963685718792723
13,sider,SIDER1,va,1,1366,72,51,0.7083333333333334,33,18,15,57,0.7916666666666666,0.6470588235294118,0.7317073170731707,0.4430910254820616,0.794730686900279,0.7777777777777778
13,sider,SIDER1,te,1,1366,70,67,0.9571428571428572,41,26,21,49,0.7,0.6119402985074627,0.656934306569343,0.31327910422387834,0.6903988655744241,0.7063965884861407
14,sider,SIDER1,tr,1,1366,610,496,0.8131147540983606,487,9,9,601,0.9852459016393442,0.9818548387096774,0.9837251356238698,0.9671007403490217,0.9968230751127334,0.9971757667900581
14,sider,SIDER1,va,1,1366,61,62,1.0163934426229508,32,30,13,48,0.7868852459016393,0.5161290322580645,0.6504065040650406,0.3145359548387602,0.7380962766611088,0.7562136435748281
14,sider,SIDER1,te,1,1366,63,74,1.1746031746031746,37,37,17,46,0.7301587301587301,0.5,0.6058394160583942,0.23473489820749516,0.6232198536115391,0.6700986700986701
15,sider,SIDER1,tr,1,1366,593,513,0.8650927487352446,503,10,7,586,0.9881956155143339,0.9805068226120858,0.984629294755877,0.9690991309954513,0.9971199150892472,0.9973751598407672
15,sider,SIDER1,va,1,1366,65,58,0.8923076923076924,34,24,16,49,0.7538461538461538,0.5862068965517241,0.6747967479674797,0.34559775914500535,0.6749642732017623,0.6904509283819629
15,sider,SIDER1,te,1,1366,76,61,0.8026315789473685,43,18,27,49,0.6447368421052632,0.7049180327868853,0.6715328467153284,0.34763610860865063,0.7849874983227288,0.7435289042277826
1,sider,SIDER2,tr,1,1366,762,344,0.45144356955380577,266,78,3,759,0.9960629921259843,0.7732558139534884,0.9267631103074141,0.8300880980224348,0.9955044462971219,0.9896138527742172
1,sider,SIDER2,va,1,1366,82,41,0.5,4,37,3,79,0.9634146341463414,0.0975609756097561,0.6747967479674797,0.12407291674636607,0.7507319763057181,0.6139202855443189
1,sider,SIDER2,te,1,1366,112,25,0.22321428571428573,2,23,5,107,0.9553571428571429,0.08,0.7956204379562044,0.06202053136528266,0.8552064966251377,0.5769642857142857
2,sider,SIDER2,tr,1,1366,784,322,0.4107142857142857,2,320,0,784,1.0,0.006211180124223602,0.7106690777576854,0.06641414050660638,0.9961686832684022,0.9903623716567371
2,sider,SIDER2,va,1,1366,78,45,0.5769230769230769,0,45,1,77,0.9871794871794872,0.0,0.6260162601626016,-0.06876683560916004,0.7599191915034713,0.633048433048433
2,sider,SIDER2,te,1,1366,94,43,0.4574468085106383,0,43,0,94,1.0,0.0,0.6861313868613139,0.0,0.7980850724940691,0.6848095002474023
3,sider,SIDER2,tr,1,1366,768,338,0.4401041666666667,275,63,7,761,0.9908854166666666,0.8136094674556213,0.9367088607594937,0.8503037352355451,0.9967893578596858,0.992603550295858
3,sider,SIDER2,va,1,1366,86,37,0.43023255813953487,6,31,9,77,0.8953488372093024,0.16216216216216217,0.6747967479674797,0.08060156879342806,0.7985877990933438,0.6147077309868008
3,sider,SIDER2,te,1,1366,102,35,0.3431372549019608,2,33,11,91,0.8921568627450981,0.05714285714285714,0.6788321167883211,-0.07545046976176178,0.7726545858182492,0.5429971988795518
4,sider,SIDER2,tr,1,1366,782,324,0.4143222506393862,2,322,0,782,1.0,0.006172839506172839,0.7088607594936709,0.06612433730132268,0.9972016885088146,0.9931640933345964
4,sider,SIDER2,va,1,1366,87,36,0.41379310344827586,0,36,0,87,1.0,0.0,0.7073170731707317,0.0,0.8510258841238645,0.7037037037037036
4,sider,SIDER2,te,1,1366,87,50,0.5747126436781609,0,50,0,87,1.0,0.0,0.635036496350365,0.0,0.694472684062623,0.6016091954022988
5,sider,SIDER2,tr,1,1366,770,336,0.43636363636363634,252,84,3,767,0.9961038961038962,0.75,0.9213381555153707,0.8146657137837287,0.9954161891096662,0.9895156926406926
5,sider,SIDER2,va,1,1366,90,33,0.36666666666666664,5,28,2,88,0.9777777777777777,0.15151515151515152,0.7560975609756098,0.24727202479638144,0.8404671139218745,0.6643097643097644
5,sider,SIDER2,te,1,1366,96,41,0.4270833333333333,2,39,2,94,0.9791666666666666,0.04878048780487805,0.7007299270072993,0.0760167545821253,0.7659844077848679,0.5777439024390244
6,sider,SIDER2,tr,1,1366,793,313,0.39470365699873894,3,310,0,793,1.0,0.009584664536741214,0.7197106690777577,0.08301131545078753,0.9961893262989561,0.9903367726391872
6,sider,SIDER2,va,1,1366,79,44,0.5569620253164557,0,44,0,79,1.0,0.0,0.6422764227642277,0.0,0.7652320674580583,0.67692750287687
6,sider,SIDER2,te,1,1366,84,53,0.6309523809523809,0,53,0,84,1.0,0.0,0.6131386861313869,0.0,0.7644486557288064,0.6720575022461815
7,sider,SIDER2,tr,1,1366,766,340,0.44386422976501305,8,332,0,766,1.0,0.023529411764705882,0.6998191681735986,0.12812053683821673,0.995453231047018,0.989905544463216
7,sider,SIDER2,va,1,1366,91,32,0.3516483516483517,0,32,1,90,0.989010989010989,0.0,0.7317073170731707,-0.053687647909935125,0.8488684349146041,0.6404532967032968
7,sider,SIDER2,te,1,1366,99,38,0.3838383838383838,0,38,2,97,0.9797979797979798,0.0,0.708029197080292,-0.07540884945007056,0.8158366449827359,0.6608187134502923
8,sider,SIDER2,tr,1,1366,784,322,0.4107142857142857,229,93,1,783,0.9987244897959183,0.7111801242236024,0.9150090415913201,0.7946392178117607,0.9969683974765591,0.9923310939282547
8,sider,SIDER2,va,1,1366,74,49,0.6621621621621622,2,47,1,73,0.9864864864864865,0.04081632653061224,0.6097560975609756,0.08665029474676987,0.791031138515625,0.7377275234418091
8,sider,SIDER2,te,1,1366,98,39,0.3979591836734694,0,39,1,97,0.9897959183673469,0.0,0.708029197080292,-0.0540940890318639,0.7482348012133371,0.5448717948717948
9,sider,SIDER2,tr,1,1366,785,321,0.4089171974522293,0,321,0,785,1.0,0.0,0.7097649186256781,0.0,0.996377046856455,0.9907296069210468
9,sider,SIDER2,va,1,1366,77,46,0.5974025974025974,1,45,0,77,1.0,0.021739130434782608,0.6341463414634146,0.11713495941449166,0.7731736763476157,0.7049689440993788
9,sider,SIDER2,te,1,1366,94,43,0.4574468085106383,0,43,0,94,1.0,0.0,0.6861313868613139,0.0,0.751235863990737,0.586343394359228
10,sider,SIDER2,tr,1,1366,764,342,0.4476439790575916,6,336,0,764,1.0,0.017543859649122806,0.6962025316455697,0.11038572359903094,0.9952675291337845,0.9892551514038148
10,sider,SIDER2,va,1,1366,95,28,0.29473684210526313,0,28,0,95,1.0,0.0,0.7723577235772358,0.0,0.905899016991041,0.7259398496240602
10,sider,SIDER2,te,1,1366,97,40,0.41237113402061853,1,39,1,96,0.9896907216494846,0.025,0.708029197080292,0.055689986267251905,0.806071999500118,0.6244845360824741
11,sider,SIDER2,tr,1,1366,784,322,0.4107142857142857,224,98,2,782,0.9974489795918368,0.6956521739130435,0.9095840867992767,0.7808849147961267,0.9964298341616366,0.990815930409431
11,sider,SIDER2,va,1,1366,85,38,0.4470588235294118,1,37,1,84,0.9882352941176471,0.02631578947368421,0.6910569105691057,0.05316048246429888,0.7270023963150427,0.5405572755417957
11,sider,SIDER2,te,1,1366,87,50,0.5747126436781609,3,47,3,84,0.9655172413793104,0.06,0.635036496350365,0.06002982499928332,0.73400270358433,0.598390804597701
12,sider,SIDER2,tr,1,1366,773,333,0.4307891332470893,3,330,0,773,1.0,0.009009009009009009,0.701627486437613,0.07945852544319265,0.9957949510500106,0.9898915733327118
12,sider,SIDER2,va,1,1366,87,36,0.41379310344827586,1,35,0,87,1.0,0.027777777777777776,0.7154471544715447,0.14074353686545749,0.8032709378029853,0.6270753512132823
12,sider,SIDER2,te,1,1366,96,41,0.4270833333333333,0,41,1,95,0.9895833333333334,0.0,0.6934306569343066,-0.05603854590771357,0.8256791307927677,0.6516768292682927
13,sider,SIDER2,tr,1,1366,769,337,0.43823146944083224,251,86,2,767,0.9973992197659298,0.744807121661721,0.9204339963833634,0.8133322718410804,0.9959550521425649,0.990239356673471
13,sider,SIDER2,va,1,1366,92,31,0.33695652173913043,3,28,4,88,0.9565217391304348,0.0967741935483871,0.7398373983739838,0.09988282400398454,0.803398484062992,0.6220196353436185
13,sider,SIDER2,te,1,1366,95,42,0.4421052631578947,1,41,3,92,0.968421052631579,0.023809523809523808,0.6788321167883211,-0.02127744271010039,0.7852028370983279,0.5859649122807017
14,sider,SIDER2,tr,1,1366,773,333,0.4307891332470893,0,333,0,773,1.0,0.0,0.6989150090415913,0.0,0.9963209632389134,0.9911483281470345
14,sider,SIDER2,va,1,1366,83,40,0.4819277108433735,0,40,0,83,1.0,0.0,0.6747967479674797,0.0,0.7996696024137365,0.6707831325301206
14,sider,SIDER2,te,1,1366,100,37,0.37,0,37,0,100,1.0,0.0,0.7299270072992701,0.0,0.7810040867745465,0.5975675675675676
15,sider,SIDER2,tr,1,1366,782,324,0.4143222506393862,2,322,0,782,1.0,0.006172839506172839,0.7088607594936709,0.06612433730132268,0.996689128673642,0.9916208834580531
15,sider,SIDER2,va,1,1366,81,42,0.5185185185185185,1,41,1,80,0.9876543209876543,0.023809523809523808,0.6585365853658537,0.04298231171314975,0.7190385257926657,0.5637860082304528
15,sider,SIDER2,te,1,1366,93,44,0.4731182795698925,1,43,1,92,0.989247311827957,0.022727272727272728,0.6788321167883211,0.04661722155178638,0.7490536934515415,0.5977517106549364
1,sider,SIDER3,tr,1,1366,16,1090,68.125,1090,0,16,0,0.0,1.0,0.9855334538878843,0.0,0.8561670457810163,0.9985951834862384
1,sider,SIDER3,va,1,1366,3,120,40.0,120,0,3,0,0.0,1.0,0.975609756097561,0.0,0.020612325439075672,0.44999999999999996
1,sider,SIDER3,te,1,1366,2,135,67.5,135,0,2,0,0.0,1.0,0.9854014598540146,0.0,0.058678300865800864,0.8629629629629629
2,sider,SIDER3,tr,1,1366,16,1090,68.125,1090,0,16,0,0.0,1.0,0.9855334538878843,0.0,0.9727676275929953,0.9996559633027523
2,sider,SIDER3,va,1,1366,3,120,40.0,120,0,3,0,0.0,1.0,0.975609756097561,0.0,0.023525378402738533,0.45
2,sider,SIDER3,te,1,1366,2,135,67.5,135,0,2,0,0.0,1.0,0.9854014598540146,0.0,0.010070726358217045,0.32222222222222224
3,sider,SIDER3,tr,1,1366,16,1090,68.125,1090,0,16,0,0.0,1.0,0.9855334538878843,0.0,0.007269318727032763,0.000516055045871544
3,sider,SIDER3,va,1,1366,3,120,40.0,120,0,3,0,0.0,1.0,0.975609756097561,0.0,0.021898770701794263,0.4722222222222222
3,sider,SIDER3,te,1,1366,2,135,67.5,135,0,2,0,0.0,1.0,0.9854014598540146,0.0,0.04522624039133473,0.7814814814814814
4,sider,SIDER3,tr,1,1366,18,1088,60.44444444444444,1088,0,18,0,0.0,1.0,0.9837251356238698,0.0,0.008183087300401286,0.0005361519607843133
4,sider,SIDER3,va,1,1366,1,122,122.0,122,0,1,0,0.0,1.0,0.991869918699187,0.0,0.006666666666666667,0.39344262295081966
4,sider,SIDER3,te,1,1366,2,135,67.5,135,0,2,0,0.0,1.0,0.9854014598540146,0.0,0.009491330753012997,0.2444444444444444
5,sider,SIDER3,tr,1,1366,17,1089,64.05882352941177,1089,0,17,0,0.0,1.0,0.984629294755877,0.0,1.0,1.0
5,sider,SIDER3,va,1,1366,1,122,122.0,122,0,1,0,0.0,1.0,0.991869918699187,0.0,0.013513513513513514,0.7049180327868853
5,sider,SIDER3,te,1,1366,3,134,44.666666666666664,134,0,3,0,0.0,1.0,0.9781021897810219,0.0,0.022981419557879797,0.4925373134328358
6,sider,SIDER3,tr,1,1366,16,1090,68.125,1090,0,16,0,0.0,1.0,0.9855334538878843,0.0,0.9727676275929953,0.9996559633027523
6,sider,SIDER3,va,1,1366,3,120,40.0,120,0,3,0,0.0,1.0,0.975609756097561,0.0,0.023525378402738533,0.45
6,sider,SIDER3,te,1,1366,2,135,67.5,135,0,2,0,0.0,1.0,0.9854014598540146,0.0,0.010070726358217045,0.32222222222222224
7,sider,SIDER3,tr,1,1366,18,1088,60.44444444444444,1088,0,18,0,0.0,1.0,0.9837251356238698,0.0,1.0,1.0
7,sider,SIDER3,va,1,1366,2,121,60.5,121,0,2,0,0.0,1.0,0.983739837398374,0.0,0.01839342249790011,0.5909090909090909
7,sider,SIDER3,te,1,1366,1,136,136.0,136,0,1,0,0.0,1.0,0.9927007299270073,0.0,0.008333333333333333,0.5661764705882353
8,sider,SIDER3,tr,1,1366,17,1089,64.05882352941177,1089,0,17,0,0.0,1.0,0.984629294755877,0.0,0.007727654596326991,0.0008102414519526737
8,sider,SIDER3,va,1,1366,1,122,122.0,122,0,1,0,0.0,1.0,0.991869918699187,0.0,0.006944444444444444,0.4180327868852459
8,sider,SIDER3,te,1,1366,3,134,44.666666666666664,134,0,3,0,0.0,1.0,0.9781021897810219,0.0,0.01199136840729357,0.1343283582089552
9,sider,SIDER3,tr,1,1366,18,1088,60.44444444444444,1088,0,18,0,0.0,1.0,0.9837251356238698,0.0,0.008181802787066834,5.106209150326779e-05
9,sider,SIDER3,va,1,1366,1,122,122.0,122,0,1,0,0.0,1.0,0.991869918699187,0.0,0.018518518518518517,0.7868852459016393
9,sider,SIDER3,te,1,1366,2,135,67.5,135,0,2,0,0.0,1.0,0.9854014598540146,0.0,0.012066817699035049,0.36296296296296293
10,sider,SIDER3,tr,1,1366,18,1088,60.44444444444444,1088,0,18,0,0.0,1.0,0.9837251356238698,0.0,0.008183087300401286,0.0005361519607843133
10,sider,SIDER3,va,1,1366,2,121,60.5,121,0,2,0,0.0,1.0,0.983739837398374,0.0,0.008745799925643777,0.11157024793388431
10,sider,SIDER3,te,1,1366,1,136,136.0,136,0,1,0,0.0,1.0,0.9927007299270073,0.0,0.007142857142857143,0.49264705882352944
11,sider,SIDER3,tr,1,1366,18,1088,60.44444444444444,1088,0,18,0,0.0,1.0,0.9837251356238698,0.0,0.9077136712521131,0.9988511029411764
11,sider,SIDER3,va,1,1366,1,122,122.0,122,0,1,0,0.0,1.0,0.991869918699187,0.0,0.022727272727272728,0.8278688524590164
11,sider,SIDER3,te,1,1366,2,135,67.5,135,0,2,0,0.0,1.0,0.9854014598540146,0.0,0.5063740402723453,0.5703703703703704
12,sider,SIDER3,tr,1,1366,16,1090,68.125,1090,0,16,0,0.0,1.0,0.9855334538878843,0.0,0.9727676275929953,0.9996559633027523
12,sider,SIDER3,va,1,1366,3,120,40.0,120,0,3,0,0.0,1.0,0.975609756097561,0.0,0.023525378402738533,0.45
12,sider,SIDER3,te,1,1366,2,135,67.5,135,0,2,0,0.0,1.0,0.9854014598540146,0.0,0.010070726358217045,0.32222222222222224
13,sider,SIDER3,tr,1,1366,17,1089,64.05882352941177,1089,0,17,0,0.0,1.0,0.984629294755877,0.0,0.007724897179502817,2.7008048398424092e-05
13,sider,SIDER3,va,1,1366,2,121,60.5,121,0,2,0,0.0,1.0,0.983739837398374,0.0,0.01052515918391467,0.27685950413223137
13,sider,SIDER3,te,1,1366,2,135,67.5,135,0,2,0,0.0,1.0,0.9854014598540146,0.0,0.019716329154612668,0.6592592592592592
14,sider,SIDER3,tr,1,1366,15,1091,72.73333333333333,1091,0,15,0,0.0,1.0,0.9864376130198915,0.0,0.006811922286932726,0.0
14,sider,SIDER3,va,1,1366,3,120,40.0,120,0,3,0,0.0,1.0,0.975609756097561,0.0,0.03001185973488038,0.5944444444444444
14,sider,SIDER3,te,1,1366,3,134,44.666666666666664,134,0,3,0,0.0,1.0,0.9781021897810219,0.0,0.018448695593393682,0.45771144278606957
15,sider,SIDER3,tr,1,1366,13,1093,84.07692307692308,1093,0,13,0,0.0,1.0,0.9882459312839059,0.0,0.9702400163938623,0.999683299317334
15,sider,SIDER3,va,1,1366,2,121,60.5,121,0,2,0,0.0,1.0,0.983739837398374,0.0,0.05415940766550523,0.8140495867768595
15,sider,SIDER3,te,1,1366,6,131,21.833333333333332,131,0,6,0,0.0,1.0,0.9562043795620438,0.0,0.19950997070115886,0.44783715012722647
1,sider,SIDER4,tr,1,1366,670,436,0.6507462686567164,156,280,108,562,0.8388059701492537,0.3577981651376147,0.6491862567811935,0.22537995360618723,0.7618381604340263,0.6742040942078598
1,sider,SIDER4,va,1,1366,84,39,0.4642857142857143,13,26,18,66,0.7857142857142857,0.3333333333333333,0.6422764227642277,0.1275903708942837,0.793237304549904,0.6202686202686203
1,sider,SIDER4,te,1,1366,99,38,0.3838383838383838,14,24,16,83,0.8383838383838383,0.3684210526315789,0.708029197080292,0.22388123048029063,0.827762296895433,0.6677299308878256
2,sider,SIDER4,tr,1,1366,704,402,0.5710227272727273,68,334,11,693,0.984375,0.1691542288557214,0.6880650994575045,0.28674222920319814,0.7858568846968459,0.6803464919719584
2,sider,SIDER4,va,1,1366,71,52,0.7323943661971831,6,46,1,70,0.9859154929577465,0.11538461538461539,0.6178861788617886,0.216004471423464,0.6465553592226676,0.6302816901408451
2,sider,SIDER4,te,1,1366,78,59,0.7564102564102564,1,58,1,77,0.9871794871794872,0.01694915254237288,0.5693430656934306,0.017045055187740316,0.6390055154117816,0.5744241634072142
3,sider,SIDER4,tr,1,1366,695,411,0.5913669064748202,89,322,26,669,0.962589928057554,0.21654501216545013,0.6853526220614828,0.283601072535938,0.7681450614296981,0.6634668907209997
