split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,sider,SIDER1,tr,509,1366,595,511,0.8588235294117647,511,0,0,595,1.0,1.0,1.0,1.0,1.0,1.0
1,sider,SIDER1,va,509,1366,62,61,0.9838709677419355,33,28,14,48,0.7741935483870968,0.5409836065573771,0.6585365853658537,0.324309572727099,0.7326373450734707,0.7459016393442623
1,sider,SIDER1,te,509,1366,77,60,0.7792207792207793,34,26,12,65,0.8441558441558441,0.5666666666666667,0.7226277372262774,0.43159420849650215,0.775396908633491,0.7573593073593075
2,sider,SIDER1,tr,509,1366,597,509,0.8525963149078727,509,0,0,597,1.0,1.0,1.0,1.0,1.0,1.0
2,sider,SIDER1,va,509,1366,64,59,0.921875,30,29,12,52,0.8125,0.5084745762711864,0.6666666666666666,0.3381578490530044,0.7235995834643109,0.715572033898305
2,sider,SIDER1,te,509,1366,73,64,0.8767123287671232,31,33,18,55,0.7534246575342466,0.484375,0.6277372262773723,0.2475273918616562,0.693190849445016,0.674978595890411
3,sider,SIDER1,tr,509,1366,599,507,0.8464106844741235,507,0,0,599,1.0,1.0,1.0,1.0,1.0,1.0
3,sider,SIDER1,va,509,1366,63,60,0.9523809523809523,34,26,8,55,0.873015873015873,0.5666666666666667,0.7235772357723578,0.46346609093473057,0.7676507902811223,0.7981481481481482
3,sider,SIDER1,te,509,1366,72,65,0.9027777777777778,33,32,15,57,0.7916666666666666,0.5076923076923077,0.656934306569343,0.3133282742776759,0.696299770166648,0.7194444444444443
4,sider,SIDER1,tr,509,1366,601,505,0.8402662229617305,505,0,0,601,1.0,1.0,1.0,1.0,1.0,1.0
4,sider,SIDER1,va,509,1366,65,58,0.8923076923076924,33,25,5,60,0.9230769230769231,0.5689655172413793,0.7560975609756098,0.5315840941573874,0.7969970448278378,0.7840848806366048
4,sider,SIDER1,te,509,1366,68,69,1.0147058823529411,35,34,17,51,0.75,0.5072463768115942,0.6277372262773723,0.26504348521025156,0.7123049590194612,0.7080136402387041
5,sider,SIDER1,tr,509,1366,596,510,0.8557046979865772,510,0,0,596,1.0,1.0,1.0,1.0,1.0,1.0
5,sider,SIDER1,va,509,1366,62,61,0.9838709677419355,28,33,8,54,0.8709677419354839,0.45901639344262296,0.6666666666666666,0.36261264641267354,0.7426554057357787,0.7509254362771021
5,sider,SIDER1,te,509,1366,76,61,0.8026315789473685,23,38,14,62,0.8157894736842105,0.3770491803278688,0.6204379562043796,0.21585640665435302,0.6690595316771684,0.6548748921484038
6,sider,SIDER1,tr,509,1366,609,497,0.8160919540229885,497,0,0,609,1.0,1.0,1.0,1.0,1.0,1.0
6,sider,SIDER1,va,509,1366,61,62,1.0163934426229508,29,33,6,55,0.9016393442622951,0.46774193548387094,0.6829268292682927,0.4093174742690701,0.8257802858620189,0.8104177683765204
6,sider,SIDER1,te,509,1366,64,73,1.140625,29,44,12,52,0.8125,0.3972602739726027,0.5912408759124088,0.22853204913756822,0.6935913520260741,0.685466609589041
7,sider,SIDER1,tr,509,1366,582,524,0.9003436426116839,524,0,0,582,1.0,1.0,1.0,1.0,1.0,1.0
7,sider,SIDER1,va,509,1366,73,50,0.684931506849315,31,19,11,62,0.8493150684931506,0.62,0.7560975609756098,0.4861203211005882,0.8130923062006218,0.7857534246575342
7,sider,SIDER1,te,509,1366,79,58,0.7341772151898734,28,30,14,65,0.8227848101265823,0.4827586206896552,0.6788321167883211,0.32742666558945777,0.7769112068869662,0.7228284591881274
8,sider,SIDER1,tr,509,1366,598,508,0.8494983277591973,508,0,0,598,1.0,1.0,1.0,1.0,1.0,1.0
8,sider,SIDER1,va,509,1366,60,63,1.05,31,32,8,52,0.8666666666666667,0.49206349206349204,0.6747967479674797,0.38533800364978993,0.7511005963276377,0.7783068783068783
8,sider,SIDER1,te,509,1366,76,61,0.8026315789473685,32,29,12,64,0.8421052631578947,0.5245901639344263,0.7007299270072993,0.3903097455513656,0.8125857188873715,0.7828947368421052
9,sider,SIDER1,tr,509,1366,594,512,0.8619528619528619,512,0,0,594,1.0,1.0,1.0,1.0,1.0,1.0
9,sider,SIDER1,va,509,1366,67,56,0.835820895522388,33,23,14,53,0.7910447761194029,0.5892857142857143,0.6991869918699187,0.3897955108256469,0.7186874417806697,0.7156183368869936
9,sider,SIDER1,te,509,1366,73,64,0.8767123287671232,27,37,18,55,0.7534246575342466,0.421875,0.5985401459854015,0.1862225692412666,0.6785221394214314,0.6763698630136987
10,sider,SIDER1,tr,509,1366,598,508,0.8494983277591973,508,0,0,598,1.0,1.0,1.0,1.0,1.0,1.0
10,sider,SIDER1,va,509,1366,70,53,0.7571428571428571,28,25,16,54,0.7714285714285715,0.5283018867924528,0.6666666666666666,0.30965489418549785,0.7439771345600326,0.7055256064690025
10,sider,SIDER1,te,509,1366,66,71,1.0757575757575757,36,35,12,54,0.8181818181818182,0.5070422535211268,0.656934306569343,0.3406184770791742,0.7313851608601425,0.7804097311139565
11,sider,SIDER1,tr,509,1366,602,504,0.8372093023255814,504,0,0,602,1.0,1.0,1.0,1.0,1.0,1.0
11,sider,SIDER1,va,509,1366,64,59,0.921875,26,33,9,55,0.859375,0.4406779661016949,0.6585365853658537,0.33222978014618215,0.707669941347177,0.7000794491525424
11,sider,SIDER1,te,509,1366,68,69,1.0147058823529411,31,38,12,56,0.8235294117647058,0.4492753623188406,0.635036496350365,0.293922486738467,0.7194359752177002,0.7086530264279626
12,sider,SIDER1,tr,509,1366,590,516,0.8745762711864407,516,0,0,590,1.0,1.0,1.0,1.0,1.0,1.0
12,sider,SIDER1,va,509,1366,65,58,0.8923076923076924,30,28,14,51,0.7846153846153846,0.5172413793103449,0.6585365853658537,0.31436320153926056,0.7781344907000232,0.7496021220159151
12,sider,SIDER1,te,509,1366,79,58,0.7341772151898734,36,22,15,64,0.810126582278481,0.6206896551724138,0.7299270072992701,0.4403371145472562,0.8053453238958868,0.7769532955041467
13,sider,SIDER1,tr,509,1366,592,514,0.8682432432432432,514,0,0,592,1.0,1.0,1.0,1.0,1.0,1.0
13,sider,SIDER1,va,509,1366,72,51,0.7083333333333334,33,18,14,58,0.8055555555555556,0.6470588235294118,0.7398373983739838,0.45890623471665576,0.850255643624037,0.8003812636165577
13,sider,SIDER1,te,509,1366,70,67,0.9571428571428572,32,35,14,56,0.8,0.47761194029850745,0.6423357664233577,0.293849496479305,0.6684795352912674,0.697228144989339
14,sider,SIDER1,tr,509,1366,610,496,0.8131147540983606,496,0,0,610,1.0,1.0,1.0,1.0,1.0,1.0
14,sider,SIDER1,va,509,1366,61,62,1.0163934426229508,31,31,7,54,0.8852459016393442,0.5,0.6910569105691057,0.4168670109964666,0.8321418391129922,0.8172924378635642
