split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,sider,SIDER1,tr,104,1366,595,511,0.8588235294117647,511,0,6,589,0.9899159663865547,1.0,0.9945750452079566,0.9891549827653183,0.998364488775378,0.9973605880708448
1,sider,SIDER1,va,104,1366,62,61,0.9838709677419355,40,21,23,39,0.6290322580645161,0.6557377049180327,0.6422764227642277,0.28484528898915196,0.7353585011510192,0.7381015335801163
1,sider,SIDER1,te,104,1366,77,60,0.7792207792207793,33,27,18,59,0.7662337662337663,0.55,0.6715328467153284,0.3245599400563166,0.7350095571381308,0.7300865800865801
2,sider,SIDER1,tr,104,1366,597,509,0.8525963149078727,509,0,6,591,0.9899497487437185,1.0,0.9945750452079566,0.9891493080484481,0.9978299469671338,0.996361967005953
2,sider,SIDER1,va,104,1366,64,59,0.921875,33,26,15,49,0.765625,0.559322033898305,0.6666666666666666,0.33279540369473093,0.6778729712752749,0.699020127118644
2,sider,SIDER1,te,104,1366,73,64,0.8767123287671232,32,32,17,56,0.7671232876712328,0.5,0.6423357664233577,0.27805057159617186,0.6650236121538027,0.6831121575342466
3,sider,SIDER1,tr,104,1366,599,507,0.8464106844741235,507,0,6,593,0.989983305509182,1.0,0.9945750452079566,0.9891433432005512,0.9975545741755669,0.9956090525629501
3,sider,SIDER1,va,104,1366,63,60,0.9523809523809523,28,32,15,48,0.7619047619047619,0.4666666666666667,0.6178861788617886,0.23960099723029976,0.7065675459017642,0.7153439153439154
3,sider,SIDER1,te,104,1366,72,65,0.9027777777777778,37,28,18,54,0.75,0.5692307692307692,0.6642335766423357,0.3251916607747207,0.662606885516016,0.6841880341880342
4,sider,SIDER1,tr,104,1366,601,505,0.8402662229617305,505,0,5,596,0.9916805324459235,1.0,0.9954792043399638,0.9909380274692706,0.9977761594117495,0.9957578952570799
4,sider,SIDER1,va,104,1366,65,58,0.8923076923076924,33,25,12,53,0.8153846153846154,0.5689655172413793,0.6991869918699187,0.3983310417897344,0.7122387357524167,0.7527851458885941
4,sider,SIDER1,te,104,1366,68,69,1.0147058823529411,35,34,19,49,0.7205882352941176,0.5072463768115942,0.6131386861313869,0.2331110053532955,0.6417459181008711,0.6572890025575447
5,sider,SIDER1,tr,104,1366,596,510,0.8557046979865772,510,0,3,593,0.9949664429530202,1.0,0.9972875226039783,0.9945591615096453,0.9988037609737841,0.9977990525069088
5,sider,SIDER1,va,104,1366,62,61,0.9838709677419355,31,30,12,50,0.8064516129032258,0.5081967213114754,0.6585365853658537,0.32991873458311327,0.6944101560228478,0.7481491274457959
5,sider,SIDER1,te,104,1366,76,61,0.8026315789473685,26,35,18,58,0.7631578947368421,0.4262295081967213,0.6131386861313869,0.20158350387888174,0.6522350228712074,0.6264020707506471
6,sider,SIDER1,tr,104,1366,609,497,0.8160919540229885,497,0,6,603,0.9901477832512315,1.0,0.9945750452079566,0.9891091321486849,0.997167598035293,0.9947286345329779
6,sider,SIDER1,va,104,1366,61,62,1.0163934426229508,31,31,11,50,0.819672131147541,0.5,0.6585365853658537,0.33705314509913115,0.7089250215646936,0.74034902168165
6,sider,SIDER1,te,104,1366,64,73,1.140625,31,42,16,48,0.75,0.4246575342465753,0.5766423357664233,0.18355598855028588,0.547246606999102,0.6089469178082192
