split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,sider,SIDER1,tr,118,1366,595,511,0.8588235294117647,511,0,0,595,1.0,1.0,1.0,1.0,1.0,1.0
1,sider,SIDER1,va,118,1366,62,61,0.9838709677419355,43,18,18,44,0.7096774193548387,0.7049180327868853,0.7073170731707317,0.41459545214172383,0.7180627494413179,0.7420676890534109
1,sider,SIDER1,te,118,1366,77,60,0.7792207792207793,33,27,22,55,0.7142857142857143,0.55,0.6423357664233577,0.26748929445509323,0.7212934548171083,0.7069264069264068
2,sider,SIDER1,tr,118,1366,597,509,0.8525963149078727,508,1,0,597,1.0,0.9980353634577603,0.9990958408679927,0.9981815506211649,1.0,1.0
2,sider,SIDER1,va,118,1366,64,59,0.921875,30,29,13,51,0.796875,0.5084745762711864,0.6585365853658537,0.31991462407628607,0.7562200078221504,0.7384798728813559
2,sider,SIDER1,te,118,1366,73,64,0.8767123287671232,34,30,19,54,0.7397260273972602,0.53125,0.6423357664233577,0.2775905713656008,0.6497266180488389,0.6528253424657534
3,sider,SIDER1,tr,118,1366,599,507,0.8464106844741235,506,1,1,598,0.998330550918197,0.9980276134122288,0.9981916817359855,0.9963581643304258,0.9999944258717588,0.9999934144020441
3,sider,SIDER1,va,118,1366,63,60,0.9523809523809523,28,32,14,49,0.7777777777777778,0.4666666666666667,0.6260162601626016,0.2576670686063123,0.7454812944284432,0.7034391534391534
3,sider,SIDER1,te,118,1366,72,65,0.9027777777777778,38,27,19,53,0.7361111111111112,0.5846153846153846,0.6642335766423357,0.32491917688860944,0.648324108525018,0.6889957264957265
4,sider,SIDER1,tr,118,1366,601,505,0.8402662229617305,505,0,1,600,0.9983361064891847,1.0,0.9990958408679927,0.9981798987313364,1.0,1.0
4,sider,SIDER1,va,118,1366,65,58,0.8923076923076924,28,30,15,50,0.7692307692307693,0.4827586206896552,0.6341463414634146,0.26379934258187376,0.6869332347071893,0.7114058355437666
4,sider,SIDER1,te,118,1366,68,69,1.0147058823529411,38,31,23,45,0.6617647058823529,0.5507246376811594,0.6058394160583942,0.2137688608518381,0.6558550571888567,0.7016197783461211
5,sider,SIDER1,tr,118,1366,596,510,0.8557046979865772,509,1,0,596,1.0,0.9980392156862745,0.9990958408679927,0.9981820766804336,0.9999943696150646,0.9999934201868667
5,sider,SIDER1,va,118,1366,62,61,0.9838709677419355,32,29,16,46,0.7419354838709677,0.5245901639344263,0.6341463414634146,0.27317976020472357,0.6381644787981364,0.6996298254891592
5,sider,SIDER1,te,118,1366,76,61,0.8026315789473685,34,27,17,59,0.7763157894736842,0.5573770491803278,0.6788321167883211,0.34307121956788345,0.7083634717364947,0.7329594477998274
6,sider,SIDER1,tr,118,1366,609,497,0.8160919540229885,496,1,1,608,0.9983579638752053,0.9979879275653923,0.9981916817359855,0.9963458914405976,0.9999946074274597,0.9999933922087533
6,sider,SIDER1,va,118,1366,61,62,1.0163934426229508,32,30,14,47,0.7704918032786885,0.5161290322580645,0.6422764227642277,0.2961721660216998,0.7625495039668395,0.7480169222633527
6,sider,SIDER1,te,118,1366,64,73,1.140625,31,42,12,52,0.8125,0.4246575342465753,0.6058394160583942,0.25497064861261,0.6242716294011793,0.6860017123287672
7,sider,SIDER1,tr,118,1366,582,524,0.9003436426116839,522,2,0,582,1.0,0.9961832061068703,0.9981916817359855,0.9963792549950979,0.999994110662142,0.9999934419348916
7,sider,SIDER1,va,118,1366,73,50,0.684931506849315,33,17,22,51,0.6986301369863014,0.66,0.6829268292682927,0.35428879172957956,0.7958774317696831,0.7402739726027397
7,sider,SIDER1,te,118,1366,79,58,0.7341772151898734,36,22,16,63,0.7974683544303798,0.6206896551724138,0.7226277372262774,0.42575212829872516,0.7920225185618858,0.7422522915757311
8,sider,SIDER1,tr,118,1366,598,508,0.8494983277591973,508,0,0,598,1.0,1.0,1.0,1.0,1.0,1.0
8,sider,SIDER1,va,118,1366,60,63,1.05,32,31,13,47,0.7833333333333333,0.5079365079365079,0.6422764227642277,0.30226499912736005,0.7260643337745353,0.75
8,sider,SIDER1,te,118,1366,76,61,0.8026315789473685,31,30,12,64,0.8421052631578947,0.5081967213114754,0.6934306569343066,0.3751596799329145,0.7325082714521043,0.7407247627264884
9,sider,SIDER1,tr,118,1366,594,512,0.8619528619528619,512,0,0,594,1.0,1.0,1.0,1.0,1.0,1.0
9,sider,SIDER1,va,118,1366,67,56,0.835820895522388,35,21,13,54,0.8059701492537313,0.625,0.7235772357723578,0.4399743462670684,0.7179122056469114,0.7233475479744136
9,sider,SIDER1,te,118,1366,73,64,0.8767123287671232,32,32,20,53,0.726027397260274,0.5,0.6204379562043796,0.23238140141915725,0.619048636509437,0.6329195205479452
10,sider,SIDER1,tr,118,1366,598,508,0.8494983277591973,508,0,0,598,1.0,1.0,1.0,1.0,1.0,1.0
10,sider,SIDER1,va,118,1366,70,53,0.7571428571428571,35,18,24,46,0.6571428571428571,0.660377358490566,0.6585365853658537,0.3147330445077707,0.701201292454216,0.6870619946091644
10,sider,SIDER1,te,118,1366,66,71,1.0757575757575757,36,35,11,55,0.8333333333333334,0.5070422535211268,0.6642335766423357,0.35825260876406206,0.6558676519966196,0.7492530943235169
11,sider,SIDER1,tr,118,1366,602,504,0.8372093023255814,503,1,0,602,1.0,0.998015873015873,0.9990958408679927,0.9981787358230719,0.9999944812895019,0.9999934082159996
11,sider,SIDER1,va,118,1366,64,59,0.921875,30,29,15,49,0.765625,0.5084745762711864,0.6422764227642277,0.28429603238294254,0.62165906797303,0.6627383474576272
11,sider,SIDER1,te,118,1366,68,69,1.0147058823529411,35,34,17,51,0.75,0.5072463768115942,0.6277372262773723,0.26504348521025156,0.6895588484221962,0.683930093776641
12,sider,SIDER1,tr,118,1366,590,516,0.8745762711864407,515,1,0,590,1.0,0.998062015503876,0.9990958408679927,0.9981849764888937,1.0,1.0
12,sider,SIDER1,va,118,1366,65,58,0.8923076923076924,29,29,13,52,0.8,0.5,0.6585365853658537,0.31580919830722104,0.7856421281179613,0.7397877984084881
12,sider,SIDER1,te,118,1366,79,58,0.7341772151898734,35,23,24,55,0.6962025316455697,0.603448275862069,0.656934306569343,0.2989989668237436,0.7155896372204269,0.686054124836316
13,sider,SIDER1,tr,118,1366,592,514,0.8682432432432432,514,0,1,591,0.9983108108108109,1.0,0.9990958408679927,0.9981845236312791,1.0,1.0
13,sider,SIDER1,va,118,1366,72,51,0.7083333333333334,34,17,22,50,0.6944444444444444,0.6666666666666666,0.6829268292682927,0.35724056943351573,0.762892848369795,0.7464596949891067
13,sider,SIDER1,te,118,1366,70,67,0.9571428571428572,34,33,20,50,0.7142857142857143,0.5074626865671642,0.6131386861313869,0.22683548367669493,0.6744818882821998,0.679317697228145
14,sider,SIDER1,tr,118,1366,610,496,0.8131147540983606,495,1,1,609,0.9983606557377049,0.9979838709677419,0.9981916817359855,0.9963445267054468,0.999991948625684,0.9999900846113168
14,sider,SIDER1,va,118,1366,61,62,1.0163934426229508,36,26,10,51,0.8360655737704918,0.5806451612903226,0.7073170731707317,0.4305971712640212,0.7893872328939805,0.7831835007932311
14,sider,SIDER1,te,118,1366,63,74,1.1746031746031746,33,41,20,43,0.6825396825396826,0.44594594594594594,0.5547445255474452,0.13148103374005649,0.6274997131778157,0.6397468897468898
15,sider,SIDER1,tr,118,1366,593,513,0.8650927487352446,512,1,0,593,1.0,0.9980506822612085,0.9990958408679927,0.9981835814405093,1.0,1.0
15,sider,SIDER1,va,118,1366,65,58,0.8923076923076924,32,26,18,47,0.7230769230769231,0.5517241379310345,0.6422764227642277,0.2792818084822352,0.743385897419379,0.7173740053050399
15,sider,SIDER1,te,118,1366,76,61,0.8026315789473685,45,16,25,51,0.6710526315789473,0.7377049180327869,0.7007299270072993,0.4063975483117785,0.7992070682474178,0.7537748058671269
1,sider,SIDER2,tr,118,1366,762,344,0.45144356955380577,344,0,0,762,1.0,1.0,1.0,1.0,1.0,1.0
1,sider,SIDER2,va,118,1366,82,41,0.5,2,39,3,79,0.9634146341463414,0.04878048780487805,0.6585365853658537,0.02911112548697902,0.7231567064737432,0.6215050565139798
1,sider,SIDER2,te,118,1366,112,25,0.22321428571428573,1,24,2,110,0.9821428571428571,0.04,0.8102189781021898,0.05843857903427411,0.8123362769022827,0.48428571428571426
2,sider,SIDER2,tr,118,1366,784,322,0.4107142857142857,322,0,0,784,1.0,1.0,1.0,1.0,1.0,1.0
2,sider,SIDER2,va,118,1366,78,45,0.5769230769230769,0,45,0,78,1.0,0.0,0.6341463414634146,0.0,0.7188900011860557,0.6190883190883192
2,sider,SIDER2,te,118,1366,94,43,0.4574468085106383,0,43,0,94,1.0,0.0,0.6861313868613139,0.0,0.7209399954873399,0.6011875309252845
3,sider,SIDER2,tr,118,1366,768,338,0.4401041666666667,338,0,0,768,1.0,1.0,1.0,1.0,1.0,1.0
3,sider,SIDER2,va,118,1366,86,37,0.43023255813953487,1,36,4,82,0.9534883720930233,0.02702702702702703,0.6747967479674797,-0.045249688725530667,0.7146762791650916,0.505656819610308
3,sider,SIDER2,te,118,1366,102,35,0.3431372549019608,3,32,7,95,0.9313725490196079,0.08571428571428572,0.7153284671532847,0.028647970874915447,0.7087106169205997,0.4672268907563025
4,sider,SIDER2,tr,118,1366,782,324,0.4143222506393862,324,0,0,782,1.0,1.0,1.0,1.0,1.0,1.0
4,sider,SIDER2,va,118,1366,87,36,0.41379310344827586,4,32,1,86,0.9885057471264368,0.1111111111111111,0.7317073170731707,0.22951850769181098,0.843736158386167,0.7372286079182631
4,sider,SIDER2,te,118,1366,87,50,0.5747126436781609,2,48,3,84,0.9655172413793104,0.04,0.6277372262773723,0.014164284635930197,0.6783854703950003,0.5514942528735631
5,sider,SIDER2,tr,118,1366,770,336,0.43636363636363634,336,0,0,770,1.0,1.0,1.0,1.0,1.0,1.0
5,sider,SIDER2,va,118,1366,90,33,0.36666666666666664,0,33,2,88,0.9777777777777777,0.0,0.7154471544715447,-0.07784989441615175,0.8144975726427321,0.6304713804713804
5,sider,SIDER2,te,118,1366,96,41,0.4270833333333333,2,39,0,96,1.0,0.04878048780487805,0.7153284671532847,0.18624807887188666,0.8069604951509521,0.6679369918699187
6,sider,SIDER2,tr,118,1366,793,313,0.39470365699873894,313,0,0,793,1.0,1.0,1.0,1.0,1.0,1.0
6,sider,SIDER2,va,118,1366,79,44,0.5569620253164557,3,41,3,76,0.9620253164556962,0.06818181818181818,0.6422764227642277,0.06721726834475472,0.7226428375312941,0.5831415420023015
6,sider,SIDER2,te,118,1366,84,53,0.6309523809523809,1,52,0,84,1.0,0.018867924528301886,0.6204379562043796,0.1079523880746035,0.7442689621823397,0.703728661275831
7,sider,SIDER2,tr,118,1366,766,340,0.44386422976501305,340,0,0,766,1.0,1.0,1.0,1.0,1.0,1.0
7,sider,SIDER2,va,118,1366,91,32,0.3516483516483517,1,31,0,91,1.0,0.03125,0.7479674796747967,0.15267424874387803,0.7219776816235055,0.5013736263736264
7,sider,SIDER2,te,118,1366,99,38,0.3838383838383838,2,36,1,98,0.98989898989899,0.05263157894736842,0.7299270072992701,0.13010607053704398,0.8199282583921947,0.6629452418926103
8,sider,SIDER2,tr,118,1366,784,322,0.4107142857142857,322,0,0,784,1.0,1.0,1.0,1.0,1.0,1.0
8,sider,SIDER2,va,118,1366,74,49,0.6621621621621622,4,45,0,74,1.0,0.08163265306122448,0.6341463414634146,0.22530681837845026,0.7078222095763246,0.6567843353557639
8,sider,SIDER2,te,118,1366,98,39,0.3979591836734694,1,38,0,98,1.0,0.02564102564102564,0.7226277372262774,0.13592873654160673,0.6960681092152163,0.4636316064887494
9,sider,SIDER2,tr,118,1366,785,321,0.4089171974522293,0,321,0,785,1.0,0.0,0.7097649186256781,0.0,1.0,1.0
9,sider,SIDER2,va,118,1366,77,46,0.5974025974025974,0,46,0,77,1.0,0.0,0.6260162601626016,0.0,0.7482154069029988,0.6801242236024845
