split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,sider,SIDER1,tr,509,1366,595,511,0.8588235294117647,511,0,0,595,1.0,1.0,1.0,1.0,1.0,1.0
1,sider,SIDER1,va,509,1366,62,61,0.9838709677419355,40,21,17,45,0.7258064516129032,0.6557377049180327,0.6910569105691057,0.3825570177675556,0.6882382560907062,0.7326811210999472
1,sider,SIDER1,te,509,1366,77,60,0.7792207792207793,39,21,17,60,0.7792207792207793,0.65,0.7226277372262774,0.4331768147312644,0.8017160447594187,0.7722943722943723
2,sider,SIDER1,tr,509,1366,597,509,0.8525963149078727,509,0,0,597,1.0,1.0,1.0,1.0,1.0,1.0
2,sider,SIDER1,va,509,1366,64,59,0.921875,38,21,13,51,0.796875,0.6440677966101694,0.7235772357723578,0.4471434864588237,0.7466838761510504,0.7754237288135594
2,sider,SIDER1,te,509,1366,73,64,0.8767123287671232,31,33,17,56,0.7671232876712328,0.484375,0.635036496350365,0.2630091317311874,0.6916267932387593,0.6637414383561643
3,sider,SIDER1,tr,509,1366,599,507,0.8464106844741235,507,0,5,594,0.991652754590985,1.0,0.9954792043399638,0.9909433110220949,0.9999586848283271,0.9999506080153313
3,sider,SIDER1,va,509,1366,63,60,0.9523809523809523,37,23,10,53,0.8412698412698413,0.6166666666666667,0.7317073170731707,0.4710808422352571,0.8516302647105942,0.8283068783068783
3,sider,SIDER1,te,509,1366,72,65,0.9027777777777778,45,20,18,54,0.75,0.6923076923076923,0.7226277372262774,0.443160745544375,0.7317523624636733,0.7579059829059829
4,sider,SIDER1,tr,509,1366,601,505,0.8402662229617305,499,6,15,586,0.9750415973377704,0.9881188118811881,0.9810126582278481,0.9619203991346464,0.9988500205661753,0.9985436813232073
4,sider,SIDER1,va,509,1366,65,58,0.8923076923076924,37,21,14,51,0.7846153846153846,0.6379310344827587,0.7154471544715447,0.42814784697982433,0.8361821022582312,0.8098143236074271
4,sider,SIDER1,te,509,1366,68,69,1.0147058823529411,38,31,18,50,0.7352941176470589,0.5507246376811594,0.6423357664233577,0.2908954920804266,0.6433062120253894,0.6828644501278773
5,sider,SIDER1,tr,509,1366,596,510,0.8557046979865772,502,8,14,582,0.9765100671140939,0.984313725490196,0.9801084990958409,0.9600660450159135,0.9984670966863053,0.9980918541913408
5,sider,SIDER1,va,509,1366,62,61,0.9838709677419355,37,24,14,48,0.7741935483870968,0.6065573770491803,0.6910569105691057,0.3864118119395201,0.7100296908631216,0.7472236911686938
5,sider,SIDER1,te,509,1366,76,61,0.8026315789473685,31,30,24,52,0.6842105263157895,0.5081967213114754,0.6058394160583942,0.1950764617182794,0.7006430095002257,0.6386971527178602
6,sider,SIDER1,tr,509,1366,609,497,0.8160919540229885,496,1,4,605,0.993431855500821,0.9979879275653923,0.9954792043399638,0.9908846646098627,0.9997911817453403,0.999729080558887
6,sider,SIDER1,va,509,1366,61,62,1.0163934426229508,41,21,10,51,0.8360655737704918,0.6612903225806451,0.7479674796747967,0.5047504293459981,0.8276726142957759,0.8289264939185617
6,sider,SIDER1,te,509,1366,64,73,1.140625,43,30,20,44,0.6875,0.589041095890411,0.635036496350365,0.27683752763581354,0.6470156791800584,0.6523972602739725
7,sider,SIDER1,tr,509,1366,582,524,0.9003436426116839,439,85,149,433,0.7439862542955327,0.8377862595419847,0.7884267631103075,0.5821391290854586,0.8799323757620214,0.8818761312662313
7,sider,SIDER1,va,509,1366,73,50,0.684931506849315,37,13,21,52,0.7123287671232876,0.74,0.7235772357723578,0.4450716851391605,0.8136874190440772,0.7949315068493151
7,sider,SIDER1,te,509,1366,79,58,0.7341772151898734,33,25,33,46,0.5822784810126582,0.5689655172413793,0.5766423357664233,0.149556244150251,0.6144242009557142,0.5520515058926233
8,sider,SIDER1,tr,509,1366,598,508,0.8494983277591973,508,0,0,598,1.0,1.0,1.0,1.0,1.0,1.0
8,sider,SIDER1,va,509,1366,60,63,1.05,39,24,11,49,0.8166666666666667,0.6190476190476191,0.7154471544715447,0.4434056952357677,0.779212334849237,0.807936507936508
8,sider,SIDER1,te,509,1366,76,61,0.8026315789473685,40,21,17,59,0.7763157894736842,0.6557377049180327,0.7226277372262774,0.4356390620491099,0.8152451457439178,0.7711389128559102
9,sider,SIDER1,tr,509,1366,594,512,0.8619528619528619,512,0,1,593,0.9983164983164983,1.0,0.9990958408679927,0.9981835814405093,1.0,1.0
9,sider,SIDER1,va,509,1366,67,56,0.835820895522388,37,19,21,46,0.6865671641791045,0.6607142857142857,0.6747967479674797,0.3464514040779114,0.7608533630992018,0.742004264392324
9,sider,SIDER1,te,509,1366,73,64,0.8767123287671232,36,28,22,51,0.6986301369863014,0.5625,0.635036496350365,0.2636822350211606,0.6913656923253909,0.6641695205479452
10,sider,SIDER1,tr,509,1366,598,508,0.8494983277591973,508,0,0,598,1.0,1.0,1.0,1.0,1.0,1.0
10,sider,SIDER1,va,509,1366,70,53,0.7571428571428571,35,18,19,51,0.7285714285714285,0.660377358490566,0.6991869918699187,0.3881127865530919,0.8057035496391252,0.7819407008086254
10,sider,SIDER1,te,509,1366,66,71,1.0757575757575757,46,25,14,52,0.7878787878787878,0.647887323943662,0.7153284671532847,0.4388676891259526,0.6963997059383288,0.7639778062313274
11,sider,SIDER1,tr,509,1366,602,504,0.8372093023255814,416,88,67,535,0.8887043189368771,0.8253968253968254,0.8598553345388789,0.7170602598631983,0.9325437138926571,0.9242472182671517
11,sider,SIDER1,va,509,1366,64,59,0.921875,37,22,15,49,0.765625,0.6271186440677966,0.6991869918699187,0.3971863474796167,0.7191543652534745,0.734375
11,sider,SIDER1,te,509,1366,68,69,1.0147058823529411,33,36,21,47,0.6911764705882353,0.4782608695652174,0.583941605839416,0.17336131829361076,0.6488493123472757,0.652387041773231
12,sider,SIDER1,tr,509,1366,590,516,0.8745762711864407,514,2,9,581,0.9847457627118644,0.9961240310077519,0.9900542495479204,0.9801151341834606,0.9995747286297278,0.9994810143213769
12,sider,SIDER1,va,509,1366,65,58,0.8923076923076924,45,13,17,48,0.7384615384615385,0.7758620689655172,0.7560975609756098,0.513507004201092,0.8001867814458439,0.7970822281167109
12,sider,SIDER1,te,509,1366,79,58,0.7341772151898734,40,18,25,54,0.6835443037974683,0.6896551724137931,0.6861313868613139,0.3692713732164891,0.7964633162716042,0.7470536883457005
13,sider,SIDER1,tr,509,1366,592,514,0.8682432432432432,514,0,0,592,1.0,1.0,1.0,1.0,1.0,1.0
13,sider,SIDER1,va,509,1366,72,51,0.7083333333333334,36,15,20,52,0.7222222222222222,0.7058823529411765,0.7154471544715447,0.42351596919267476,0.8551557668676507,0.8129084967320261
13,sider,SIDER1,te,509,1366,70,67,0.9571428571428572,42,25,16,54,0.7714285714285715,0.6268656716417911,0.7007299270072993,0.40296090025662,0.7079316541345217,0.7505330490405118
14,sider,SIDER1,tr,509,1366,610,496,0.8131147540983606,496,0,0,610,1.0,1.0,1.0,1.0,1.0,1.0
14,sider,SIDER1,va,509,1366,61,62,1.0163934426229508,41,21,12,49,0.8032786885245902,0.6612903225806451,0.7317073170731707,0.4690552966303733,0.7930650406888918,0.7876784769962983
14,sider,SIDER1,te,509,1366,63,74,1.1746031746031746,46,28,19,44,0.6984126984126984,0.6216216216216216,0.656934306569343,0.31941827649865095,0.6577276528680582,0.6977691977691978
15,sider,SIDER1,tr,509,1366,593,513,0.8650927487352446,513,0,0,593,1.0,1.0,1.0,1.0,1.0,1.0
15,sider,SIDER1,va,509,1366,65,58,0.8923076923076924,39,19,15,50,0.7692307692307693,0.6724137931034483,0.7235772357723578,0.44424457954340435,0.7787107373001836,0.7824933687002653
15,sider,SIDER1,te,509,1366,76,61,0.8026315789473685,42,19,26,50,0.6578947368421053,0.6885245901639344,0.6715328467153284,0.3443458280120883,0.7512697523406977,0.7359792924935289
1,sider,SIDER2,tr,509,1366,762,344,0.45144356955380577,342,2,38,724,0.9501312335958005,0.9941860465116279,0.9638336347197106,0.9204803784343345,0.9992159416095966,0.9982909113105047
1,sider,SIDER2,va,509,1366,82,41,0.5,19,22,17,65,0.7926829268292683,0.4634146341463415,0.6829268292682927,0.2653343152526161,0.7918442925988228,0.6787626412849495
1,sider,SIDER2,te,509,1366,112,25,0.22321428571428573,10,15,35,77,0.6875,0.4,0.635036496350365,0.07195929472012878,0.8199528764694873,0.5228571428571429
2,sider,SIDER2,tr,509,1366,784,322,0.4107142857142857,322,0,1,783,0.9987244897959183,1.0,0.9990958408679927,0.9978138421127062,1.0,1.0
2,sider,SIDER2,va,509,1366,78,45,0.5769230769230769,14,31,15,63,0.8076923076923077,0.3111111111111111,0.6260162601626016,0.13480921226969375,0.7527978300086537,0.6313390313390314
