split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,sider,SIDER1,tr,104,1366,595,511,0.8588235294117647,508,3,4,591,0.9932773109243698,0.9941291585127201,0.9936708860759493,0.9872717229992052,0.9997162282506097,0.9996464339160323
1,sider,SIDER1,va,104,1366,62,61,0.9838709677419355,44,17,20,42,0.6774193548387096,0.7213114754098361,0.6991869918699187,0.3990474927711889,0.707365467520368,0.7440507667900581
1,sider,SIDER1,te,104,1366,77,60,0.7792207792207793,37,23,21,56,0.7272727272727273,0.6166666666666667,0.6788321167883211,0.34536264917244347,0.8324575357963077,0.7781385281385281
2,sider,SIDER1,tr,104,1366,597,509,0.8525963149078727,421,88,73,524,0.8777219430485762,0.8271119842829077,0.8544303797468354,0.7066326041172364,0.9474711125081703,0.9362628466497518
2,sider,SIDER1,va,104,1366,64,59,0.921875,38,21,15,49,0.765625,0.6440677966101694,0.7073170731707317,0.41332089970587543,0.7857041429582187,0.7705243644067796
2,sider,SIDER1,te,104,1366,73,64,0.8767123287671232,39,25,19,54,0.7397260273972602,0.609375,0.6788321167883211,0.3525128896061582,0.8119550171723318,0.7696917808219177
3,sider,SIDER1,tr,104,1366,599,507,0.8464106844741235,473,34,30,569,0.9499165275459098,0.9329388560157791,0.9421338155515371,0.8834140699729502,0.9867554965256401,0.9838833954025942
3,sider,SIDER1,va,104,1366,63,60,0.9523809523809523,38,22,20,43,0.6825396825396826,0.6333333333333333,0.6585365853658537,0.3162916681652619,0.7920370163492279,0.751984126984127
3,sider,SIDER1,te,104,1366,72,65,0.9027777777777778,45,20,24,48,0.6666666666666666,0.6923076923076923,0.6788321167883211,0.3585150185955868,0.7711541961499944,0.7636752136752136
4,sider,SIDER1,tr,104,1366,601,505,0.8402662229617305,503,2,6,595,0.9900166389351082,0.996039603960396,0.9927667269439421,0.9854589890667966,0.9999152919848692,0.9998995074216239
4,sider,SIDER1,va,104,1366,65,58,0.8923076923076924,37,21,16,49,0.7538461538461538,0.6379310344827587,0.6991869918699187,0.39493249181275886,0.7122837670747706,0.7437665782493369
4,sider,SIDER1,te,104,1366,68,69,1.0147058823529411,39,30,18,50,0.7352941176470589,0.5652173913043478,0.6496350364963503,0.30482998843095555,0.6972985216338234,0.7393435635123615
5,sider,SIDER1,tr,104,1366,596,510,0.8557046979865772,464,46,33,563,0.9446308724832215,0.9098039215686274,0.9285714285714286,0.8562494440064106,0.9880029054014936,0.984892749045927
5,sider,SIDER1,va,104,1366,62,61,0.9838709677419355,39,22,21,41,0.6612903225806451,0.639344262295082,0.6504065040650406,0.3007141073172384,0.7383765454189866,0.7554204124801692
5,sider,SIDER1,te,104,1366,76,61,0.8026315789473685,32,29,22,54,0.7105263157894737,0.5245901639344263,0.6277372262773723,0.23912162765219128,0.7247169236651066,0.6655522001725626
6,sider,SIDER1,tr,104,1366,609,497,0.8160919540229885,489,8,7,602,0.9885057471264368,0.9839034205231388,0.9864376130198915,0.9725907382110599,0.9994542012523806,0.9993160936059707
6,sider,SIDER1,va,104,1366,61,62,1.0163934426229508,45,17,12,49,0.8032786885245902,0.7258064516129032,0.7642276422764228,0.530489669128814,0.8142630280871105,0.8381808566895823
6,sider,SIDER1,te,104,1366,64,73,1.140625,38,35,21,43,0.671875,0.5205479452054794,0.5912408759124088,0.1938808734168059,0.5904840708082186,0.6367722602739727
7,sider,SIDER1,tr,104,1366,582,524,0.9003436426116839,523,1,3,579,0.9948453608247423,0.9980916030534351,0.9963833634719711,0.9927546852160289,0.9997748253510041,0.9997180032003358
7,sider,SIDER1,va,104,1366,73,50,0.684931506849315,34,16,22,51,0.6986301369863014,0.68,0.6910569105691057,0.37344804990720704,0.8161085597400526,0.7797260273972603
7,sider,SIDER1,te,104,1366,79,58,0.7341772151898734,38,20,25,54,0.6835443037974683,0.6551724137931034,0.6715328467153284,0.33579794953667386,0.7521424276109123,0.7053688345700567
8,sider,SIDER1,tr,104,1366,598,508,0.8494983277591973,502,6,12,586,0.979933110367893,0.9881889763779528,0.9837251356238698,0.9673199917841367,0.9988571934330273,0.9985516024543755
8,sider,SIDER1,va,104,1366,60,63,1.05,41,22,11,49,0.8166666666666667,0.6507936507936508,0.7317073170731707,0.4729985434894224,0.7046601764623981,0.7748677248677249
8,sider,SIDER1,te,104,1366,76,61,0.8026315789473685,36,25,14,62,0.8157894736842105,0.5901639344262295,0.7153284671532847,0.4190861196065333,0.7031476060249116,0.7288610871440896
9,sider,SIDER1,tr,104,1366,594,512,0.8619528619528619,479,33,44,550,0.9259259259259259,0.935546875,0.930379746835443,0.8603687967023833,0.9838486260463456,0.9799985532407407
9,sider,SIDER1,va,104,1366,67,56,0.835820895522388,39,17,23,44,0.6567164179104478,0.6964285714285714,0.6747967479674797,0.35174157278148427,0.7750470828926562,0.746002132196162
9,sider,SIDER1,te,104,1366,73,64,0.8767123287671232,37,27,20,53,0.726027397260274,0.578125,0.656934306569343,0.3078649440832159,0.6539276221502882,0.6660958904109588
10,sider,SIDER1,tr,104,1366,598,508,0.8494983277591973,496,12,18,580,0.9698996655518395,0.9763779527559056,0.972875226039783,0.9454936216192964,0.9976870037377581,0.9971443525662971
10,sider,SIDER1,va,104,1366,70,53,0.7571428571428571,38,15,19,51,0.7285714285714285,0.7169811320754716,0.7235772357723578,0.4424625349447097,0.8174112245744104,0.7830188679245282
10,sider,SIDER1,te,104,1366,66,71,1.0757575757575757,41,30,11,55,0.8333333333333334,0.5774647887323944,0.7007299270072993,0.42297866001403445,0.7069243705427979,0.763764404609475
11,sider,SIDER1,tr,104,1366,602,504,0.8372093023255814,501,3,8,594,0.9867109634551495,0.9940476190476191,0.9900542495479204,0.9800078949745323,0.9996999078410431,0.9996209724199757
11,sider,SIDER1,va,104,1366,64,59,0.921875,35,24,18,46,0.71875,0.5932203389830508,0.6585365853658537,0.3147330445077707,0.6760916286125493,0.7110699152542372
11,sider,SIDER1,te,104,1366,68,69,1.0147058823529411,38,31,14,54,0.7941176470588235,0.5507246376811594,0.6715328467153284,0.35529441513685756,0.7315860091142596,0.7446717817561808
12,sider,SIDER1,tr,104,1366,590,516,0.8745762711864407,514,2,5,585,0.9915254237288136,0.9961240310077519,0.9936708860759493,0.987304133802636,0.9999299042233293,0.9999195243726186
12,sider,SIDER1,va,104,1366,65,58,0.8923076923076924,40,18,18,47,0.7230769230769231,0.6896551724137931,0.7073170731707317,0.41273209549071604,0.7912779873897007,0.783289124668435
12,sider,SIDER1,te,104,1366,79,58,0.7341772151898734,38,20,23,56,0.7088607594936709,0.6551724137931034,0.6861313868613139,0.36190683910410343,0.8150147723503652,0.7826276735050197
13,sider,SIDER1,tr,104,1366,592,514,0.8682432432432432,513,1,3,589,0.9949324324324325,0.9980544747081712,0.9963833634719711,0.9927389882500611,0.9999758253321398,0.9999720659375329
13,sider,SIDER1,va,104,1366,72,51,0.7083333333333334,40,11,21,51,0.7083333333333334,0.7843137254901961,0.7398373983739838,0.4854298387490222,0.7975939208502688,0.8017429193899782
13,sider,SIDER1,te,104,1366,70,67,0.9571428571428572,44,23,23,47,0.6714285714285714,0.6567164179104478,0.6642335766423357,0.32814498933901914,0.6833815110236812,0.7164179104477612
14,sider,SIDER1,tr,104,1366,610,496,0.8131147540983606,494,2,5,605,0.9918032786885246,0.9959677419354839,0.9936708860759493,0.9872278944949188,0.9999304806516484,0.9999140666314119
14,sider,SIDER1,va,104,1366,61,62,1.0163934426229508,42,20,15,46,0.7540983606557377,0.6774193548387096,0.7154471544715447,0.4326632383899173,0.7570498872661201,0.7776308831306187
14,sider,SIDER1,te,104,1366,63,74,1.1746031746031746,39,35,21,42,0.6666666666666666,0.527027027027027,0.5912408759124088,0.1945721276501669,0.6446034406904145,0.6696696696696697
15,sider,SIDER1,tr,104,1366,593,513,0.8650927487352446,503,10,18,575,0.96964586846543,0.9805068226120858,0.9746835443037974,0.9492544402307798,0.9984053975274139,0.9981394370317774
15,sider,SIDER1,va,104,1366,65,58,0.8923076923076924,38,20,18,47,0.7230769230769231,0.6551724137931034,0.6910569105691057,0.37915556578288695,0.7286610960475957,0.7278514588859416
15,sider,SIDER1,te,104,1366,76,61,0.8026315789473685,50,11,26,50,0.6578947368421053,0.819672131147541,0.7299270072992701,0.47756686798964615,0.8022703569865733,0.7812769628990509
1,sider,SIDER2,tr,104,1366,762,344,0.45144356955380577,305,39,132,630,0.8267716535433071,0.8866279069767442,0.8453887884267631,0.6755161976078865,0.9724433219118662,0.9401952481230543
