split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,sider,SIDER1,tr,118,1366,595,511,0.8588235294117647,511,0,2,593,0.9966386554621849,1.0,0.9981916817359855,0.9963699737756399,0.9999971777104051,0.9999967110131724
1,sider,SIDER1,va,118,1366,62,61,0.9838709677419355,39,22,26,36,0.5806451612903226,0.639344262295082,0.6097560975609756,0.22033926121470268,0.7544215308774997,0.7041248016922264
1,sider,SIDER1,te,118,1366,77,60,0.7792207792207793,34,26,17,60,0.7792207792207793,0.5666666666666667,0.6861313868613139,0.3549943765982162,0.7665616969897638,0.7350649350649351
2,sider,SIDER1,tr,118,1366,597,509,0.8525963149078727,483,26,35,562,0.9413735343383585,0.9489194499017681,0.9448462929475587,0.8892532576777575,0.9904475296842645,0.9881101644436985
2,sider,SIDER1,va,118,1366,64,59,0.921875,43,16,18,46,0.71875,0.7288135593220338,0.7235772357723578,0.44720839707116,0.6974075264336002,0.7523834745762712
2,sider,SIDER1,te,118,1366,73,64,0.8767123287671232,31,33,24,49,0.6712328767123288,0.484375,0.583941605839416,0.15837795203804605,0.6859910974808741,0.6549657534246576
3,sider,SIDER1,tr,118,1366,599,507,0.8464106844741235,506,1,4,595,0.993322203672788,0.9980276134122288,0.9954792043399638,0.9909143180834188,0.9999611132284267,0.9999539008143092
3,sider,SIDER1,va,118,1366,63,60,0.9523809523809523,37,23,13,50,0.7936507936507936,0.6166666666666667,0.7073170731707317,0.4175605545298578,0.8348607879049799,0.8092592592592591
3,sider,SIDER1,te,118,1366,72,65,0.9027777777777778,37,28,21,51,0.7083333333333334,0.5692307692307692,0.6423357664233577,0.28051667474164876,0.7112926525166064,0.7196581196581197
4,sider,SIDER1,tr,118,1366,601,505,0.8402662229617305,505,0,12,589,0.9800332778702163,1.0,0.9891500904159132,0.9784098785152008,0.9998766386928922,0.9998517322614124
4,sider,SIDER1,va,118,1366,65,58,0.8923076923076924,39,19,14,51,0.7846153846153846,0.6724137931034483,0.7317073170731707,0.4607100090679645,0.7973092885423896,0.7896551724137931
