,gcn,gat,mpnn,attentivefp,svm-wwl,svm_rdkit,rf_rdkit,xgb_rdkit,dnn_rdkit,svm_minimol,rf_minimol,xgb_minimol,dnn_minimol,svm_moe-neutral,rf_moe-neutral,xgb_moe-neutral,dnn_moe-neutral
freesolv,0.026,0.149,0.046,0.023,0.046,0.02,0.041,0.04,0.027,0.024,0.086,0.051,0.036,0.017,0.035,0.025,0.038
esol,0.028,0.022,0.044,0.017,0.032,0.019,0.021,0.017,0.026,0.02,0.028,0.02,0.016,0.021,0.019,0.018,0.024
lipop,0.075,0.069,0.037,0.033,0.022,0.023,0.023,0.022,0.025,0.024,0.026,0.033,0.03,0.023,0.025,0.025,0.039
bace,0.018,0.021,0.039,0.022,0.016,0.024,0.028,0.02,0.021,0.012,0.019,0.02,0.018,0.028,0.025,0.021,0.022
bbbp,0.027,0.027,0.037,0.027,0.023,0.023,0.022,0.026,0.025,0.025,0.028,0.023,0.023,0.026,0.021,0.02,0.026
clintox,0.07,0.069,0.067,0.03,0.062,0.076,0.059,0.046,0.089,0.168,0.07,0.057,0.067,0.065,0.067,0.074,0.069
sider,0.018,0.023,0.029,0.03,0.09,0.082,0.081,0.086,0.035,0.103,0.076,0.084,0.026,0.086,0.082,0.085,0.032
tox21,0.014,0.017,0.02,0.014,na,0.065,0.062,0.068,0.015,0.066,0.059,0.067,0.017,0.065,0.057,0.067,0.013
clintox1,0.051,0.053,0.126,0.05,0.05,0.072,0.072,0.046,0.069,0.136,0.04,0.067,0.052,0.054,0.081,0.098,0.102
clintox2,0.047,0.076,0.036,0.043,0.073,0.088,0.051,0.049,0.09,0.065,0.05,0.053,0.048,0.047,0.048,0.058,0.068
sider1,0.039,0.061,0.058,0.045,0.044,0.036,0.043,0.047,0.049,0.041,0.041,0.042,0.039,0.04,0.042,0.042,0.031
sider2,0.045,0.088,0.057,0.059,0.042,0.096,0.072,0.056,0.062,0.091,0.056,0.044,0.06,0.047,0.061,0.052,0.07
sider3,0.202,0.214,0.178,0.221,0.109,0.178,0.153,0.243,0.142,0.266,0.166,0.201,0.195,0.211,0.221,0.173,0.232
sider4,0.051,0.027,0.047,0.045,0.039,0.039,0.039,0.043,0.042,0.045,0.038,0.03,0.037,0.051,0.053,0.051,0.047
sider5,0.06,0.07,0.059,0.063,0.076,0.057,0.07,0.06,0.067,0.05,0.055,0.058,0.049,0.054,0.064,0.056,0.062
sider6,0.05,0.044,0.044,0.046,0.049,0.031,0.042,0.048,0.049,0.038,0.038,0.048,0.039,0.055,0.039,0.034,0.043
sider7,0.095,0.07,0.089,0.08,0.083,0.056,0.074,0.075,0.102,0.094,0.087,0.076,0.101,0.079,0.068,0.065,0.07
sider8,0.058,0.049,0.059,0.044,0.049,0.038,0.051,0.04,0.042,0.063,0.046,0.054,0.074,0.059,0.066,0.067,0.057
sider9,0.065,0.045,0.044,0.058,0.037,0.068,0.06,0.049,0.072,0.056,0.045,0.038,0.046,0.057,0.057,0.067,0.05
sider10,0.052,0.052,0.059,0.04,0.039,0.04,0.032,0.033,0.038,0.035,0.035,0.034,0.035,0.037,0.035,0.041,0.036
sider11,0.042,0.043,0.045,0.046,0.039,0.044,0.04,0.054,0.058,0.049,0.062,0.037,0.041,0.036,0.032,0.054,0.027
sider12,0.075,0.076,0.087,0.075,0.07,0.105,0.09,0.097,0.105,0.075,0.071,0.084,0.093,0.089,0.095,0.069,0.102
sider13,0.053,0.055,0.037,0.062,0.033,0.038,0.028,0.054,0.036,0.041,0.045,0.064,0.053,0.054,0.046,0.061,0.045
sider14,0.073,0.074,0.054,0.085,0.059,0.103,0.051,0.075,0.072,0.08,0.067,0.051,0.068,0.071,0.065,0.065,0.066
sider15,0.053,0.076,0.062,0.046,0.062,0.061,0.049,0.053,0.06,0.049,0.044,0.046,0.047,0.06,0.061,0.056,0.052
sider16,0.046,0.057,0.067,0.06,0.047,0.051,0.041,0.044,0.04,0.049,0.034,0.037,0.053,0.044,0.047,0.039,0.045
sider17,0.049,0.103,0.132,0.098,0.076,0.099,0.09,0.083,0.113,0.124,0.055,0.069,0.065,0.066,0.056,0.064,0.098
sider18,0.062,0.037,0.066,0.041,0.074,0.065,0.063,0.06,0.051,0.056,0.037,0.048,0.06,0.067,0.064,0.06,0.066
sider19,0.046,0.065,0.058,0.063,0.066,0.058,0.065,0.06,0.063,0.049,0.053,0.065,0.053,0.067,0.06,0.055,0.048
