,gcn,gat,mpnn,attentivefp,svm-wwl,svm_rdkit,rf_rdkit,xgb_rdkit,dnn_rdkit,svm_minimol,rf_minimol,xgb_minimol,dnn_minimol,svm_moe-neutral,rf_moe-neutral,xgb_moe-neutral,dnn_moe-neutral
freesolv,0.921,0.843,0.855,0.917,0.856,0.936,0.88,0.905,0.91,0.925,0.785,0.834,0.891,0.942,0.899,0.935,0.895
esol,0.889,0.9,0.847,0.924,0.792,0.906,0.901,0.915,0.896,0.915,0.857,0.894,0.91,0.912,0.906,0.92,0.904
lipop,0.701,0.652,0.703,0.775,0.595,0.715,0.626,0.72,0.704,0.771,0.602,0.703,0.734,0.763,0.7,0.762,0.722
bace,0.901,0.886,0.853,0.875,0.877,0.886,0.885,0.881,0.879,0.894,0.88,0.887,0.898,0.861,0.881,0.88,0.869
bbbp,0.896,0.897,0.875,0.895,0.906,0.921,0.923,0.923,0.913,0.915,0.906,0.912,0.91,0.902,0.925,0.92,0.921
clintox,0.876,0.855,0.851,0.901,0.758,0.852,0.864,0.876,0.845,0.679,0.77,0.785,0.832,0.776,0.795,0.772,0.782
sider,0.624,0.624,0.571,0.628,0.642,0.629,0.654,0.632,0.63,0.639,0.654,0.643,0.628,0.636,0.663,0.656,0.623
tox21,0.83,0.833,0.814,0.848,na,0.813,0.837,0.829,0.837,0.858,0.863,0.86,0.865,0.82,0.841,0.836,0.838
clintox1,0.907,0.883,0.772,0.891,0.764,0.856,0.849,0.863,0.864,0.468,0.773,0.777,0.838,0.795,0.772,0.758,0.764
clintox2,0.905,0.863,0.879,0.912,0.748,0.846,0.875,0.864,0.837,0.783,0.799,0.769,0.826,0.804,0.816,0.797,0.778
sider1,0.655,0.64,0.628,0.632,0.701,0.713,0.679,0.68,0.698,0.719,0.649,0.721,0.709,0.703,0.74,0.721,0.693
sider2,0.583,0.551,0.54,0.57,0.607,0.455,0.65,0.624,0.596,0.539,0.625,0.595,0.626,0.596,0.662,0.652,0.616
sider3,0.568,0.546,0.555,0.459,0.467,0.484,0.607,0.646,0.504,0.52,0.617,0.645,0.465,0.606,0.565,0.468,0.567
sider4,0.623,0.632,0.594,0.565,0.622,0.622,0.634,0.626,0.614,0.677,0.605,0.621,0.625,0.671,0.633,0.617,0.637
sider5,0.657,0.648,0.636,0.643,0.67,0.645,0.68,0.656,0.669,0.671,0.689,0.675,0.676,0.68,0.688,0.692,0.664
sider6,0.605,0.641,0.548,0.616,0.646,0.589,0.653,0.628,0.634,0.642,0.674,0.646,0.654,0.611,0.673,0.663,0.629
sider7,0.675,0.676,0.667,0.627,0.728,0.702,0.749,0.753,0.688,0.726,0.675,0.671,0.658,0.719,0.753,0.722,0.694
sider8,0.59,0.573,0.551,0.588,0.635,0.599,0.646,0.59,0.622,0.481,0.604,0.594,0.607,0.605,0.645,0.622,0.617
sider9,0.592,0.574,0.555,0.576,0.604,0.587,0.61,0.596,0.592,0.606,0.615,0.601,0.601,0.57,0.631,0.603,0.613
sider10,0.655,0.651,0.647,0.599,0.698,0.67,0.69,0.674,0.664,0.724,0.689,0.687,0.68,0.676,0.721,0.705,0.673
sider11,0.692,0.697,0.629,0.639,0.721,0.684,0.711,0.704,0.689,0.74,0.724,0.715,0.701,0.711,0.734,0.693,0.671
sider12,0.624,0.627,0.535,0.512,0.582,0.595,0.575,0.595,0.584,0.59,0.606,0.58,0.615,0.562,0.611,0.64,0.565
sider13,0.696,0.655,0.678,0.638,0.701,0.697,0.704,0.682,0.692,0.697,0.706,0.7,0.701,0.683,0.726,0.705,0.693
sider14,0.547,0.555,0.529,0.532,0.605,0.595,0.571,0.564,0.576,0.589,0.56,0.547,0.576,0.597,0.629,0.603,0.603
sider15,0.64,0.631,0.61,0.585,0.679,0.639,0.642,0.656,0.65,0.634,0.679,0.65,0.637,0.632,0.691,0.669,0.645
sider16,0.681,0.693,0.645,0.688,0.726,0.71,0.709,0.708,0.7,0.724,0.731,0.718,0.73,0.721,0.744,0.715,0.716
sider17,0.641,0.581,0.59,0.662,0.61,0.576,0.611,0.61,0.673,0.606,0.678,0.666,0.662,0.573,0.616,0.607,0.663
sider18,0.596,0.561,0.51,0.556,0.563,0.589,0.602,0.604,0.61,0.602,0.577,0.587,0.613,0.628,0.585,0.583,0.573
sider19,0.63,0.605,0.585,0.588,0.677,0.651,0.67,0.658,0.643,0.655,0.646,0.632,0.654,0.629,0.668,0.663,0.653
sider20,0.613,0.548,0.591,0.535,0.616,0.624,0.61,0.622,0.623,0.654,0.628,0.596,0.603,0.602,0.625,0.648,0.634
sider21,0.65,0.656,0.608,0.602,0.698,0.646,0.69,0.663,0.655,0.679,0.685,0.648,0.667,0.688,0.698,0.672,0.661
sider22,0.647,0.635,0.585,0.613,0.666,0.646,0.638,0.658,0.632,0.656,0.664,0.651,0.647,0.631,0.644,0.648,0.655
sider23,0.593,0.593,0.562,0.555,0.566,0.548,0.598,0.557,0.597,0.59,0.631,0.579,0.578,0.596,0.613,0.572,0.583
sider24,0.638,0.602,0.595,0.544,0.641,0.659,0.664,0.642,0.636,0.653,0.616,0.64,0.649,0.661,0.66,0.634,0.633
sider25,0.696,0.653,0.624,0.611,0.698,0.689,0.71,0.686,0.656,0.744,0.704,0.675,0.685,0.722,0.735,0.733,0.676
sider26,0.68,0.662,0.58,0.527,0.639,0.608,0.696,0.675,0.673,0.499,0.657,0.672,0.677,0.644,0.669,0.706,0.665
sider27,0.556,0.534,0.539,0.534,0.571,0.599,0.607,0.6,0.583,0.63,0.601,0.58,0.572,0.592,0.638,0.599,0.59
tox211,0.779,0.79,0.771,0.799,0.778,0.791,0.815,0.792,0.799,0.691,0.698,0.701,0.686,0.776,0.781,0.793,0.796
tox212,0.839,0.848,0.803,0.852,0.835,0.833,0.852,0.833,0.822,0.812,0.737,0.787,0.749,0.819,0.851,0.824,0.833
tox213,0.875,0.88,0.873,0.889,0.856,0.883,0.891,0.898,0.888,0.844,0.859,0.845,0.834,0.885,0.886,0.897,0.886
tox214,0.839,0.849,0.772,0.829,0.833,0.826,0.861,0.859,0.835,0.839,0.777,0.824,0.81,0.816,0.868,0.861,0.859
tox215,0.718,0.729,0.708,0.734,0.71,0.74,0.725,0.726,0.746,0.575,0.576,0.555,0.574,0.739,0.74,0.737,0.749
tox216,0.815,0.8,0.759,0.799,0.781,0.837,0.825,0.827,0.804,0.688,0.734,0.701,0.699,0.831,0.831,0.824,0.797
tox217,0.803,0.791,0.75,0.789,0.787,0.808,0.844,0.848,0.804,0.85,0.787,0.769,0.785,0.864,0.853,0.835,0.837
tox218,0.801,0.814,0.785,0.809,0.785,0.815,0.831,0.832,0.819,0.724,0.748,0.729,0.729,0.797,0.82,0.834,0.818
tox219,0.835,0.823,0.809,0.822,0.791,0.825,0.84,0.837,0.819,0.961,0.877,0.86,0.669,0.799,0.85,0.845,0.829
tox2110,0.782,0.78,0.74,0.803,0.737,0.801,0.771,0.787,0.782,0.379,0.695,0.609,0.713,0.802,0.813,0.798,0.794
tox2111,0.902,0.9,0.874,0.907,0.893,0.923,0.925,0.936,0.906,0.91,0.908,0.89,0.87,0.92,0.926,0.936,0.913
tox2112,0.841,0.832,0.782,0.85,0.822,0.821,0.858,0.86,0.851,0.792,0.87,0.827,0.828,0.815,0.833,0.852,0.829
hiv,0.835,0.834,0.807,0.811,na,0.792,0.81,0.806,0.785,0.858,0.852,0.847,0.856,0.806,0.83,0.819,0.794
