roc_auc,prc_auc,split,set
0.9969457767836019,0.8378288212945111,1,train
0.9148059626391597,0.34867970489578104,2,train
0.9954918032786885,0.8686258473693282,3,train
0.9278612650705674,0.43269829655928604,4,train
0.7820654396728016,0.2575946418930619,5,train
0.9957055214723927,0.9460461431994084,6,train
0.9979136644226013,0.8486825076694029,7,train
0.9990879929555317,0.9036393550782902,8,train
0.996585909376607,0.7558342681329568,9,train
0.9409050824855354,0.3195339477005755,10,train
0.999541937118687,0.9635630623592121,11,train
0.9982216677218727,0.8443337165229736,12,train
0.7597546012269938,0.11549270840987304,13,train
0.9836707566462167,0.6466126523559327,14,train
0.9486597341423496,0.40548859141095345,15,train
0.8690036900369004,0.14894508103997542,1,validation
0.9294871794871795,0.12008703102453101,2,validation
0.6145454545454545,0.009629240524249131,3,validation
0.6058394160583941,0.013820868568921417,4,validation
0.8132352941176471,0.06771385836097824,5,validation
0.7481751824817519,0.020327272103929428,6,validation
0.7576875768757687,0.1142535197369242,7,validation
0.8808823529411766,0.10369014815758794,8,validation
0.9363636363636364,0.06017665130568356,9,validation
0.8351648351648352,0.038890216930061824,10,validation
0.6703296703296703,0.02971293030089489,11,validation
0.9855072463768116,0.1,12,validation
0.8647058823529411,0.061060507441895596,13,validation
0.836764705882353,0.09524884099352184,14,validation
0.7007352941176471,0.05398857833230189,15,validation
0.6705426356589148,0.03859158949328059,1,test
0.5428571428571428,0.024394556545852205,2,test
0.6611842105263158,0.024265478205670717,3,test
0.768976897689769,0.08168368993386323,4,test
0.766887417218543,0.2428132039881143,5,test
0.6266666666666667,0.04561260779896497,6,test
0.7109634551495017,0.19825467066674407,7,test
0.7513842746400886,0.054378564204289916,8,test
0.6629139072847682,0.052726642129033864,9,test
0.7951505016722408,0.25420179370163176,10,test
0.7714521452145213,0.06565563967242385,11,test
0.7913907284768211,0.25822803811806333,12,test
0.8437086092715232,0.06810298361768952,13,test
0.590066225165563,0.02252881779970656,14,test
0.7458745874587459,0.05908446240841915,15,test
