split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,tox2110,SR-HSE,tr,504,3069,38,2447,64.39473684210526,2447,0,38,0,0.0,1.0,0.9847082494969819,0.0,0.007645875251509054,0.0
1,tox2110,SR-HSE,va,504,3069,6,271,45.166666666666664,271,0,6,0,0.0,1.0,0.9783393501805054,0.0,0.02524278424754202,0.3905289052890529
1,tox2110,SR-HSE,te,504,3069,6,301,50.166666666666664,301,0,6,0,0.0,1.0,0.9804560260586319,0.0,0.014124764469599945,0.3817829457364341
2,tox2110,SR-HSE,tr,504,3069,39,2446,62.717948717948715,2446,0,39,0,0.0,1.0,0.9843058350100604,0.0,0.007847082494969819,0.0
2,tox2110,SR-HSE,va,504,3069,4,273,68.25,273,0,4,0,0.0,1.0,0.9855595667870036,0.0,0.016318863920451038,0.33699633699633696
2,tox2110,SR-HSE,te,504,3069,7,300,42.857142857142854,300,0,7,0,0.0,1.0,0.9771986970684039,0.0,0.01631317363875972,0.3535714285714286
3,tox2110,SR-HSE,tr,504,3069,45,2440,54.22222222222222,2440,0,45,0,0.0,1.0,0.9818913480885312,0.0,0.009054325955734407,0.0
3,tox2110,SR-HSE,va,504,3069,2,275,137.5,275,0,2,0,0.0,1.0,0.9927797833935018,0.0,0.00516074611662847,0.35818181818181816
3,tox2110,SR-HSE,te,504,3069,3,304,101.33333333333333,304,0,3,0,0.0,1.0,0.990228013029316,0.0,0.005805304831837484,0.23464912280701752
4,tox2110,SR-HSE,tr,504,3069,43,2442,56.7906976744186,2442,0,43,0,0.0,1.0,0.9826961770623742,0.0,0.008651911468812877,0.0
4,tox2110,SR-HSE,va,504,3069,3,274,91.33333333333333,274,0,3,0,0.0,1.0,0.9891696750902527,0.0,0.013588262103889012,0.6307785888077859
4,tox2110,SR-HSE,te,504,3069,4,303,75.75,303,0,4,0,0.0,1.0,0.9869706840390879,0.0,0.017180936304372455,0.34983498349834985
5,tox2110,SR-HSE,tr,504,3069,40,2445,61.125,2445,0,40,0,0.0,1.0,0.9839034205231388,0.0,0.008048289738430584,0.0
5,tox2110,SR-HSE,va,504,3069,5,272,54.4,272,0,5,0,0.0,1.0,0.9819494584837545,0.0,0.009124087591240875,0.1966911764705882
5,tox2110,SR-HSE,te,504,3069,5,302,60.4,302,0,5,0,0.0,1.0,0.9837133550488599,0.0,0.02209115446551438,0.44834437086092727
6,tox2110,SR-HSE,tr,504,3069,40,2445,61.125,2445,0,40,0,0.0,1.0,0.9839034205231388,0.0,0.008048289738430584,0.0
6,tox2110,SR-HSE,va,504,3069,3,274,91.33333333333333,274,0,3,0,0.0,1.0,0.9891696750902527,0.0,0.010612247859269277,0.5158150851581509
6,tox2110,SR-HSE,te,504,3069,7,300,42.857142857142854,300,0,7,0,0.0,1.0,0.9771986970684039,0.0,0.020700699635136814,0.46499999999999997
7,tox2110,SR-HSE,tr,504,3069,38,2447,64.39473684210526,2447,0,38,0,0.0,1.0,0.9847082494969819,0.0,0.007645875251509054,0.0
7,tox2110,SR-HSE,va,504,3069,6,271,45.166666666666664,271,0,6,0,0.0,1.0,0.9783393501805054,0.0,0.053715078701491746,0.5796432964329643
7,tox2110,SR-HSE,te,504,3069,6,301,50.166666666666664,301,0,6,0,0.0,1.0,0.9804560260586319,0.0,0.03017050700398414,0.4186046511627907
8,tox2110,SR-HSE,tr,504,3069,39,2446,62.717948717948715,2446,0,39,0,0.0,1.0,0.9843058350100604,0.0,0.007847082494969819,0.0
8,tox2110,SR-HSE,va,504,3069,5,272,54.4,272,0,5,0,0.0,1.0,0.9819494584837545,0.0,0.012724836474381532,0.36911764705882344
