auc_roc,auc_prc,split,set
0.9978829572555494,0.9567509500181697,1,train
0.9998050935550935,0.9947708042663745,2,train
0.9986573111573113,0.9785493819396835,3,train
0.9993949288593872,0.9843998485731527,4,train
0.9988955301455301,0.976071751206721,5,train
0.9530372148859544,0.6379298387842675,6,train
0.9235030490554519,0.5220861550597402,7,train
0.9997780126849894,0.9950623029799215,8,train
0.9166964080357214,0.5559558942576993,9,train
0.9914609782818844,0.8380227522830073,10,train
0.9916996384352558,0.8582998614039407,11,train
0.9990832178332179,0.9786221659816601,12,train
0.9994565873686753,0.9881064891992746,13,train
0.9554900308901993,0.6538347733373955,14,train
0.9871750760283249,0.8058456191064685,15,train
0.9818865345181136,0.6142176005812369,1,validation
0.9096736596736598,0.6476758551255504,2,validation
0.9591194968553459,0.5575416886368898,3,validation
0.9664122137404579,0.7381724603331543,4,validation
0.9266702878870179,0.7170230780104325,5,validation
0.8961538461538462,0.48771818976673353,6,validation
0.9262023217247097,0.26159101497779674,7,validation
0.9846441947565543,0.8155103814314341,8,validation
0.8751572327044026,0.35920662616565907,9,validation
0.9774579033134166,0.7177013644720074,10,validation
0.9747097844112769,0.44786711694606435,11,validation
0.8701298701298701,0.5860299527646728,12,validation
0.89812734082397,0.3502603807404644,13,validation
0.933587786259542,0.46773642393698717,14,validation
0.8821386946386947,0.3533059441823808,15,validation
0.8931506849315068,0.6589220961595026,1,test
0.7751842751842752,0.13285697917469108,2,test
0.9550847457627119,0.571910361156936,3,test
0.6793478260869565,0.17221410965289527,4,test
0.9164983164983165,0.379220103564848,5,test
0.9526681286549707,0.46000857606668477,6,test
0.8646464646464648,0.3463851113331887,7,test
0.7727272727272728,0.45803339602543325,8,test
0.88946723821188,0.5302977788022334,9,test
0.8057419835943326,0.46486817139618336,10,test
0.9141810570382,0.43511821226697883,11,test
0.8189429618001046,0.45730497740824283,12,test
0.9548022598870056,0.5928065396667005,13,test
0.9493150684931507,0.5966963221798739,14,test
0.9032179424670892,0.3458850848897213,15,test
