roc_auc,prc_auc,split,set
0.9642889460686963,0.8460112503791095,1,train
0.9755497874650776,0.8848679965558701,2,train
0.9855338436129698,0.9324883595608771,3,train
0.9464689314468633,0.7707446469588165,4,train
0.9742915979832787,0.8788664550667337,5,train
0.9269456177720015,0.7221339548708384,6,train
0.9663508587092644,0.8474004985544562,7,train
0.9647995588283892,0.8539441251320579,8,train
0.9868076690946295,0.9354504931037745,9,train
0.9942410766950304,0.9706682323541903,10,train
0.9576378128456235,0.8213517707230057,11,train
0.990340510966503,0.9427448740211777,12,train
0.9866129577249863,0.9330122345402504,13,train
0.9834568968903393,0.9237548038293893,14,train
0.992097908771854,0.9606983892305414,15,train
0.9336384439359269,0.7868995429637153,1,validation
0.9226948769524944,0.7904154039171052,2,validation
0.9057611438183347,0.6800586268981055,3,validation
0.9214449541284404,0.7242723910753583,4,validation
0.9340822086232431,0.8083310494597971,5,validation
0.9561371070971412,0.8227185635462715,6,validation
0.9328855365303088,0.8037837176371104,7,validation
0.9229763371639802,0.736851772671286,8,validation
0.9171854521625163,0.7836930020826365,9,validation
0.9127277056792474,0.6726692553737214,10,validation
0.8838274483677548,0.6309815139427571,11,validation
0.9151467731491474,0.7310267804550418,12,validation
0.9031040049997396,0.7132720446208317,13,validation
0.905970625798212,0.7691607673431091,14,validation
0.9216847966847966,0.7069594512702763,15,validation
0.9249345359324993,0.7762208120978026,1,test
0.9022382173141393,0.7069518296418557,2,test
0.9165292096219932,0.8130525970467788,3,test
0.9342166860027274,0.7161144670313675,4,test
0.9464689722042663,0.8414671148877457,5,test
0.8873092926490985,0.6844602460394672,6,test
0.9171361796252244,0.7312026740182532,7,test
0.9271255060728745,0.7745589492304806,8,test
0.9197966939451168,0.7005766365772188,9,test
0.8936333497053045,0.6730589637008874,10,test
0.8934458398744114,0.666117823680552,11,test
0.9163779317697228,0.8263427325668595,12,test
0.8848637015781923,0.6302330818671588,13,test
0.8990409973627428,0.6044285775412773,14,test
0.9312074829931972,0.7514652043579325,15,test
