split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,tox2111,SR-MMP,tr,115,5795,744,3949,5.307795698924731,3617,332,68,676,0.9086021505376344,0.9159280830590023,0.9147666737694439,0.7333099998364937,0.8597507620341875,0.9700791952229637
1,tox2111,SR-MMP,va,115,5795,87,435,5.0,391,44,23,64,0.735632183908046,0.8988505747126436,0.8716475095785441,0.5837300238472753,0.7093312437457759,0.9054564671687144
1,tox2111,SR-MMP,te,115,5795,86,494,5.744186046511628,449,45,17,69,0.8023255813953488,0.9089068825910931,0.8931034482758621,0.6360318847852582,0.7280811312314215,0.9324686940966012
2,tox2111,SR-MMP,tr,115,5795,755,3938,5.215894039735099,3608,330,66,689,0.9125827814569536,0.9162011173184358,0.9156190070317494,0.7385773227208429,0.8671957528598365,0.9698216393839613
2,tox2111,SR-MMP,va,115,5795,75,447,5.96,411,36,19,56,0.7466666666666667,0.9194630872483222,0.8946360153256705,0.6132182684024223,0.712113645532759,0.8999254287844892
2,tox2111,SR-MMP,te,115,5795,87,493,5.666666666666667,440,53,24,63,0.7241379310344828,0.8924949290060852,0.8672413793103448,0.5504549295834245,0.6463962427284831,0.9156466391550676
3,tox2111,SR-MMP,tr,115,5795,751,3942,5.249001331557923,3605,337,69,682,0.9081225033288948,0.9145104008117707,0.9134881738759855,0.731522497589438,0.8609800759005082,0.9695457637744634
3,tox2111,SR-MMP,va,115,5795,90,432,4.8,387,45,21,69,0.7666666666666667,0.8958333333333334,0.8735632183908046,0.6057124543868821,0.7329035183898213,0.9066615226337449
3,tox2111,SR-MMP,te,115,5795,76,504,6.631578947368421,448,56,12,64,0.8421052631578947,0.8888888888888888,0.8827586206896552,0.6089286781686297,0.6777709205222867,0.9404239766081872
4,tox2111,SR-MMP,tr,115,5795,741,3952,5.333333333333333,3629,323,72,669,0.902834008097166,0.9182692307692307,0.9158320903473258,0.7333308552726854,0.8549182416153571,0.9684821091970037
4,tox2111,SR-MMP,va,115,5795,86,436,5.069767441860465,387,49,14,72,0.8372093023255814,0.8876146788990825,0.8793103448275862,0.6371770906337622,0.7627348018481189,0.9481544698101131
4,tox2111,SR-MMP,te,115,5795,90,490,5.444444444444445,445,45,21,69,0.7666666666666667,0.9081632653061225,0.8862068965517241,0.6148486844272567,0.6880377318462522,0.9130158730158731
5,tox2111,SR-MMP,tr,115,5795,738,3955,5.3590785907859075,3619,336,65,673,0.9119241192411924,0.9150442477876106,0.9145535904538674,0.7327991017353743,0.8636938061446457,0.9696846981112036
5,tox2111,SR-MMP,va,115,5795,80,442,5.525,404,38,16,64,0.8,0.9140271493212669,0.896551724137931,0.6487033224890929,0.6873992662073626,0.9316742081447964
5,tox2111,SR-MMP,te,115,5795,99,481,4.858585858585859,437,44,18,81,0.8181818181818182,0.9085239085239085,0.8931034482758621,0.66494850396534,0.7605993344846983,0.915936915936916
6,tox2111,SR-MMP,tr,115,5795,762,3931,5.1587926509186355,3591,340,82,680,0.8923884514435696,0.9135080132281862,0.9100788408267633,0.7206057249768134,0.842480789637324,0.9664611530528922
6,tox2111,SR-MMP,va,115,5795,72,450,6.25,397,53,13,59,0.8194444444444444,0.8822222222222222,0.8735632183908046,0.5893895220571888,0.6625841828583566,0.9281481481481482
6,tox2111,SR-MMP,te,115,5795,83,497,5.9879518072289155,442,55,15,68,0.8192771084337349,0.8893360160965795,0.8793103448275862,0.607037857821704,0.7577525120069356,0.9332743448643669
7,tox2111,SR-MMP,tr,115,5795,742,3951,5.324797843665769,3641,310,62,680,0.9164420485175202,0.9215388509238167,0.9207330066055828,0.7493679830197683,0.8658192414122863,0.9709296019091007
7,tox2111,SR-MMP,va,115,5795,86,436,5.069767441860465,380,56,16,70,0.813953488372093,0.8715596330275229,0.8620689655172413,0.5942584649336151,0.7012519998946909,0.9068700661403883
7,tox2111,SR-MMP,te,115,5795,89,491,5.51685393258427,428,63,15,74,0.8314606741573034,0.8716904276985743,0.8655172413793103,0.5966535986183731,0.7216592903347984,0.9269777340442573
8,tox2111,SR-MMP,tr,115,5795,724,3969,5.482044198895028,3662,307,67,657,0.9074585635359116,0.9226505416981607,0.92030683997443,0.7421818020758505,0.8561016424674143,0.9701549230291667
8,tox2111,SR-MMP,va,115,5795,92,430,4.673913043478261,384,46,21,71,0.7717391304347826,0.8930232558139535,0.8716475095785441,0.6073990902350668,0.7367182768069549,0.9376390293225481
8,tox2111,SR-MMP,te,115,5795,101,479,4.742574257425742,428,51,21,80,0.7920792079207921,0.8935281837160751,0.8758620689655172,0.6217919804002024,0.7562366979340199,0.9206060480787118
9,tox2111,SR-MMP,tr,115,5795,749,3944,5.265687583444593,3604,340,71,678,0.9052069425901201,0.9137931034482759,0.9124227572981035,0.7277642659912457,0.860603393137036,0.9686881359053451
9,tox2111,SR-MMP,va,115,5795,82,440,5.365853658536586,389,51,20,62,0.7560975609756098,0.884090909090909,0.8639846743295019,0.5656401605013587,0.6762119436845684,0.9157566518847007
9,tox2111,SR-MMP,te,115,5795,86,494,5.744186046511628,438,56,9,77,0.8953488372093024,0.8866396761133604,0.8879310344827587,0.6610487552034845,0.7601197122388459,0.9466858111288955
10,tox2111,SR-MMP,tr,115,5795,755,3938,5.215894039735099,3590,348,73,682,0.9033112582781457,0.9116302691721686,0.9102919241423396,0.7234369868771355,0.8652662229783893,0.9698974838473156
10,tox2111,SR-MMP,va,115,5795,75,447,5.96,392,55,13,62,0.8266666666666667,0.8769574944071589,0.8697318007662835,0.5918405187660573,0.6936059746479855,0.9214914243102162
10,tox2111,SR-MMP,te,115,5795,87,493,5.666666666666667,449,44,20,67,0.7701149425287356,0.9107505070993914,0.8896551724137931,0.6180113793397146,0.7203274307163218,0.9192138210813457
11,tox2111,SR-MMP,tr,115,5795,733,3960,5.402455661664393,3610,350,66,667,0.9099590723055935,0.9116161616161617,0.9113573407202216,0.7239335292539076,0.8550846452908193,0.9680629625036172
11,tox2111,SR-MMP,va,115,5795,88,434,4.931818181818182,386,48,18,70,0.7954545454545454,0.8894009216589862,0.8735632183908046,0.61299007329592,0.6969832342168948,0.9077817343946377
11,tox2111,SR-MMP,te,115,5795,96,484,5.041666666666667,448,36,16,80,0.8333333333333334,0.9256198347107438,0.9103448275862069,0.7051561380739452,0.7982939844591824,0.9405668904958677
12,tox2111,SR-MMP,tr,115,5795,757,3936,5.199471598414795,3586,350,71,686,0.9062087186261559,0.9110772357723578,0.9102919241423396,0.7247816045179047,0.8600193510146307,0.9671702323033798
12,tox2111,SR-MMP,va,115,5795,78,444,5.6923076923076925,402,42,14,64,0.8205128205128205,0.9054054054054054,0.89272030651341,0.6433197566651279,0.7554569634757159,0.9362150612150613
12,tox2111,SR-MMP,te,115,5795,82,498,6.073170731707317,449,49,17,65,0.7926829268292683,0.9016064257028112,0.8862068965517241,0.6087188051533002,0.7297339134970475,0.9289107650112647
13,tox2111,SR-MMP,tr,115,5795,735,3958,5.385034013605442,3618,340,68,667,0.9074829931972789,0.9140980293077312,0.9130620072448328,0.7273435012475098,0.859277346166317,0.9693394588760214
13,tox2111,SR-MMP,va,115,5795,94,428,4.553191489361702,389,39,21,73,0.776595744680851,0.9088785046728972,0.8850574712643678,0.6416172274536277,0.7473243665522727,0.9064426327301651
13,tox2111,SR-MMP,te,115,5795,88,492,5.590909090909091,437,55,16,72,0.8181818181818182,0.8882113821138211,0.8775862068965518,0.6128009587116025,0.7212422672988718,0.930339985218034
14,tox2111,SR-MMP,tr,115,5795,741,3952,5.333333333333333,3597,355,66,675,0.9109311740890689,0.9101720647773279,0.9102919241423396,0.7233996019964586,0.8549587551305691,0.96836907942544
14,tox2111,SR-MMP,va,115,5795,83,439,5.289156626506024,399,40,22,61,0.7349397590361446,0.908883826879271,0.8812260536398467,0.595986543528081,0.7382648396397767,0.9108049510113346
