split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,tox2111,SR-MMP,tr,115,5795,744,3949,5.307795698924731,3892,57,25,719,0.9663978494623656,0.9855659660673588,0.982527168122736,0.9359288384655776,0.9631874683262985,0.9951173497033412
1,tox2111,SR-MMP,va,115,5795,87,435,5.0,422,13,38,49,0.5632183908045977,0.9701149425287356,0.9022988505747126,0.6143674839455563,0.7039582819366228,0.881067512220901
1,tox2111,SR-MMP,te,115,5795,86,494,5.744186046511628,473,21,32,54,0.627906976744186,0.9574898785425101,0.9086206896551724,0.6199929690004852,0.7147996009454733,0.9218882402786931
2,tox2111,SR-MMP,tr,115,5795,755,3938,5.215894039735099,3881,57,18,737,0.976158940397351,0.9855256475368207,0.9840187513317707,0.9424473963215029,0.9700808818410885,0.9958201460384302
2,tox2111,SR-MMP,va,115,5795,75,447,5.96,430,17,34,41,0.5466666666666666,0.9619686800894854,0.9022988505747126,0.5676987574362223,0.6661156145651476,0.8901715137956749
2,tox2111,SR-MMP,te,115,5795,87,493,5.666666666666667,476,17,35,52,0.5977011494252874,0.9655172413793104,0.9103448275862069,0.6211906610188528,0.6695152546103537,0.9230607819822341
3,tox2111,SR-MMP,tr,115,5795,751,3942,5.249001331557923,3890,52,29,722,0.9613848202396804,0.9868087265347539,0.9827402514383123,0.9367358934480482,0.9639939658754906,0.99476851767405
3,tox2111,SR-MMP,va,115,5795,90,432,4.8,416,16,33,57,0.6333333333333333,0.9629629629629629,0.9061302681992337,0.6494424008019514,0.7405949243853105,0.9193415637860082
3,tox2111,SR-MMP,te,115,5795,76,504,6.631578947368421,487,17,33,43,0.5657894736842105,0.9662698412698413,0.9137931034482759,0.5895285175776436,0.6601098905984398,0.9008980785296575
4,tox2111,SR-MMP,tr,115,5795,741,3952,5.333333333333333,3898,54,31,710,0.9581646423751687,0.986336032388664,0.9818879181760068,0.9328936797243127,0.950918139481062,0.9935149595414885
4,tox2111,SR-MMP,va,115,5795,86,436,5.069767441860465,424,12,26,60,0.6976744186046512,0.9724770642201835,0.9272030651340997,0.7209297507861595,0.8283325545916291,0.9375400042671219
