roc_auc,prc_auc,split,set,model,dataset
0.9704108667212544,0.6978950543342473,1,train,gcn,tox2112
0.9849501626368148,0.7834956482719042,2,train,gcn,tox2112
0.9513391554796357,0.5552908121491756,3,train,gcn,tox2112
0.9861552903540516,0.8250579201196628,4,train,gcn,tox2112
0.9713601119545586,0.6700321227023728,5,train,gcn,tox2112
0.9878238471570555,0.7965778017513995,6,train,gcn,tox2112
0.9870477636463847,0.7797936359077218,7,train,gcn,tox2112
0.9965175587531889,0.9435770922151173,8,train,gcn,tox2112
0.9706607443168129,0.6598928024844335,9,train,gcn,tox2112
0.9994156330925447,0.9907948761362674,10,train,gcn,tox2112
0.9997271047917599,0.9951342488981745,11,train,gcn,tox2112
0.954269283588922,0.5651668724448192,12,train,gcn,tox2112
0.9943982715060815,0.9101676518505796,13,train,gcn,tox2112
0.9999977682930231,0.9999676701717322,14,train,gcn,tox2112
0.9523276824993846,0.532852619782312,15,train,gcn,tox2112
0.8795252936945578,0.518477828440259,1,validation,gcn,tox2112
0.825945945945946,0.2826405622398074,2,validation,gcn,tox2112
0.8530677694320196,0.29638549912224743,3,validation,gcn,tox2112
0.8178930108628817,0.3703033784882106,4,validation,gcn,tox2112
0.8842391304347826,0.37083747663190486,5,validation,gcn,tox2112
0.8709971793595487,0.5348473115081478,6,validation,gcn,tox2112
0.8545246277205041,0.4924516499691295,7,validation,gcn,tox2112
0.8839098954143202,0.3409263480787393,8,validation,gcn,tox2112
0.8448832588176851,0.3489366999302458,9,validation,gcn,tox2112
0.8739614044492093,0.35775090070175025,10,validation,gcn,tox2112
0.8409331919406151,0.41613420753731034,11,validation,gcn,tox2112
0.8761637931034483,0.3344123268746736,12,validation,gcn,tox2112
0.8713138860185995,0.5393707470312145,13,validation,gcn,tox2112
0.8965401972254722,0.46975763610568305,14,validation,gcn,tox2112
0.8921388408304498,0.31253429464722293,15,validation,gcn,tox2112
0.8286323051948052,0.296403525500428,1,test,gcn,tox2112
0.8373015873015873,0.4021703045538217,2,test,gcn,tox2112
0.8920321705788833,0.43771313930187145,3,test,gcn,tox2112
0.8431899641577061,0.2755093764882159,4,test,gcn,tox2112
0.8766448022261975,0.3479002771830024,5,test,gcn,tox2112
0.8583942123554862,0.3627392613500317,6,test,gcn,tox2112
0.8435287902799788,0.4407674962363902,7,test,gcn,tox2112
0.8619036662064734,0.41030588296513415,8,test,gcn,tox2112
0.8843437114250445,0.42760806008174,9,test,gcn,tox2112
0.8360478177150192,0.4189158069734787,10,test,gcn,tox2112
0.7967651195499296,0.26767861653435426,11,test,gcn,tox2112
0.7591515433534978,0.15708937146575283,12,test,gcn,tox2112
0.7903457326826069,0.34741700434072675,13,test,gcn,tox2112
0.8241324921135648,0.29702286773847547,14,test,gcn,tox2112
0.8790666718866225,0.36463638505375134,15,test,gcn,tox2112
