roc_auc,prc_auc,split,set,model,dataset
0.8308407097344966,0.2480968018499211,1,train,mpnn,tox2112
0.8281624412732155,0.27223233415932135,2,train,mpnn,tox2112
0.7907624718321773,0.1993965407462818,3,train,mpnn,tox2112
0.8390015428072285,0.2534268430266478,4,train,mpnn,tox2112
0.6893990798957558,0.12736021888960516,5,train,mpnn,tox2112
0.8474880431482092,0.2461418884520651,6,train,mpnn,tox2112
0.8390055335438599,0.2280322365693501,7,train,mpnn,tox2112
0.7336970125810705,0.1586608929918039,8,train,mpnn,tox2112
0.8123472340146842,0.219536651987069,9,train,mpnn,tox2112
0.8647244559538413,0.28842906382418204,10,train,mpnn,tox2112
0.8184208930437379,0.21339451920954103,11,train,mpnn,tox2112
0.8456114099336232,0.21473099662131928,12,train,mpnn,tox2112
0.8877589174363434,0.3461169079917128,13,train,mpnn,tox2112
0.8561173877869837,0.2845749768952123,14,train,mpnn,tox2112
0.8545882951875526,0.27615305817672386,15,train,mpnn,tox2112
0.8149924078957884,0.24927711274137362,1,validation,mpnn,tox2112
0.8373443008225617,0.23662838930728897,2,validation,mpnn,tox2112
0.7486285762511604,0.1496949815838755,3,validation,mpnn,tox2112
0.7834341053494568,0.24898001779268877,4,validation,mpnn,tox2112
0.7926630434782609,0.16342011949630283,5,validation,mpnn,tox2112
0.8361539737846359,0.2557473498201595,6,validation,mpnn,tox2112
0.8323640849414046,0.2634436823262381,7,validation,mpnn,tox2112
0.8114641995172969,0.2157609532935788,8,validation,mpnn,tox2112
0.7812551746977976,0.19406554074900645,9,validation,mpnn,tox2112
0.784418833199321,0.16975476875030224,10,validation,mpnn,tox2112
0.746431193408924,0.25043007199468326,11,validation,mpnn,tox2112
0.8299137931034483,0.21083672236511886,12,validation,mpnn,tox2112
0.8165487640092202,0.257204408722664,13,validation,mpnn,tox2112
0.8124686612067524,0.19550658455888703,14,validation,mpnn,tox2112
0.8529952422145328,0.34825776314392887,15,validation,mpnn,tox2112
0.7391267586580087,0.19003907085519162,1,test,mpnn,tox2112
0.7883477633477634,0.246561133255429,2,test,mpnn,tox2112
0.781445805667259,0.1785502839426411,3,test,mpnn,tox2112
0.7908422939068102,0.22288860880715397,4,test,mpnn,tox2112
0.713854104551779,0.11313680148988624,5,test,mpnn,tox2112
0.8152351230583729,0.2356958650749078,6,test,mpnn,tox2112
0.7932030287022364,0.25678286509766896,7,test,mpnn,tox2112
0.7517257248044178,0.15192678488194017,8,test,mpnn,tox2112
0.7802084762035386,0.21639207165115595,9,test,mpnn,tox2112
0.8375320924261874,0.22669823413665346,10,test,mpnn,tox2112
0.7332102672292545,0.18837440273693923,11,test,mpnn,tox2112
0.7602373196835737,0.1481771769561061,12,test,mpnn,tox2112
0.8537095517368659,0.22411521199360335,13,test,mpnn,tox2112
0.7709086712318227,0.15900565351939436,14,test,mpnn,tox2112
0.8192459773714913,0.29640949326615873,15,test,mpnn,tox2112
