split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,tox2112,SR-p53,tr,1,6756,339,5133,15.141592920353983,5129,4,335,4,0.011799410029498525,0.9992207286187414,0.9380482456140351,0.06952999544924934,0.8835667951280697,0.9967320599487266
1,tox2112,SR-p53,va,1,6756,38,570,15.0,569,1,38,0,0.0,0.9982456140350877,0.9358552631578947,-0.010479969650051836,0.25756837788730813,0.792151431209603
1,tox2112,SR-p53,te,1,6756,45,631,14.022222222222222,630,1,41,4,0.08888888888888889,0.9984152139461173,0.9378698224852071,0.25398573655809265,0.38675330695969384,0.8345131185067793
2,tox2112,SR-p53,tr,1,6756,331,5141,15.531722054380664,5139,2,326,5,0.015105740181268883,0.9996109706282824,0.9400584795321637,0.09815319739184862,0.8837587308532564,0.9968087250708274
2,tox2112,SR-p53,va,1,6756,47,561,11.936170212765957,560,1,46,1,0.02127659574468085,0.9982174688057041,0.9226973684210527,0.09092461053571163,0.24123675884980605,0.7768801911480259
2,tox2112,SR-p53,te,1,6756,44,632,14.363636363636363,630,2,43,1,0.022727272727272728,0.9968354430379747,0.9334319526627219,0.07260154500385171,0.2667587228654609,0.7960658803222095
3,tox2112,SR-p53,tr,1,6756,337,5135,15.237388724035608,5134,1,325,12,0.03560830860534125,0.9998052580331062,0.9404239766081871,0.17487455386770526,0.8974983223018773,0.9967824235262165
3,tox2112,SR-p53,va,1,6756,39,569,14.58974358974359,568,1,38,1,0.02564102564102564,0.9982425307557118,0.9358552631578947,0.102196523656229,0.18556521634040582,0.7721148213239601
3,tox2112,SR-p53,te,1,6756,46,630,13.695652173913043,630,0,46,0,0.0,1.0,0.9319526627218935,0.0,0.3474279144643676,0.8317460317460317
4,tox2112,SR-p53,tr,1,6756,336,5136,15.285714285714286,5133,3,329,7,0.020833333333333332,0.9994158878504673,0.939327485380117,0.11381896250485504,0.9195661771364728,0.9973532418224299
4,tox2112,SR-p53,va,1,6756,34,574,16.88235294117647,574,0,31,3,0.08823529411764706,1.0,0.9490131578947368,0.2893339710710636,0.3521876036950096,0.8566816970690716
4,tox2112,SR-p53,te,1,6756,52,624,12.0,622,2,49,3,0.057692307692307696,0.9967948717948718,0.9245562130177515,0.16945017893054184,0.3365986035332837,0.8169070512820512
5,tox2112,SR-p53,tr,1,6756,348,5124,14.724137931034482,5121,3,341,7,0.020114942528735632,0.9994145199063232,0.9371345029239766,0.1115857209522841,0.8806077955260071,0.9958410724380199
5,tox2112,SR-p53,va,1,6756,35,573,16.37142857142857,572,1,35,0,0.0,0.9982547993019197,0.9407894736842105,-0.01003141888262563,0.1781495317214772,0.7746197955622041
5,tox2112,SR-p53,te,1,6756,39,637,16.333333333333332,637,0,39,0,0.0,1.0,0.9423076923076923,0.0,0.2830963029362836,0.8338364931771526
6,tox2112,SR-p53,tr,1,6756,337,5135,15.237388724035608,5132,3,327,10,0.02967359050445104,0.9994157740993184,0.9396929824561403,0.1436452224458074,0.9095326369788113,0.997111520114187
6,tox2112,SR-p53,va,1,6756,44,564,12.818181818181818,562,2,44,0,0.0,0.9964539007092199,0.9243421052631579,-0.01604595138239596,0.22698374111330855,0.8093165699548678
6,tox2112,SR-p53,te,1,6756,41,635,15.487804878048781,633,2,39,2,0.04878048780487805,0.9968503937007874,0.9393491124260355,0.14201133740361943,0.2295096677558186,0.7849817553293643
7,tox2112,SR-p53,tr,1,6756,346,5126,14.815028901734104,5124,2,338,8,0.023121387283236993,0.9996098322278579,0.9378654970760234,0.12953115507727037,0.9255240336654421,0.997255011851628
7,tox2112,SR-p53,va,1,6756,43,565,13.13953488372093,565,0,42,1,0.023255813953488372,1.0,0.930921052631579,0.14712810813649305,0.39477816629091195,0.8548672566371681
7,tox2112,SR-p53,te,1,6756,33,643,19.484848484848484,643,0,33,0,0.0,1.0,0.9511834319526628,0.0,0.24539130742925616,0.8629058862340355
8,tox2112,SR-p53,tr,1,6756,348,5124,14.724137931034482,5121,3,342,6,0.017241379310344827,0.9994145199063232,0.9369517543859649,0.10030565352304269,0.873169276611018,0.9960174455122166
8,tox2112,SR-p53,va,1,6756,35,573,16.37142857142857,573,0,34,1,0.02857142857142857,1.0,0.944078947368421,0.16422865770698533,0.3290414671418177,0.8158813263525305
8,tox2112,SR-p53,te,1,6756,39,637,16.333333333333332,637,0,39,0,0.0,1.0,0.9423076923076923,0.0,0.2923827820651438,0.8050154973231896
9,tox2112,SR-p53,tr,1,6756,349,5123,14.679083094555875,5114,9,335,14,0.04011461318051576,0.9982432168651181,0.9371345029239766,0.14487938708664294,0.8936036679741856,0.9967137920060495
9,tox2112,SR-p53,va,1,6756,33,575,17.424242424242426,575,0,33,0,0.0,1.0,0.9457236842105263,0.0,0.17076961143637243,0.7612648221343874
9,tox2112,SR-p53,te,1,6756,40,636,15.9,635,1,37,3,0.075,0.9984276729559748,0.9437869822485208,0.22589347491590742,0.25423396249807023,0.8082154088050314
10,tox2112,SR-p53,tr,1,6756,332,5140,15.481927710843374,5138,2,321,11,0.03313253012048193,0.9996108949416342,0.9409722222222222,0.16056337340697815,0.9272047594083016,0.9976431015892364
10,tox2112,SR-p53,va,1,6756,44,564,12.818181818181818,563,1,44,0,0.0,0.99822695035461,0.9259868421052632,-0.01133685105124408,0.3226061111507786,0.8400225660863959
10,tox2112,SR-p53,te,1,6756,46,630,13.695652173913043,629,1,46,0,0.0,0.9984126984126984,0.9304733727810651,-0.01040056074099946,0.17707567927671958,0.748895790200138
11,tox2112,SR-p53,tr,1,6756,332,5140,15.481927710843374,5137,3,329,3,0.009036144578313253,0.9994163424124514,0.939327485380117,0.06097119029263209,0.8863407090862946,0.997087572078196
11,tox2112,SR-p53,va,1,6756,44,564,12.818181818181818,564,0,41,3,0.06818181818181818,1.0,0.9325657894736842,0.25211353029195693,0.43941718329263696,0.8868874919406834
11,tox2112,SR-p53,te,1,6756,46,630,13.695652173913043,629,1,46,0,0.0,0.9984126984126984,0.9304733727810651,-0.01040056074099946,0.22904116263267904,0.8058143547273983
12,tox2112,SR-p53,tr,1,6756,347,5125,14.769452449567723,5121,4,337,10,0.02881844380403458,0.999219512195122,0.9376827485380117,0.13526244660560083,0.8698856463292098,0.9961161172418641
12,tox2112,SR-p53,va,1,6756,35,573,16.37142857142857,572,1,34,1,0.02857142857142857,0.9982547993019197,0.9424342105263158,0.10912383810510842,0.32606567795944985,0.8043879331837446
12,tox2112,SR-p53,te,1,6756,40,636,15.9,636,0,39,1,0.025,1.0,0.9423076923076923,0.15347819244295113,0.28097920753938754,0.8270440251572326
13,tox2112,SR-p53,tr,1,6756,343,5129,14.9533527696793,5129,0,336,7,0.02040816326530612,1.0,0.9385964912280702,0.1383959006710587,0.9276232334194563,0.9972658756843127
13,tox2112,SR-p53,va,1,6756,38,570,15.0,570,0,37,1,0.02631578947368421,1.0,0.9391447368421053,0.15719954475077755,0.30701315023441533,0.846168051708218
13,tox2112,SR-p53,te,1,6756,41,635,15.487804878048781,635,0,41,0,0.0,1.0,0.9393491124260355,0.0,0.2788402253716731,0.8507009794507394
14,tox2112,SR-p53,tr,1,6756,338,5134,15.189349112426035,5134,0,335,3,0.008875739644970414,1.0,0.9387792397660819,0.09128012953216427,0.8851495622230972,0.9963121480419433
14,tox2112,SR-p53,va,1,6756,42,566,13.476190476190476,566,0,42,0,0.0,1.0,0.930921052631579,0.0,0.2494262796565514,0.7953474676089518
14,tox2112,SR-p53,te,1,6756,42,634,15.095238095238095,634,0,41,1,0.023809523809523808,1.0,0.9393491124260355,0.1495436915976365,0.31982111094759325,0.8560913324320264
15,tox2112,SR-p53,tr,1,6756,352,5120,14.545454545454545,5120,0,349,3,0.008522727272727272,1.0,0.9362207602339181,0.0893244425200431,0.8869902959331281,0.9959286776455966
15,tox2112,SR-p53,va,1,6756,32,576,18.0,576,0,32,0,0.0,1.0,0.9473684210526315,0.0,0.21830568769685915,0.870388454861111
15,tox2112,SR-p53,te,1,6756,38,638,16.789473684210527,637,1,37,1,0.02631578947368421,0.9984326018808778,0.9437869822485208,0.10495524979955749,0.2940642323197921,0.8603778254413462
