split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,tox211,NR-AR,tr,504,3069,47,2438,51.87234042553192,2424,14,8,39,0.8297872340425532,0.9942575881870386,0.9911468812877263,0.7769568400365204,0.8707337040920784,0.9973469708341333
1,tox211,NR-AR,va,504,3069,8,269,33.625,268,1,4,4,0.5,0.9962825278810409,0.9819494584837545,0.624281787205099,0.7544661935286936,0.9693308550185874
1,tox211,NR-AR,te,504,3069,4,303,75.75,301,2,4,0,0.0,0.9933993399339934,0.9804560260586319,-0.009304086932770158,0.028279501724078334,0.568894389438944
2,tox211,NR-AR,tr,504,3069,47,2438,51.87234042553192,2431,7,8,39,0.8297872340425532,0.9971287940935193,0.993963782696177,0.8356845509406238,0.8996665825013604,0.9974647862740649
2,tox211,NR-AR,va,504,3069,4,273,68.25,271,2,3,1,0.25,0.9926739926739927,0.9819494584837545,0.27970397990197,0.2820955198088918,0.5815018315018314
2,tox211,NR-AR,te,504,3069,8,299,37.375,297,2,5,3,0.375,0.9933110367892977,0.9771986970684039,0.4635609530860781,0.3608686319802386,0.6843645484949833
3,tox211,NR-AR,tr,504,3069,49,2436,49.714285714285715,2422,14,8,41,0.8367346938775511,0.9942528735632183,0.9911468812877263,0.7853201244244524,0.8471197886493742,0.9944790724171442
3,tox211,NR-AR,va,504,3069,5,272,54.4,271,1,1,4,0.8,0.9963235294117647,0.9927797833935018,0.7963235294117625,0.8129166666666667,0.9911764705882353
3,tox211,NR-AR,te,504,3069,5,302,60.4,301,1,4,1,0.2,0.9966887417218543,0.9837133550488599,0.30945895750378277,0.2115721875182668,0.47086092715231787
4,tox211,NR-AR,tr,504,3069,47,2438,51.87234042553192,2421,17,5,42,0.8936170212765957,0.9930270713699754,0.9911468812877263,0.7933114095012989,0.8713848108537777,0.9973644249733824
4,tox211,NR-AR,va,504,3069,4,273,68.25,271,2,2,2,0.5,0.9926739926739927,0.9855595667870036,0.49267399267399065,0.4025880957246327,0.6053113553113554
