roc_auc,prc_auc,split,set,model,dataset
0.9516223903771961,0.7128233880448457,1,train,gat,tox213
0.9937675292056054,0.9425304294842134,2,train,gat,tox213
0.9947257730997807,0.9536287089369697,3,train,gat,tox213
0.9592171423658324,0.7519804865983901,4,train,gat,tox213
0.9269572034728808,0.6317100330794251,5,train,gat,tox213
0.966435608616592,0.7952727084641809,6,train,gat,tox213
0.9450179290696532,0.6934275867833603,7,train,gat,tox213
0.974083445270643,0.8226405219569969,8,train,gat,tox213
0.9926819590476093,0.9441958439611067,9,train,gat,tox213
0.9965185448082553,0.9670185582571763,10,train,gat,tox213
0.9639693579297056,0.7737852746428269,11,train,gat,tox213
0.9610602473698221,0.7705834240851094,12,train,gat,tox213
0.9766886598643626,0.832266689736178,13,train,gat,tox213
0.899796049806784,0.5793006280999482,14,train,gat,tox213
0.9892641918837093,0.9113800445517409,15,train,gat,tox213
0.9399639110621769,0.7265935699060198,1,validation,gat,tox213
0.9231451702340024,0.6601954701803423,2,validation,gat,tox213
0.8703952149365531,0.531095844209486,3,validation,gat,tox213
0.9109630526953362,0.6394981352174949,4,validation,gat,tox213
0.8859720046490474,0.6296048137200374,5,validation,gat,tox213
0.9274817136886102,0.5879115127484973,6,validation,gat,tox213
0.9027079404986382,0.6595002013601856,7,validation,gat,tox213
0.918818786095674,0.5452065874135683,8,validation,gat,tox213
0.8620337250894226,0.45074948563848327,9,validation,gat,tox213
0.9334899640329505,0.661465001011255,10,validation,gat,tox213
0.8986023737952834,0.5689808569995419,11,validation,gat,tox213
0.9102211495285136,0.67144795432718,12,validation,gat,tox213
0.9240653088544655,0.7082956350857745,13,validation,gat,tox213
0.9209549071618037,0.6723959307008816,14,validation,gat,tox213
0.9343411886764488,0.6573936133467633,15,validation,gat,tox213
0.9025496026909764,0.5967225526012062,1,test,gat,tox213
0.8503249219343403,0.5264669282796545,2,test,gat,tox213
0.8922463768115941,0.6441652226875656,3,test,gat,tox213
0.9207953603976802,0.6878830814988395,4,test,gat,tox213
0.8946500167056465,0.6088414587528047,5,test,gat,tox213
0.8711969797912503,0.6005489567388487,6,test,gat,tox213
0.8737595886190264,0.49007749091507574,7,test,gat,tox213
0.8392010982684558,0.4306599305949131,8,test,gat,tox213
0.9054801407742584,0.5504638298123292,9,test,gat,tox213
0.8776231965523702,0.5944978865150382,10,test,gat,tox213
0.8693218794741636,0.5228979399947858,11,test,gat,tox213
0.8930025670532,0.6392460172598763,12,test,gat,tox213
0.8831055720299443,0.6304223017269133,13,test,gat,tox213
0.8681293361665088,0.45069334519277254,14,test,gat,tox213
0.8644950797242542,0.5095230407400879,15,test,gat,tox213
