split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,tox214,NR-Aromatase,tr,121,5804,239,4461,18.665271966527197,4090,371,21,218,0.9121338912133892,0.9168347904057387,0.916595744680851,0.5500748633643274,0.7261597189076343,0.9712707716058936
1,tox214,NR-Aromatase,va,121,5804,34,489,14.382352941176471,447,42,19,15,0.4411764705882353,0.9141104294478528,0.8833652007648184,0.2810882531751919,0.26433441317561635,0.8141465175027065
1,tox214,NR-Aromatase,te,121,5804,26,555,21.346153846153847,507,48,12,14,0.5384615384615384,0.9135135135135135,0.8967297762478486,0.30266911386028084,0.3538753396042864,0.8643104643104643
2,tox214,NR-Aromatase,tr,121,5804,245,4455,18.183673469387756,4014,441,23,222,0.9061224489795918,0.901010101010101,0.9012765957446809,0.5154251658267572,0.7300294532650976,0.9699695366362033
2,tox214,NR-Aromatase,va,121,5804,24,499,20.791666666666668,442,57,9,15,0.625,0.8857715430861723,0.8738049713193117,0.310190196337638,0.4509368567299909,0.8608884435537741
2,tox214,NR-Aromatase,te,121,5804,30,551,18.366666666666667,489,62,15,15,0.5,0.8874773139745916,0.8674698795180723,0.25288442165444575,0.3098728671662935,0.8418027828191167
3,tox214,NR-Aromatase,tr,121,5804,245,4455,18.183673469387756,4022,433,20,225,0.9183673469387755,0.9028058361391694,0.9036170212765957,0.5260542737333608,0.7597359322086008,0.9718825442634966
3,tox214,NR-Aromatase,va,121,5804,24,499,20.791666666666668,442,57,9,15,0.625,0.8857715430861723,0.8738049713193117,0.310190196337638,0.39972071872413867,0.8618904475617902
3,tox214,NR-Aromatase,te,121,5804,30,551,18.366666666666667,484,67,14,16,0.5333333333333333,0.8784029038112523,0.8605851979345955,0.2603765093054756,0.2545322897663525,0.8344827586206897
4,tox214,NR-Aromatase,tr,121,5804,248,4452,17.951612903225808,4056,396,26,222,0.8951612903225806,0.9110512129380054,0.9102127659574468,0.5333621707803459,0.7721890158409218,0.9713421658986174
4,tox214,NR-Aromatase,va,121,5804,27,496,18.37037037037037,440,56,10,17,0.6296296296296297,0.8870967741935484,0.8738049713193117,0.3299253508325181,0.41406404696049254,0.8844832735961768
4,tox214,NR-Aromatase,te,121,5804,24,557,23.208333333333332,497,60,11,13,0.5416666666666666,0.8922800718132855,0.8777969018932874,0.2605411710459681,0.31382516435896207,0.8786654697785756
5,tox214,NR-Aromatase,tr,121,5804,235,4465,19.0,4065,400,15,220,0.9361702127659575,0.910414333706607,0.9117021276595745,0.5452417123786543,0.7549618148609777,0.9749817731290653
5,tox214,NR-Aromatase,va,121,5804,24,499,20.791666666666668,453,46,12,12,0.5,0.9078156312625251,0.8891013384321224,0.2717560919137914,0.3660727581970399,0.8254008016032064
5,tox214,NR-Aromatase,te,121,5804,40,541,13.525,473,68,16,24,0.6,0.8743068391866913,0.8554216867469879,0.3289574086964598,0.39855030913424266,0.8348428835489833
6,tox214,NR-Aromatase,tr,121,5804,242,4458,18.421487603305785,3931,527,18,224,0.9256198347107438,0.8817855540601166,0.8840425531914894,0.4869740548246834,0.7524082664813438,0.9694911923591722
6,tox214,NR-Aromatase,va,121,5804,24,499,20.791666666666668,430,69,14,10,0.4166666666666667,0.8617234468937875,0.8413001912045889,0.162668952899046,0.2646710428710673,0.7958416833667334
6,tox214,NR-Aromatase,te,121,5804,33,548,16.606060606060606,476,72,12,21,0.6363636363636364,0.8686131386861314,0.8554216867469879,0.3187625323643976,0.4086192689631919,0.8400796284007963
7,tox214,NR-Aromatase,tr,121,5804,240,4460,18.583333333333332,4050,410,23,217,0.9041666666666667,0.9080717488789237,0.9078723404255319,0.5258545072586897,0.7446116029442368,0.9711014573991031
7,tox214,NR-Aromatase,va,121,5804,28,495,17.678571428571427,443,52,14,14,0.5,0.8949494949494949,0.8738049713193117,0.26772757859599955,0.34931986214225547,0.8373737373737374
7,tox214,NR-Aromatase,te,121,5804,31,550,17.741935483870968,495,55,15,16,0.5161290322580645,0.9,0.8795180722891566,0.28554591116165,0.39965918515395304,0.8754252199413489
8,tox214,NR-Aromatase,tr,121,5804,241,4459,18.502074688796682,4029,430,26,215,0.8921161825726142,0.9035658219331689,0.9029787234042553,0.5100250497075433,0.7170717091090735,0.9684767345449875
8,tox214,NR-Aromatase,va,121,5804,26,497,19.115384615384617,440,57,13,13,0.5,0.8853118712273642,0.8661567877629063,0.2459682985140358,0.26955659834942247,0.8333849249342207
8,tox214,NR-Aromatase,te,121,5804,32,549,17.15625,500,49,8,24,0.75,0.9107468123861566,0.9018932874354562,0.45478166972440187,0.526368960299719,0.8990209471766849
9,tox214,NR-Aromatase,tr,121,5804,245,4455,18.183673469387756,4049,406,23,222,0.9061224489795918,0.9088664421997755,0.9087234042553192,0.5324451542517589,0.7415389564316485,0.9688879726974964
9,tox214,NR-Aromatase,va,121,5804,25,498,19.92,441,57,12,13,0.52,0.8855421686746988,0.8680688336520076,0.2541104784875154,0.3412215208473706,0.8329317269076305
9,tox214,NR-Aromatase,te,121,5804,29,552,19.03448275862069,492,60,12,17,0.5862068965517241,0.8913043478260869,0.8760757314974182,0.30668427593328024,0.35342812099840365,0.8748750624687656
10,tox214,NR-Aromatase,tr,121,5804,251,4449,17.725099601593627,3962,487,25,226,0.900398406374502,0.8905371993706451,0.8910638297872341,0.4957255549019607,0.7378060358074137,0.9661511293553589
10,tox214,NR-Aromatase,va,121,5804,22,501,22.772727272727273,450,51,18,4,0.18181818181818182,0.8982035928143712,0.8680688336520076,0.05236415630019774,0.1339065153501185,0.7896933405915442
10,tox214,NR-Aromatase,te,121,5804,26,555,21.346153846153847,487,68,7,19,0.7307692307692307,0.8774774774774775,0.8709122203098106,0.35244376505575065,0.37634583903630436,0.8977823977823978
11,tox214,NR-Aromatase,tr,121,5804,245,4455,18.183673469387756,3925,530,26,219,0.8938775510204081,0.8810325476992144,0.8817021276595745,0.4706128630572552,0.7010246885233055,0.962370645227788
11,tox214,NR-Aromatase,va,121,5804,27,496,18.37037037037037,409,87,8,19,0.7037037037037037,0.8245967741935484,0.8183556405353728,0.29079220710473375,0.2482489204367089,0.8469235364396654
11,tox214,NR-Aromatase,te,121,5804,27,554,20.51851851851852,476,78,14,13,0.48148148148148145,0.8592057761732852,0.8416523235800344,0.19732127758839438,0.2422376808318428,0.8035165129027945
12,tox214,NR-Aromatase,tr,121,5804,240,4460,18.583333333333332,4032,428,24,216,0.9,0.9040358744394619,0.9038297872340425,0.5147028462807323,0.746332947603836,0.9699117152466369
12,tox214,NR-Aromatase,va,121,5804,29,494,17.03448275862069,449,45,15,14,0.4827586206896552,0.9089068825910931,0.8852772466539197,0.2833301549925337,0.26590272958647515,0.8109032528270277
12,tox214,NR-Aromatase,te,121,5804,30,551,18.366666666666667,487,64,12,18,0.6,0.8838475499092558,0.8691910499139415,0.30753020235790035,0.43334782609465633,0.8651542649727768
