roc_auc,prc_auc,split,set,model,dataset
0.87343738723797,0.4778440395108539,1,train,attentivefp,tox216
0.9077823987295638,0.6077638165763213,2,train,attentivefp,tox216
0.8381523670682217,0.3586682648828768,3,train,attentivefp,tox216
0.9564964179781039,0.6718587389024732,4,train,attentivefp,tox216
0.8639695061031841,0.47466391562064586,5,train,attentivefp,tox216
0.9279011164060827,0.6271805562628474,6,train,attentivefp,tox216
0.729319416627389,0.19223073982220718,7,train,attentivefp,tox216
0.9116426297059375,0.5402655593551494,8,train,attentivefp,tox216
0.9203220224720621,0.600905821019339,9,train,attentivefp,tox216
0.9278886456138803,0.5920700757097023,10,train,attentivefp,tox216
0.9406718980802533,0.6622210058597623,11,train,attentivefp,tox216
0.9251073088625033,0.48433442082115186,12,train,attentivefp,tox216
0.8856329618216552,0.5470445157266395,13,train,attentivefp,tox216
0.9350991406174212,0.5846936117496332,14,train,attentivefp,tox216
0.9324868527807066,0.5510724152641928,15,train,attentivefp,tox216
0.8535397272136827,0.4278865875311744,1,validation,attentivefp,tox216
0.9162250060226451,0.6515341958217389,2,validation,attentivefp,tox216
0.8652305693873132,0.31586640659604637,3,validation,attentivefp,tox216
0.771358543417367,0.22640506659862022,4,validation,attentivefp,tox216
0.8707542457542458,0.41768303067317347,5,validation,attentivefp,tox216
0.8869327667324328,0.5573520134824748,6,validation,attentivefp,tox216
0.762508943477224,0.2104141236096529,7,validation,attentivefp,tox216
0.8249225606608157,0.3569837636082696,8,validation,attentivefp,tox216
0.7677900885448056,0.32967776155734446,9,validation,attentivefp,tox216
0.8255857898715041,0.5022660719614964,10,validation,attentivefp,tox216
0.8482218597063621,0.5558231497417537,11,validation,attentivefp,tox216
0.7957715780296425,0.3277359117392453,12,validation,attentivefp,tox216
0.8557473135786389,0.38972881432382506,13,validation,attentivefp,tox216
0.8903050778050778,0.625898722083866,14,validation,attentivefp,tox216
0.8622110445205479,0.5133139602330294,15,validation,attentivefp,tox216
0.8205766710353867,0.4750066784046478,1,test,attentivefp,tox216
0.7698533131006575,0.2246212411276964,2,test,attentivefp,tox216
0.8074755989352262,0.38224173380103005,3,test,attentivefp,tox216
0.7073961499493415,0.3139982626308317,4,test,attentivefp,tox216
0.7987841945288754,0.32647067149626474,5,test,attentivefp,tox216
0.8663087934560327,0.5371889376965817,6,test,attentivefp,tox216
0.7663472852580265,0.23581608744566981,7,test,attentivefp,tox216
0.8247060327198364,0.4930415424648646,8,test,attentivefp,tox216
0.7786036519871106,0.4174247082429302,9,test,attentivefp,tox216
0.7742986889328353,0.3116267279844883,10,test,attentivefp,tox216
0.7877450980392158,0.3450287287828278,11,test,attentivefp,tox216
0.806800079649542,0.3560710791620927,12,test,attentivefp,tox216
0.8132916280506642,0.4508610542181344,13,test,attentivefp,tox216
0.8007777579116753,0.3380125769074886,14,test,attentivefp,tox216
0.8662669939577039,0.5085355838389186,15,test,attentivefp,tox216
