split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,tox216,NR-ER-LBD,tr,122,6936,268,5349,19.958955223880597,5338,11,0,268,1.0,0.9979435408487568,0.9980416592487092,0.9790802299024849,0.9998456242925932,0.9999923266449581
1,tox216,NR-ER-LBD,va,122,6936,34,591,17.38235294117647,581,10,22,12,0.35294117647058826,0.9830795262267343,0.9488,0.4135511550741129,0.4246336566651745,0.8353737434059918
1,tox216,NR-ER-LBD,te,122,6936,47,647,13.76595744680851,634,13,28,19,0.40425531914893614,0.9799072642967542,0.9409221902017291,0.46026944873277315,0.48376660071858435,0.781183202341412
2,tox216,NR-ER-LBD,tr,122,6936,275,5342,19.425454545454546,5333,9,0,275,1.0,0.9983152377386747,0.9983977212034894,0.9831980915598627,0.9998336978756167,0.9999914910996903
2,tox216,NR-ER-LBD,va,122,6936,31,594,19.161290322580644,583,11,18,13,0.41935483870967744,0.9814814814814815,0.9536,0.45289578525274987,0.5034923072623567,0.8105246008471815
2,tox216,NR-ER-LBD,te,122,6936,43,651,15.13953488372093,642,9,29,14,0.32558139534883723,0.9861751152073732,0.9452449567723343,0.41987022303015703,0.45012886958165477,0.798806844568285
3,tox216,NR-ER-LBD,tr,122,6936,274,5343,19.5,5338,5,0,274,1.0,0.9990641961444882,0.9991098451130497,0.9905351179385299,0.9998875697833747,0.9999941939176848
3,tox216,NR-ER-LBD,va,122,6936,35,590,16.857142857142858,574,16,20,15,0.42857142857142855,0.9728813559322034,0.9424,0.4251287082394002,0.5253206086702081,0.8288619854721551
3,tox216,NR-ER-LBD,te,122,6936,40,654,16.35,648,6,25,15,0.375,0.9908256880733946,0.9553314121037464,0.49770945195772553,0.5027402893340849,0.8239296636085628
4,tox216,NR-ER-LBD,tr,122,6936,273,5344,19.575091575091577,5275,69,0,273,1.0,0.9870883233532934,0.9877158625600855,0.8876592391126309,0.9594829522027855,0.9985955287227742
4,tox216,NR-ER-LBD,va,122,6936,34,591,17.38235294117647,564,27,18,16,0.47058823529411764,0.9543147208121827,0.928,0.38073888294808506,0.41647178081093505,0.8523937493779238
4,tox216,NR-ER-LBD,te,122,6936,42,652,15.523809523809524,637,15,20,22,0.5238095238095238,0.9769938650306749,0.9495677233429395,0.5315353530345328,0.4972739864640969,0.834063686824423
5,tox216,NR-ER-LBD,tr,122,6936,285,5332,18.70877192982456,5281,51,0,285,1.0,0.9904351087771943,0.9909204201531067,0.9165703510030196,0.9884159514802382,0.9994798041615667
