auc_roc,auc_prc,split,set
0.9782348118069655,0.6023540045835086,1,train
0.9478518665083762,0.42395041735609673,2,train
0.989252423028514,0.8377459715809139,3,train
0.8701640987298997,0.20770695862431185,4,train
0.9846981959520796,0.7476252219296189,5,train
0.9526234699421534,0.47576039689191346,6,train
0.9595534517610353,0.4406448668644831,7,train
0.9894692954265496,0.7625363484181429,8,train
0.9681275666857339,0.6153513471491722,9,train
0.9862799921104957,0.7251593749642045,10,train
0.9504217842049656,0.5019135240460227,11,train
0.9780674797656487,0.5707460087178721,12,train
0.9958411244656562,0.8766257410342659,13,train
0.938575935394283,0.36475284325198837,14,train
0.9441805933524062,0.3605410514262941,15,train
0.805095818815331,0.23607172268516238,1,validation
0.9249557522123893,0.35954879175967186,2,validation
0.8230088495575221,0.1122641465420678,3,validation
0.8489046773238603,0.1710345482899484,4,validation
0.9285714285714285,0.2554765481989384,5,validation
0.8242857142857143,0.3029913221510108,6,validation
0.9048434442270059,0.3398231367754549,7,validation
0.8787769784172661,0.34134544549499585,8,validation
0.9339449541284404,0.3372432101129397,9,validation
0.8892835997631735,0.32039229539814007,10,validation
0.8830017301038062,0.2874173795679236,11,validation
0.8789473684210527,0.3645998428023437,12,validation
0.7232632541133456,0.22069510237152198,13,validation
0.8954533439069521,0.4634495001467996,14,validation
0.903225806451613,0.3231701334009681,15,validation
0.8500856653340948,0.24460597755684582,1,test
0.8569267515923567,0.2020613129333187,2,test
0.8763615199135278,0.3341102911233267,3,test
0.8242962538500108,0.2862899074756915,4,test
0.6173732171156894,0.15474036982607964,5,test
0.7863928605700029,0.185473578275947,6,test
0.86010267693436,0.24189652251405042,7,test
0.7499167221852099,0.12091590300143101,8,test
0.7382368283776733,0.15668934685397437,9,test
0.7860082304526749,0.22807637004085526,10,test
0.805475040257649,0.35115437304516633,11,test
0.8312629399585921,0.19464031762662978,12,test
0.8244462025316456,0.2939453165426015,13,test
0.8818815987933635,0.14976073524148276,14,test
0.7707342842049656,0.1452747889797571,15,test
