split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,tox218,SR-ARE,tr,120,5816,747,3963,5.305220883534137,3923,40,6,741,0.9919678714859438,0.9899066363865758,0.9902335456475584,0.9644101898592439,0.9917293954131976,0.9993472079925387
1,tox218,SR-ARE,va,120,5816,92,432,4.695652173913044,418,14,78,14,0.15217391304347827,0.9675925925925926,0.8244274809160306,0.20260553780152918,0.4014772098499825,0.7786584138486313
1,tox218,SR-ARE,te,120,5816,99,483,4.878787878787879,473,10,77,22,0.2222222222222222,0.979296066252588,0.8505154639175257,0.3321615012911018,0.5047988566272139,0.8194366020452978
2,tox218,SR-ARE,tr,120,5816,785,3925,5.0,3883,42,8,777,0.9898089171974522,0.9892993630573248,0.9893842887473461,0.9627484232248426,0.993395388598181,0.9993969735080531
2,tox218,SR-ARE,va,120,5816,70,454,6.485714285714286,447,7,58,12,0.17142857142857143,0.9845814977973568,0.8759541984732825,0.28392725679628894,0.45509097429493334,0.8205789804908749
2,tox218,SR-ARE,te,120,5816,83,499,6.0120481927710845,493,6,70,13,0.1566265060240964,0.9879759519038076,0.8694158075601375,0.28453388660894985,0.43440570726590993,0.8087379578433975
3,tox218,SR-ARE,tr,120,5816,750,3960,5.28,3915,45,5,745,0.9933333333333333,0.9886363636363636,0.9893842887473461,0.9616559685575362,0.9868014138641885,0.9991900673400673
3,tox218,SR-ARE,va,120,5816,92,432,4.695652173913044,419,13,75,17,0.18478260869565216,0.9699074074074074,0.8320610687022901,0.2533226193222737,0.4523060486794571,0.7759913446054749
3,tox218,SR-ARE,te,120,5816,96,486,5.0625,474,12,74,22,0.22916666666666666,0.9753086419753086,0.852233676975945,0.3235674943215373,0.5012574269236021,0.819465877914952
4,tox218,SR-ARE,tr,120,5816,751,3959,5.271637816245007,3917,42,7,744,0.9906790945406125,0.9893912604192978,0.9895966029723992,0.9622639147910655,0.9946954458343048,0.9993959388660536
4,tox218,SR-ARE,va,120,5816,90,434,4.822222222222222,424,10,70,20,0.2222222222222222,0.9769585253456221,0.8473282442748091,0.32336229290825985,0.516734073868091,0.8008448540706605
4,tox218,SR-ARE,te,120,5816,97,485,5.0,471,14,81,16,0.16494845360824742,0.9711340206185567,0.8367697594501718,0.22936585546278224,0.460885017046258,0.8232543309597194
5,tox218,SR-ARE,tr,120,5816,750,3960,5.28,3925,35,4,746,0.9946666666666667,0.9911616161616161,0.9917197452229299,0.9698687516639839,0.984953270671631,0.9991678451178452
5,tox218,SR-ARE,va,120,5816,95,429,4.515789473684211,416,13,75,20,0.21052631578947367,0.9696969696969697,0.8320610687022901,0.28582725295793077,0.4968395970543079,0.8030425714636241
5,tox218,SR-ARE,te,120,5816,93,489,5.258064516129032,482,7,77,16,0.17204301075268819,0.9856850715746421,0.8556701030927835,0.2966436833646361,0.46022278366462105,0.7936759240934979
6,tox218,SR-ARE,tr,120,5816,749,3961,5.288384512683578,3920,41,6,743,0.9919893190921228,0.9896490785155264,0.9900212314225053,0.9637440036600862,0.9976444595620051,0.999596364958883
6,tox218,SR-ARE,va,120,5816,98,426,4.346938775510204,413,13,77,21,0.21428571428571427,0.9694835680751174,0.8282442748091603,0.2909063881509047,0.4949232901870552,0.806314074925745
6,tox218,SR-ARE,te,120,5816,91,491,5.395604395604396,486,5,74,17,0.18681318681318682,0.9898167006109979,0.8642611683848798,0.33637234311156217,0.5077131957641822,0.8072894518923032
7,tox218,SR-ARE,tr,120,5816,757,3953,5.221928665785997,3903,50,3,754,0.9960369881109643,0.9873513786997218,0.9887473460721868,0.959935978722286,0.9929469342996781,0.9994238778567588
7,tox218,SR-ARE,va,120,5816,89,435,4.887640449438202,431,4,66,23,0.25842696629213485,0.9908045977011494,0.8664122137404581,0.4233334619238597,0.5830553788303062,0.8299108872530028
7,tox218,SR-ARE,te,120,5816,92,490,5.326086956521739,476,14,71,21,0.22826086956521738,0.9714285714285714,0.8539518900343642,0.3064215955070033,0.4928751059459199,0.7844498669032831
8,tox218,SR-ARE,tr,120,5816,753,3957,5.254980079681275,3916,41,6,747,0.9920318725099602,0.989638615112459,0.9900212314225053,0.9638941503212014,0.9971000147419116,0.9995365182350373
8,tox218,SR-ARE,va,120,5816,93,431,4.634408602150538,426,5,71,22,0.23655913978494625,0.988399071925754,0.8549618320610687,0.388796085665588,0.5843610999205131,0.8206970536137514
8,tox218,SR-ARE,te,120,5816,92,490,5.326086956521739,481,9,71,21,0.22826086956521738,0.9816326530612245,0.8625429553264605,0.3463066440780079,0.5267434428225986,0.8390638864241349
