split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,tox218,SR-ARE,tr,504,3069,164,2321,14.152439024390244,2314,7,0,164,1.0,0.996984058595433,0.9971830985915493,0.9778403988742098,0.999925638117875,0.9999947457466819
1,tox218,SR-ARE,va,504,3069,11,266,24.181818181818183,260,6,6,5,0.45454545454545453,0.9774436090225563,0.9566787003610109,0.43198906356801076,0.39816133597072595,0.897470950102529
1,tox218,SR-ARE,te,504,3069,18,289,16.055555555555557,283,6,15,3,0.16666666666666666,0.9792387543252595,0.9315960912052117,0.2032016430307031,0.1377006470375813,0.6868512110726643
2,tox218,SR-ARE,tr,504,3069,155,2330,15.03225806451613,2256,74,18,137,0.8838709677419355,0.9682403433476395,0.9629778672032193,0.7392710203020059,0.8050843808108512,0.9731690433337947
2,tox218,SR-ARE,va,504,3069,18,259,14.38888888888889,241,18,13,5,0.2777777777777778,0.9305019305019305,0.8880866425992779,0.18605970112487172,0.16731459359726583,0.7295152295152295
2,tox218,SR-ARE,te,504,3069,20,287,14.35,269,18,18,2,0.1,0.9372822299651568,0.8827361563517915,0.03728222996515679,0.11866288708560016,0.7023519163763067
3,tox218,SR-ARE,tr,504,3069,155,2330,15.03225806451613,2269,61,1,154,0.9935483870967742,0.9738197424892704,0.9750503018108652,0.8321534657871174,0.9492273840026446,0.9965886750657622
3,tox218,SR-ARE,va,504,3069,19,258,13.578947368421053,247,11,12,7,0.3684210526315789,0.9573643410852714,0.9169675090252708,0.33406588545192994,0.34308312532678753,0.8274173806609547
3,tox218,SR-ARE,te,504,3069,19,288,15.157894736842104,272,16,15,4,0.21052631578947367,0.9444444444444444,0.8990228013029316,0.1513097318793051,0.14527820602321417,0.6732456140350876
4,tox218,SR-ARE,tr,504,3069,145,2340,16.137931034482758,2336,4,0,145,1.0,0.9982905982905983,0.9983903420523139,0.9856423543484125,1.0,1.0
4,tox218,SR-ARE,va,504,3069,21,256,12.19047619047619,254,2,16,5,0.23809523809523808,0.9921875,0.9350180505415162,0.38838291104052103,0.33876163820179933,0.7609747023809523
4,tox218,SR-ARE,te,504,3069,27,280,10.37037037037037,277,3,23,4,0.14814814814814814,0.9892857142857143,0.9153094462540716,0.2607624197551544,0.27383695954047127,0.6970899470899472
5,tox218,SR-ARE,tr,504,3069,157,2328,14.828025477707007,2328,0,0,157,1.0,1.0,1.0,1.0,1.0,1.0
5,tox218,SR-ARE,va,504,3069,17,260,15.294117647058824,257,3,17,0,0.0,0.9884615384615385,0.927797833935018,-0.026756119850729287,0.13921252068633258,0.7192307692307692
5,tox218,SR-ARE,te,504,3069,19,288,15.157894736842104,285,3,17,2,0.10526315789473684,0.9895833333333334,0.9348534201954397,0.18055347018067439,0.2555415562774347,0.7282529239766082
6,tox218,SR-ARE,tr,504,3069,163,2322,14.245398773006135,2322,0,0,163,1.0,1.0,1.0,1.0,1.0,1.0
6,tox218,SR-ARE,va,504,3069,15,262,17.466666666666665,260,2,13,2,0.13333333333333333,0.9923664122137404,0.9458483754512635,0.23846209469143828,0.3096973050234886,0.7910941475826972
6,tox218,SR-ARE,te,504,3069,15,292,19.466666666666665,289,3,12,3,0.2,0.9897260273972602,0.9511400651465798,0.2954643554878583,0.25759059661159567,0.7625570776255708
7,tox218,SR-ARE,tr,504,3069,160,2325,14.53125,2325,0,0,160,1.0,1.0,1.0,1.0,1.0,1.0
7,tox218,SR-ARE,va,504,3069,15,262,17.466666666666665,261,1,14,1,0.06666666666666667,0.9961832061068703,0.9458483754512635,0.16800388834820323,0.2550530299565055,0.771501272264631
7,tox218,SR-ARE,te,504,3069,18,289,16.055555555555557,287,2,14,4,0.2222222222222222,0.9930795847750865,0.9478827361563518,0.3654045709394549,0.3364613256640386,0.7737408688965783
8,tox218,SR-ARE,tr,504,3069,160,2325,14.53125,2307,18,5,155,0.96875,0.9922580645161291,0.9907444668008049,0.9267904193987837,0.9804325960808163,0.9989354838709678
8,tox218,SR-ARE,va,504,3069,16,261,16.3125,255,6,13,3,0.1875,0.9770114942528736,0.9314079422382672,0.21646507704933637,0.2814491250581558,0.808668582375479
8,tox218,SR-ARE,te,504,3069,17,290,17.058823529411764,283,7,16,1,0.058823529411764705,0.9758620689655172,0.9250814332247557,0.04979572537141672,0.14707246549599612,0.70973630831643
9,tox218,SR-ARE,tr,504,3069,149,2336,15.677852348993289,2333,3,0,149,1.0,0.9987157534246576,0.9987927565392354,0.9894464403348349,0.9999099119388746,0.9999942539303117
9,tox218,SR-ARE,va,504,3069,24,253,10.541666666666666,250,3,23,1,0.041666666666666664,0.9881422924901185,0.9061371841155235,0.07029126743642337,0.22629562237581774,0.7786561264822135
9,tox218,SR-ARE,te,504,3069,20,287,14.35,281,6,16,4,0.2,0.9790940766550522,0.9283387622149837,0.2489768361038716,0.35481074071800167,0.8766550522648083
10,tox218,SR-ARE,tr,504,3069,147,2338,15.904761904761905,2338,0,0,147,1.0,1.0,1.0,1.0,1.0,1.0
10,tox218,SR-ARE,va,504,3069,19,258,13.578947368421053,254,4,18,1,0.05263157894736842,0.9844961240310077,0.9205776173285198,0.07048801494947904,0.22658445169858502,0.7957976336189311
10,tox218,SR-ARE,te,504,3069,27,280,10.37037037037037,279,1,26,1,0.037037037037037035,0.9964285714285714,0.9120521172638436,0.11781340443788277,0.2965140513486237,0.7624338624338625
11,tox218,SR-ARE,tr,504,3069,151,2334,15.456953642384105,2312,22,4,147,0.9735099337748344,0.9905741216795202,0.9895372233400402,0.9148316262238646,0.9855030425664997,0.9984507737618958
11,tox218,SR-ARE,va,504,3069,21,256,12.19047619047619,250,6,17,4,0.19047619047619047,0.9765625,0.9169675090252708,0.2370233194232565,0.22752278719880048,0.7379092261904762
11,tox218,SR-ARE,te,504,3069,21,286,13.619047619047619,278,8,18,3,0.14285714285714285,0.972027972027972,0.9153094462540716,0.15603219883511155,0.18424119176153214,0.7374292374292375
12,tox218,SR-ARE,tr,504,3069,154,2331,15.136363636363637,2331,0,0,154,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
12,tox218,SR-ARE,va,504,3069,19,258,13.578947368421053,255,3,16,3,0.15789473684210525,0.9883720930232558,0.9314079422382672,0.2539640426135748,0.2357271451120505,0.7902896776825785
12,tox218,SR-ARE,te,504,3069,20,287,14.35,285,2,19,1,0.05,0.9930313588850174,0.9315960912052117,0.10795520536172488,0.18295613668671162,0.7196864111498258
13,tox218,SR-ARE,tr,504,3069,158,2327,14.727848101265822,2318,9,1,157,0.9936708860759493,0.9961323592608509,0.9959758551307847,0.9673222785905787,0.9992773074201228,0.9999483226624165
13,tox218,SR-ARE,va,504,3069,18,259,14.38888888888889,255,4,17,1,0.05555555555555555,0.9845559845559846,0.924187725631769,0.07426531333897916,0.09633686786395616,0.6220506220506221
13,tox218,SR-ARE,te,504,3069,17,290,17.058823529411764,289,1,14,3,0.17647058823529413,0.996551724137931,0.9511400651465798,0.34895888583792817,0.37707402771862386,0.8279918864097364
14,tox218,SR-ARE,tr,504,3069,160,2325,14.53125,2319,6,0,160,1.0,0.9974193548387097,0.9975855130784709,0.980493780121316,0.9974824599816772,0.9998467741935483
14,tox218,SR-ARE,va,504,3069,14,263,18.785714285714285,255,8,12,2,0.14285714285714285,0.9695817490494296,0.927797833935018,0.1320391799323173,0.10573382486521904,0.6898424769147202
14,tox218,SR-ARE,te,504,3069,19,288,15.157894736842104,285,3,16,3,0.15789473684210525,0.9895833333333334,0.9381107491856677,0.25670930881294024,0.2220759807384145,0.7074195906432748
15,tox218,SR-ARE,tr,504,3069,163,2322,14.245398773006135,2055,267,29,134,0.8220858895705522,0.8850129198966409,0.8808853118712273,0.4758652287993887,0.509495380549998,0.8847196461692111
15,tox218,SR-ARE,va,504,3069,16,261,16.3125,225,36,10,6,0.375,0.8620689655172413,0.8339350180505415,0.15420426060278478,0.09147301806830853,0.6569683908045978
15,tox218,SR-ARE,te,504,3069,14,293,20.928571428571427,252,41,12,2,0.14285714285714285,0.8600682593856656,0.8273615635179153,0.001758519655043947,0.05075861951937106,0.5711847879083374
