split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,postives,negtives,negtives/postives,tn,fp,fn,tp,se,sp,acc,mcc,auc_prc,auc_roc
1,tox218,SR-ARE,tr,123,5816,747,3963,5.305220883534137,3936,27,0,747,1.0,0.9931869795609387,0.9942675159235669,0.9790510314250195,0.9996621240390738,0.9999370009265762
1,tox218,SR-ARE,va,123,5816,92,432,4.695652173913044,398,34,47,45,0.4891304347826087,0.9212962962962963,0.8454198473282443,0.43639309939852194,0.5467877266844331,0.8343523550724637
1,tox218,SR-ARE,te,123,5816,99,483,4.878787878787879,464,19,51,48,0.48484848484848486,0.9606625258799172,0.8797250859106529,0.5244554330699072,0.6200137294631124,0.8246021289499551
2,tox218,SR-ARE,tr,123,5816,785,3925,5.0,3910,15,0,785,1.0,0.9961783439490446,0.9968152866242038,0.9886859966642595,0.9998757150089725,0.9999750091281594
2,tox218,SR-ARE,va,123,5816,70,454,6.485714285714286,422,32,33,37,0.5285714285714286,0.9295154185022027,0.8759541984732825,0.4608870706063901,0.5344859983683009,0.8473253618628068
2,tox218,SR-ARE,te,123,5816,83,499,6.0120481927710845,476,23,43,40,0.4819277108433735,0.9539078156312625,0.8865979381443299,0.490521438905253,0.563481806167334,0.8053335586836323
3,tox218,SR-ARE,tr,123,5816,750,3960,5.28,3932,28,1,749,0.9986666666666667,0.9929292929292929,0.9938428874734607,0.9775533999883608,0.9993938322492542,0.9998860269360269
3,tox218,SR-ARE,va,123,5816,92,432,4.695652173913044,400,32,56,36,0.391304347826087,0.9259259259259259,0.8320610687022901,0.3591480687001901,0.4923061226232968,0.7963088768115942
3,tox218,SR-ARE,te,123,5816,96,486,5.0625,463,23,53,43,0.4479166666666667,0.9526748971193416,0.8694158075601375,0.46887678622563345,0.6244053258970803,0.8620649005486969
4,tox218,SR-ARE,tr,123,5816,751,3959,5.271637816245007,3861,98,0,751,1.0,0.9752462743116949,0.9791932059447983,0.9288022810463451,0.9921295168717179,0.9989815717630345
