,gcn,gat,mpnn,attentivefp,svm-wwl,svm_rdkit,rf_rdkit,xgb_rdkit,dnn_rdkit,svm_minimol,rf_minimol,xgb_minimol,dnn_minimol,svm_moe-neutral,rf_moe-neutral,xgb_moe-neutral,dnn_moe-neutral
freesolv,162.659,188.756,565.502,492.466,34.057,2.183,7.142,9.26,67.073,5.717,59.416,55.797,88.726,2.51,9.453,13.419,95.903
esol,246.36,315.031,1249.786,989.67,105.182,4.542,18.41,12.649,135.861,10.246,141.24,77.032,129.802,4.001,15.418,13.373,124.064
lipop,864.002,871.124,7210.677,3310.661,1678.771,39.608,67.871,92.139,419.637,95.398,722.813,208.944,409.947,41.503,66.456,51.906,415.842
bace,316.772,470.747,2777.897,1587.197,232.991,20.943,31.479,7.783,142.122,51.405,200.773,54.233,116.639,20.638,39.841,8.384,147.901
bbbp,255.531,346.761,1623.3,1155.35,371.429,39.81,36.54,7.085,133.971,84.366,172.565,48.81,116.094,42.329,33.028,6.779,127.97
clintox,258.449,343.292,1210.897,737.745,232.81,24.649,22.25,11.892,121.749,68.004,182.208,39.296,111.838,24.674,19.044,13.939,121.613
sider,760.991,978.657,1841.291,1508.359,189.928,83.268,239.011,178.386,592.586,230.483,2060.931,740.99,691.776,74.891,214.812,168.889,549.044
tox21,931.489,1451.678,4547.638,2673.755,na,656.862,461.048,150.132,733.476,3473.9,6163.382,1055.159,725.61,789.707,475.122,204.464,677.697
clintox1,229.295,353.928,945.785,681.973,234.446,23.057,12.758,6.152,148.173,61.725,68.341,20.778,112.183,21.519,14.082,6.147,115.108
clintox2,204.714,303.017,902.206,993.78,235.63,22.1,24.616,7.726,96.291,55.736,86.23,37.366,86.847,24.221,11.234,6.487,95.492
sider1,232.039,368.434,749.818,815.915,171.19,21.767,17.724,7.829,133.399,46.004,108.66,71.436,88.377,19.118,40.704,7.962,109.774
sider2,229.08,310.452,1025.018,795.733,208.435,25.847,24.756,7.092,114.481,56.023,171.425,41.691,110.255,23.058,15.968,8.224,122.015
sider3,210.112,266.724,431.088,346.639,201.63,18.19,12.487,4.996,85.992,46.731,60.352,18.209,88.273,12.669,10.461,4.793,88.384
sider4,194.888,312.645,619.958,486.734,205.152,26.556,15.795,6.971,93.001,56.404,70.302,42.895,108.282,24.332,9.797,8.301,127.121
sider5,179.317,311.18,609.505,637.746,191.282,21.383,16.642,5.928,83.066,45.942,153.153,25.167,82.947,17.903,23.869,6.174,119.361
sider6,215.412,359.664,851.242,639.729,211.555,25.938,22.444,11.324,113.292,55.029,118.739,53.191,94.089,23.531,17.417,6.032,96.99
sider7,168.025,206.889,916.774,907.128,203.136,22.574,13.972,5.521,111.552,52.684,104.856,21.104,110.722,18.927,11.968,5.047,91.12
sider8,197.766,353.07,911.38,572.738,209.227,24.876,16.783,6.507,78.446,55.706,101.506,31.354,77.549,20.991,10.908,7.024,75.08
sider9,200.182,239.367,756.481,536.786,176.011,22.059,38.282,6.369,100.559,46.915,142.826,33.611,84.653,19.755,35.768,7.774,109.429
sider10,274.906,363.737,1211.514,540.816,208.282,25.792,15.831,8.621,89.538,56.279,198.73,51.644,92.054,23.241,29.174,9.31,116.73
sider11,205.453,286.985,1416.938,1170.168,210.22,25.354,20.497,7.646,94.537,46.994,141.867,47.27,85.462,23.28,18.997,9.761,111.768
sider12,226.957,409.638,813.768,524.826,205.557,22.478,10.816,6.022,97.083,54.495,197.177,29.72,124.713,20.823,15.175,5.732,101.307
sider13,217.115,257.858,1062.116,633.962,172.769,20.511,13.942,8.85,78.037,46.647,67.995,52.754,78.816,18.366,18.56,5.828,101.337
sider14,206.242,268.204,535.357,542.653,204.694,24.979,14.77,6.233,85.76,46.428,74.996,26.129,82.429,22.445,26.801,6.841,109.211
sider15,236.649,284.815,871.555,661.203,205.356,22.969,14.969,6.523,115.953,56.123,195.195,43.286,108.423,22.861,43.951,7.301,158.284
sider16,208.261,249.15,1318.238,912.753,205.524,24.908,12.333,6.187,105.556,52.512,221.338,61.816,97.764,21.999,14.962,7.531,133.192
sider17,187.017,243.793,450.637,405.205,174.207,19.278,18.591,5.16,84.482,45.694,92.592,23.542,128.201,16.445,27.14,4.256,97.149
sider18,250.669,336.151,939.758,534.634,207.992,25.057,18.516,5.235,83.262,54.734,72.223,32.296,88.313,22.634,14.486,7.392,83.626
sider19,167.13,321.516,676.82,498.592,208.265,25.227,32.336,9.14,77.801,57.408,169.974,39.072,108.485,22.615,16.359,6.622,92.313
sider20,188.324,263.317,1013.696,440.882,209.15,25.426,18.212,7.657,129.769,53.791,93.001,28.953,130.964,22.643,9.209,8.453,132.295
sider21,187.787,341.015,679.023,762.468,174.521,21.555,16.665,6.875,82.389,46.836,160.157,45.085,83.887,18.863,26.76,8.214,94.313
sider22,204.348,252.981,612.187,826.691,172.242,25.567,11.843,9.437,103.777,54.923,77.281,39.756,100.065,22.729,13.426,6.366,114.191
sider23,207.13,254.045,693.797,696.314,204.88,18.119,9.942,6.123,74.712,51.602,79.592,35.062,88.499,18.218,14.463,6.253,73.862
sider24,251.872,269.832,934.982,449.405,207.019,25.826,30.196,7.523,116.549,47.691,70.273,39.073,92.77,23.715,16.329,7.317,145.906
sider25,294.822,341.605,612.416,694.009,172.033,21.816,25.312,8.156,93.26,47.077,207.658,34.348,146.815,19.338,21.791,7.227,159.761
sider26,166.576,211.994,409.517,469.431,207.371,24.408,10.97,4.583,108.644,53.408,122.251,20.893,132.877,15.87,15.101,5.417,112.285
sider27,238.613,269.642,622.935,582.348,171.839,21.747,19.061,8.89,136.814,56.616,228.263,34.377,117.593,21.969,14.771,6.257,134.226
tox211,823.2,873.023,3305.961,2746.616,5142.093,385.614,42.555,9.26,426.353,157.069,193.192,32.572,156.209,419.893,62.46,9.199,333.453
tox212,1062.461,1361.457,3607.651,2942.844,3709.52,313.88,43.665,9.886,322.095,152.579,117.062,25.467,190.294,274.568,46.425,13.956,551.57
tox213,854.389,1125.819,4246.679,3266.601,3551.68,352.364,43.202,18.246,335.273,164.37,122.29,43.497,207.466,410.505,49.213,22.272,403.258
tox214,882.543,1114.234,4109.027,2939.58,3200.587,251.056,53.648,14.353,364.366,223.271,126.094,30.942,214.228,322.958,50.064,12.554,329.108
tox215,769.354,1188.285,3431.127,2470.515,3576.051,408.477,29.67,12.073,305.164,183.093,382.857,51.305,193.021,343.275,51.261,12.584,381.383
tox216,966.863,1284.437,2664.445,3099.355,3938.311,355.364,54.712,13.979,455.358,161.941,197.245,35.895,177.839,463.438,181.119,12.478,437.189
tox217,1020.852,1196.182,4796.158,2311.733,3343.198,439.565,59.949,13.184,352.473,205.505,82.048,28.893,167.316,264.342,120.696,11.736,329.205
tox218,1061.02,1084.124,4915.782,2725.73,3317.657,342.159,64.156,15.272,398.412,173.294,309.361,62.178,163.938,413.769,54.696,21.872,398.632
tox219,882.746,1417.628,4617.904,2848.118,4775.367,435.304,44.264,16.44,334.232,185.126,101.393,24.707,139.004,581.856,148.789,19.784,362.289
tox2110,947.937,1050.761,2697.727,2161.033,3319.679,316.094,34.706,16.567,335.798,208.441,171.717,31.691,236.03,312.492,171.257,14.631,325.9
tox2111,952.165,1108.58,4218.369,3108.612,3241.459,286.715,67.551,20.281,418.585,198.285,251.064,53.003,158.799,261.861,132.791,29.787,514.108
tox2112,905.552,1130.212,3531.353,2846.528,3690.47,501.628,62.186,11.363,344.66,203.832,343.886,29.265,155.651,433.774,108.896,15.739,382.73
hiv,5305.231,7369.441,22274.359,18929.119,na,7505.7,1136.248,32.156,3275.671,25394.711,9551.243,213.499,2483.524,6822.467,523.336,44.243,2439.149
